0000001089,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:42:39 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:37,     37057,   120.3041,  4.24868e-09,  1.81794e-09,  1.04602e-08,  9.35250e-10, -4.67625e-10,  2.16996e-09,  0.00000e+00,  2.34350e-10,
00:00:37,     37395,   120.3041,  5.84164e-09,  1.81794e-09,  9.57057e-09,  1.16852e-09,  2.33275e-10,  2.33659e-09,  4.67625e-10,  0.00000e+00,
00:00:37,     37733,   120.5910,  6.90443e-09,  2.59672e-09,  9.57057e-09,  1.63615e-09,  4.67625e-10,  2.67061e-09,  4.67625e-10,  0.00000e+00,
00:00:38,     38072,   120.0158,  5.31148e-09,  2.07713e-09,  1.02381e-08,  7.00900e-10, -4.67625e-10,  1.83671e-09, -4.67625e-10,  4.67625e-10,
00:00:38,     38411,   120.0158,  5.84164e-09,  2.07713e-09,  1.00159e-08,  9.35250e-10,  2.33275e-10,  2.16996e-09, -2.33275e-10,  2.33275e-10,
00:00:38,     38749,   120.3041,  6.90443e-09,  2.33633e-09,  9.79267e-09,  1.40180e-09,  0.00000e+00,  2.33659e-09,  2.33275e-10,  0.00000e+00,
00:00:39,     39087,   120.0158,  3.71607e-09,  2.85591e-09,  9.79267e-09,  2.34350e-10, -9.34175e-10,  1.50269e-09, -4.67625e-10,  9.35250e-10,
00:00:39,     39425,   120.5910,  4.24868e-09,  3.11511e-09,  1.09056e-08,  4.67625e-10, -2.34350e-10,  1.50269e-09, -7.00900e-10,  9.35250e-10,
00:00:39,     39764,   120.5910,  5.31148e-09,  2.59672e-09,  1.04612e-08,  1.16852e-09, -2.33275e-10,  1.50193e-09, -2.33275e-10, -2.33275e-10,
00:00:40,     40102,   120.5910,  3.18591e-09,  3.63469e-09,  9.57057e-09,  7.00900e-10, -2.34350e-10,  1.50269e-09, -4.67625e-10,  9.35250e-10,
00:00:40,     40440,   120.5910,  3.18591e-09,  3.37550e-09,  1.00159e-08,  2.34350e-10, -4.67625e-10,  1.83594e-09, -2.34350e-10,  1.16852e-09,
00:00:40,     40779,   120.5910,  4.78130e-09,  2.85591e-09,  9.57057e-09,  4.67625e-10, -4.67625e-10,  1.50193e-09, -4.67625e-10,  4.67625e-10,
00:00:41,     41117,   120.3027,  4.24868e-09,  3.37550e-09,  9.57057e-09,  9.34175e-10,  4.67625e-10,  1.83671e-09,  0.00000e+00,  4.67625e-10,
00:00:41,     41456,   120.0158,  3.18591e-09,  3.89389e-09,  8.90305e-09,  7.00900e-10,  0.00000e+00,  1.50269e-09, -2.34350e-10,  9.34175e-10,
00:00:41,     41794,   120.3041,  4.24868e-09,  2.59672e-09,  8.90305e-09,  2.34350e-10,  0.00000e+00,  1.66932e-09, -2.34350e-10,  9.35250e-10,
00:00:42,     42132,   120.0158,  6.37425e-09,  1.29836e-09,  9.79371e-09,  1.40180e-09,  9.34175e-10,  2.00257e-09,  4.67625e-10, -2.34350e-10,
00:00:42,     42470,   120.3041,  5.31148e-09,  3.11630e-09,  9.12522e-09,  1.40287e-09,  4.67625e-10,  2.16996e-09,  4.67625e-10,  4.67625e-10,
00:00:42,     42809,   120.3041,  4.24868e-09,  3.11630e-09,  9.12522e-09,  1.40287e-09,  0.00000e+00,  2.00257e-09,  2.33275e-10,  4.67625e-10,
00:00:43,     43147,   120.5910,  4.77886e-09,  2.07713e-09,  9.57057e-09,  1.16852e-09,  2.33275e-10,  2.16996e-09,  2.34350e-10, -2.33275e-10,
00:00:43,     43486,   120.3041,  5.31148e-09,  2.59672e-09,  9.12522e-09,  1.63615e-09,  4.67625e-10,  2.33659e-09,  4.67625e-10,  2.34350e-10,
00:00:43,     43823,   120.0158,  5.31148e-09,  2.59672e-09,  8.90203e-09,  1.40180e-09,  7.00900e-10,  2.16996e-09,  7.00900e-10,  4.67625e-10,
00:00:44,     44160,   120.3041,  5.31148e-09,  2.59672e-09,  9.12522e-09,  1.63615e-09,  7.00900e-10,  2.16996e-09,  2.34350e-10,  2.34350e-10,
00:00:44,     44499,   120.3041,  4.24868e-09,  3.37550e-09,  8.01233e-09,  1.40287e-09,  2.34350e-10,  2.16996e-09,  4.67625e-10,  2.34350e-10,
00:00:44,     44837,   120.3041,  6.37182e-09,  2.59672e-09,  9.34738e-09,  1.16852e-09,  4.67625e-10,  2.33659e-09,  4.67625e-10, -2.33275e-10,
00:00:45,     45176,   120.0158,  5.31148e-09,  2.59672e-09,  8.67986e-09,  1.16852e-09,  4.67625e-10,  2.50398e-09,  7.00900e-10,  0.00000e+00,
00:00:45,     45514,   120.3041,  5.31148e-09,  2.59672e-09,  8.90203e-09,  1.40180e-09,  9.34175e-10,  2.67061e-09,  7.00900e-10,  0.00000e+00,
00:00:45,     45852,   120.3041,  4.77886e-09,  3.11511e-09,  9.79371e-09,  7.01975e-10, -2.33275e-10,  2.16996e-09,  0.00000e+00,  0.00000e+00,
00:00:46,     46190,   120.3041,  4.78130e-09,  2.07713e-09,  1.02381e-08,  4.67625e-10,  0.00000e+00,  2.00334e-09,  0.00000e+00,  0.00000e+00,
00:00:46,     46528,   120.3041,  5.84164e-09,  2.07713e-09,  9.57057e-09,  9.35250e-10,  0.00000e+00,  2.00334e-09,  2.33275e-10,  0.00000e+00,
00:00:46,     46866,   120.5910,  5.84164e-09,  1.81674e-09,  9.57057e-09,  1.16852e-09,  7.00900e-10,  2.33659e-09,  4.67625e-10,  0.00000e+00,
00:00:47,     47203,   120.3041,  5.84409e-09,  2.59672e-09,  8.45770e-09,  1.40180e-09,  7.00900e-10,  2.16996e-09,  7.00900e-10,  0.00000e+00,
00:00:47,     47542,   120.0158,  4.78130e-09,  2.33633e-09,  9.79267e-09,  4.67625e-10, -4.67625e-10,  1.66932e-09, -2.33275e-10,  2.33275e-10,
00:00:47,     47880,   120.3041,  3.71852e-09,  2.07713e-09,  1.04602e-08,  2.33275e-10,  0.00000e+00,  1.83671e-09, -2.33275e-10,  2.33275e-10,
00:00:48,     48217,   120.5910,  4.77886e-09,  2.07713e-09,  1.00159e-08,  7.00900e-10,  0.00000e+00,  2.00334e-09,  0.00000e+00,  2.33275e-10,
00:00:48,     48556,   120.3027,  5.31148e-09,  1.81674e-09,  9.12522e-09,  1.16852e-09,  0.00000e+00,  2.16996e-09,  2.33275e-10, -2.33275e-10,
00:00:48,     48894,   120.3041,  6.90443e-09,  2.33633e-09,  8.67986e-09,  1.40287e-09,  7.00900e-10,  2.33659e-09,  9.34175e-10, -4.67625e-10,
00:00:49,     49232,   120.3041,  3.71607e-09,  3.11511e-09,  9.12522e-09,  2.34350e-10, -4.67625e-10,  1.50193e-09, -4.67625e-10,  9.35250e-10,
00:00:49,     49570,   120.3041,  3.71852e-09,  2.85591e-09,  8.68089e-09,  2.33275e-10, -7.00900e-10,  1.50193e-09, -4.67625e-10,  9.35250e-10,
00:00:49,     49908,   120.3041,  5.84164e-09,  1.81794e-09,  9.57057e-09,  7.01975e-10,  2.33275e-10,  2.00334e-09,  2.34350e-10, -2.34350e-10,
00:00:50,     50247,   120.0158,  3.71607e-09,  3.11630e-09,  8.90305e-09,  4.67625e-10, -2.33275e-10,  1.66932e-09, -7.00900e-10,  9.35250e-10,
00:00:50,     50586,   120.0158,  4.24868e-09,  2.59672e-09,  8.90305e-09,  2.33275e-10, -4.67625e-10,  1.16868e-09, -4.67625e-10,  2.33275e-10,
00:00:50,     50923,   120.3041,  4.78130e-09,  2.07713e-09,  9.34738e-09,  4.67625e-10, -2.33275e-10,  1.83594e-09, -2.33275e-10,  2.33275e-10,
00:00:51,     51262,   120.3041,  4.24868e-09,  2.85591e-09,  8.90305e-09,  7.00900e-10,  0.00000e+00,  1.83594e-09, -4.67625e-10,  9.35250e-10,
00:00:51,     51600,   120.5910,  3.18591e-09,  3.11630e-09,  8.90305e-09,  4.67625e-10, -4.67625e-10,  1.66932e-09, -2.34350e-10,  9.35250e-10,
00:00:51,     51939,   120.3041,  5.31148e-09,  3.37550e-09,  9.34841e-09,  2.34350e-10, -4.67625e-10,  1.66932e-09, -4.67625e-10,  9.35250e-10,
00:00:52,     52277,   120.3041,  3.71607e-09,  3.63469e-09,  8.23450e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09,  2.33275e-10,  2.33275e-10,
00:00:52,     52615,   120.5910,  3.18591e-09,  3.37550e-09,  8.23450e-09,  7.00900e-10,  2.34350e-10,  2.00257e-09,  2.33275e-10,  4.67625e-10,
00:00:52,     52954,   120.3041,  3.18591e-09,  3.11630e-09,  8.90305e-09,  2.34350e-10, -4.67625e-10,  1.83594e-09, -2.34350e-10,  9.35250e-10,
00:00:53,     53292,   120.3041,  5.31148e-09,  2.59672e-09,  8.23450e-09,  1.40180e-09,  7.00900e-10,  2.16996e-09,  4.67625e-10, -2.34350e-10,
00:00:53,     53631,   120.0158,  5.84409e-09,  2.85591e-09,  8.01233e-09,  1.63615e-09,  2.34350e-10,  2.50398e-09,  4.67625e-10,  4.67625e-10,
00:00:53,     53968,   120.3041,  4.24868e-09,  2.59672e-09,  8.45770e-09,  1.40180e-09,  4.67625e-10,  2.16996e-09,  4.67625e-10,  7.00900e-10,
00:00:54,     54305,   120.5910,  3.71852e-09,  3.37550e-09,  8.23450e-09,  7.00900e-10,  4.67625e-10,  2.00334e-09,  2.34350e-10,  7.00900e-10,
00:00:54,     54643,   120.3041,  4.77886e-09,  3.37550e-09,  7.79017e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09, -2.33275e-10,  4.67625e-10,
00:00:54,     54981,   120.5910,  3.71852e-09,  3.63469e-09,  8.45770e-09,  7.00900e-10, -2.33275e-10,  1.50193e-09, -2.34350e-10,  7.00900e-10,
00:00:55,     55319,   120.0158,  3.18591e-09,  3.63469e-09,  9.12522e-09,  0.00000e+00, -4.67625e-10,  1.66932e-09,  0.00000e+00,  7.00900e-10,
00:00:55,     55657,   120.3041,  5.31148e-09,  3.11630e-09,  7.79017e-09,  1.40180e-09,  7.00900e-10,  2.16996e-09,  7.00900e-10, -2.34350e-10,
00:00:55,     55996,   120.3041,  4.77886e-09,  3.37550e-09,  8.01233e-09,  1.16852e-09,  4.67625e-10,  2.16996e-09,  4.67625e-10,  0.00000e+00,
00:00:56,     56334,   120.5910,  3.71852e-09,  3.37550e-09,  7.78914e-09,  7.00900e-10,  0.00000e+00,  2.00257e-09,  2.34350e-10,  4.67625e-10,
00:00:56,     56672,   120.0158,  4.77886e-09,  1.81794e-09,  8.90305e-09,  4.67625e-10,  0.00000e+00,  1.83594e-09,  2.34350e-10, -4.67625e-10,
00:00:57,     57010,   120.3041,  6.37425e-09,  2.07713e-09,  9.12522e-09,  1.16852e-09,  7.00900e-10,  1.66932e-09,  7.00900e-10, -7.00900e-10,
00:00:57,     57348,   120.3041,  5.31148e-09,  2.07713e-09,  8.01233e-09,  1.40180e-09,  9.34175e-10,  2.33659e-09,  7.00900e-10,  0.00000e+00,
00:00:57,     57686,   120.3041,  4.24868e-09,  3.37550e-09,  8.23450e-09,  9.35250e-10,  2.34350e-10,  2.33736e-09,  0.00000e+00,  4.67625e-10,
00:00:58,     58023,   120.5910,  4.24868e-09,  3.63469e-09,  8.01233e-09,  1.16852e-09,  2.34350e-10,  1.66932e-09,  0.00000e+00,  9.34175e-10,
00:00:58,     58362,   120.3041,  4.77886e-09,  1.81794e-09,  9.12522e-09,  4.67625e-10,  0.00000e+00,  1.66932e-09,  2.33275e-10, -2.33275e-10,
00:00:58,     58700,   120.3027,  6.37425e-09,  2.07713e-09,  8.67986e-09,  1.16852e-09,  4.67625e-10,  2.33659e-09,  7.00900e-10, -2.33275e-10,
00:00:59,     59038,   120.3041,  4.77886e-09,  3.11630e-09,  8.01233e-09,  1.40180e-09,  7.00900e-10,  2.16996e-09,  4.67625e-10,  0.00000e+00,
00:00:59,     59377,   120.3041,  5.84164e-09,  2.07713e-09,  8.90305e-09,  0.00000e+00, -4.67625e-10,  1.50193e-09, -4.67625e-10,  2.33275e-10,
00:00:59,     59716,   120.3041,  5.84164e-09,  1.81674e-09,  8.45770e-09,  9.35250e-10,  0.00000e+00,  2.16996e-09,  2.33275e-10,  0.00000e+00,
00:01:00,     60054,   120.5910,  5.84164e-09,  2.33752e-09,  7.56697e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09,  7.00900e-10, -4.67625e-10,
00:01:00,     60392,   120.5910,  4.24868e-09,  3.11630e-09,  8.67986e-09,  0.00000e+00, -7.00900e-10,  1.50193e-09, -4.67625e-10,  9.35250e-10,
00:01:00,     60730,   120.0158,  4.77886e-09,  2.33633e-09,  8.45770e-09,  2.33275e-10, -4.67625e-10,  1.33530e-09, -4.67625e-10, -2.33275e-10,
00:01:01,     61067,   120.5910,  3.71607e-09,  2.33633e-09,  9.12522e-09,  2.33275e-10, -4.67625e-10,  1.66932e-09, -2.34350e-10,  2.33275e-10,
00:01:01,     61404,   120.5910,  4.77886e-09,  2.85591e-09,  8.01233e-09,  7.01975e-10,  4.67625e-10,  2.00334e-09,  2.34350e-10,  4.67625e-10,
00:01:01,     61742,   120.8779,  5.30902e-09,  1.81674e-09,  8.90305e-09,  7.01975e-10, -2.33275e-10,  2.00334e-09,  2.33275e-10, -4.67625e-10,
00:01:02,     62080,   120.3041,  5.84164e-09,  1.55756e-09,  1.00159e-08,  9.35250e-10,  2.33275e-10,  2.16996e-09,  4.67625e-10, -2.34350e-10,
00:01:02,     62417,   120.3041,  6.90443e-09,  1.81674e-09,  9.79267e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09,  4.66550e-10, -4.67625e-10,
00:01:02,     62756,   120.3041,  6.37425e-09,  2.59672e-09,  9.34738e-09,  1.16852e-09,  7.00900e-10,  2.50398e-09,  7.00900e-10, -4.67625e-10,
00:01:03,     63094,   120.5910,  5.31148e-09,  2.85591e-09,  9.12522e-09,  9.35250e-10,  2.34350e-10,  2.16996e-09,  7.00900e-10, -2.33275e-10,
00:01:03,     63432,   120.3041,  4.78130e-09,  1.81794e-09,  9.57057e-09,  2.34350e-10,  0.00000e+00,  1.83671e-09,  0.00000e+00,  2.33275e-10,
00:01:03,     63771,   120.3041,  5.84164e-09,  1.55756e-09,  9.79371e-09,  4.67625e-10,  2.33275e-10,  1.66932e-09,  4.67625e-10, -4.67625e-10,
00:01:04,     64109,   120.3041,  5.84409e-09,  1.81674e-09,  8.90203e-09,  1.16852e-09,  4.67625e-10,  2.16996e-09,  4.67625e-10, -2.34350e-10,
00:01:04,     64447,   120.3027,  3.71607e-09,  2.59672e-09,  9.57057e-09,  0.00000e+00, -7.00900e-10,  1.16868e-09, -7.00900e-10,  4.67625e-10,
00:01:04,     64785,   120.5910,  5.84164e-09,  1.81674e-09,  1.00149e-08,  4.67625e-10,  0.00000e+00,  1.50269e-09,  2.33275e-10, -2.33275e-10,
00:01:05,     65123,   120.3041,  5.84164e-09,  2.33633e-09,  1.02381e-08,  7.01975e-10,  2.33275e-10,  1.83671e-09,  4.67625e-10, -4.67625e-10,
00:01:05,     65462,   120.0158,  3.18591e-09,  3.37550e-09,  1.00159e-08,  0.00000e+00, -4.67625e-10,  1.33530e-09, -9.34175e-10,  7.01975e-10,
00:01:05,     65800,   120.3041,  4.78130e-09,  2.33633e-09,  9.34738e-09,  0.00000e+00, -4.67625e-10,  1.33530e-09, -7.00900e-10,  4.67625e-10,
00:01:06,     66139,   120.3041,  4.24868e-09,  1.81794e-09,  9.79267e-09,  4.67625e-10, -2.33275e-10,  1.66932e-09,  0.00000e+00,  2.33275e-10,
00:01:06,     66477,   120.0158,  4.24868e-09,  3.11511e-09,  8.67986e-09,  7.01975e-10,  7.00900e-10,  2.33736e-09,  2.33275e-10,  7.00900e-10,
00:01:06,     66815,   120.5910,  3.18591e-09,  2.85591e-09,  8.45770e-09,  4.67625e-10,  0.00000e+00,  1.83594e-09,  0.00000e+00,  7.00900e-10,
00:01:07,     67152,   120.3041,  3.18591e-09,  3.37550e-09,  8.45770e-09,  7.00900e-10,  2.33275e-10,  1.83594e-09, -2.34350e-10,  4.67625e-10,
00:01:07,     67490,   120.0158,  3.18591e-09,  2.85591e-09,  9.12522e-09, -2.33275e-10, -7.00900e-10,  1.16868e-09, -4.67625e-10,  9.35250e-10,
00:01:07,     67829,   120.3041,  4.24868e-09,  2.85711e-09,  9.79267e-09,  2.33275e-10, -4.67625e-10,  1.33530e-09, -7.00900e-10,  4.67625e-10,
00:01:08,     68167,   120.3041,  3.71607e-09,  2.59672e-09,  7.78914e-09,  9.35250e-10,  4.67625e-10,  2.00334e-09,  0.00000e+00,  7.00900e-10,
00:01:08,     68504,   120.0158,  3.71852e-09,  2.07713e-09,  1.00159e-08,  4.67625e-10, -4.67625e-10,  1.50269e-09, -2.33275e-10, -2.33275e-10,
00:01:08,     68842,   120.3041,  4.24868e-09,  2.85591e-09,  8.45770e-09,  7.00900e-10, -2.34350e-10,  1.66932e-09,  0.00000e+00,  9.34175e-10,
00:01:09,     69179,   120.3041,  5.31148e-09,  2.07713e-09,  8.90305e-09,  2.34350e-10,  0.00000e+00,  1.66932e-09,  4.67625e-10,  0.00000e+00,
00:01:09,     69517,   120.3041,  3.18591e-09,  3.11630e-09,  9.12522e-09,  0.00000e+00, -4.67625e-10,  1.33530e-09, -9.34175e-10,  9.35250e-10,
00:01:09,     69855,   120.0158,  3.18591e-09,  2.59672e-09,  9.57057e-09, -2.34350e-10, -4.67625e-10,  1.16791e-09, -4.67625e-10,  7.01975e-10,
00:01:10,     70194,   120.5910,  4.24868e-09,  1.81794e-09,  9.12522e-09,  2.34350e-10, -4.67625e-10,  1.33530e-09, -4.67625e-10,  7.01975e-10,
00:01:10,     70532,   120.3041,  4.77886e-09,  3.11630e-09,  8.45770e-09,  7.00900e-10, -2.34350e-10,  2.00334e-09,  0.00000e+00,  9.34175e-10,
00:01:10,     70871,   120.3041,  3.71607e-09,  3.11630e-09,  8.90305e-09,  2.34350e-10, -2.34350e-10,  1.50269e-09, -4.67625e-10,  7.00900e-10,
00:01:11,     71209,   120.3041,  3.71607e-09,  3.37550e-09,  9.12522e-09,  2.34350e-10, -2.33275e-10,  1.50193e-09, -7.00900e-10,  9.35250e-10,
00:01:11,     71547,   120.5910,  4.24868e-09,  2.33752e-09,  8.45770e-09,  9.35250e-10,  7.01975e-10,  2.16996e-09,  2.34350e-10,  4.67625e-10,
00:01:11,     71885,   120.3041,  3.71607e-09,  3.11630e-09,  8.23450e-09,  7.00900e-10,  2.34350e-10,  2.16996e-09,  4.67625e-10,  4.67625e-10,
00:01:12,     72222,   120.5910,  4.77886e-09,  2.85591e-09,  8.23450e-09,  9.35250e-10,  0.00000e+00,  2.00257e-09,  0.00000e+00,  4.67625e-10,
00:01:12,     72560,   120.3041,  3.18591e-09,  3.11630e-09,  8.45770e-09,  4.67625e-10, -4.67625e-10,  1.66932e-09, -4.67625e-10,  7.00900e-10,
00:01:12,     72899,   120.3041,  3.18591e-09,  3.11630e-09,  9.12522e-09,  2.33275e-10, -2.34350e-10,  1.16791e-09, -4.67625e-10,  7.00900e-10,
00:01:13,     73237,   120.3027,  6.37425e-09,  2.59672e-09,  8.67986e-09,  7.01975e-10,  7.00900e-10,  2.16996e-09,  4.67625e-10, -7.00900e-10,
00:01:13,     73576,   119.7276,  4.24868e-09,  3.37550e-09,  8.67986e-09,  9.35250e-10,  7.00900e-10,  2.00334e-09,  4.67625e-10,  4.67625e-10,
00:01:13,     73914,   120.0158,  3.18591e-09,  3.11630e-09,  8.45770e-09,  7.01975e-10,  4.67625e-10,  2.16996e-09,  4.67625e-10,  0.00000e+00,
00:01:14,     74252,   120.3041,  6.37425e-09,  2.07713e-09,  8.45770e-09,  1.40180e-09,  4.67625e-10,  2.00257e-09,  2.33275e-10, -2.34350e-10,
00:01:14,     74591,   120.5910,  5.84409e-09,  2.33752e-09,  8.45770e-09,  9.35250e-10,  9.34175e-10,  2.16996e-09,  9.34175e-10, -7.00900e-10,
00:01:14,     74929,   120.0158,  5.31148e-09,  2.59672e-09,  8.01233e-09,  9.35250e-10,  2.34350e-10,  2.00334e-09,  2.34350e-10,  2.33275e-10,
00:01:15,     75267,   120.3041,  4.78130e-09,  2.07713e-09,  9.57057e-09,  2.34350e-10, -2.33275e-10,  1.66932e-09,  0.00000e+00, -4.67625e-10,
00:01:15,     75604,   120.3041,  4.24868e-09,  3.11630e-09,  8.67986e-09,  7.00900e-10,  0.00000e+00,  1.83671e-09, -2.33275e-10,  7.00900e-10,
00:01:15,     75942,   120.5910,  5.84164e-09,  2.33752e-09,  8.90203e-09,  1.16852e-09,  2.34350e-10,  2.16996e-09,  7.00900e-10, -2.33275e-10,
00:01:16,     76280,   120.3041,  5.31148e-09,  2.07713e-09,  8.45770e-09,  1.16852e-09,  7.00900e-10,  2.00334e-09,  7.00900e-10, -4.67625e-10,
00:01:16,     76619,   120.3041,  4.77886e-09,  2.85591e-09,  8.01233e-09,  1.16852e-09,  7.00900e-10,  2.16996e-09,  7.00900e-10,  0.00000e+00,
00:01:16,     76957,   120.3041,  3.71852e-09,  2.07713e-09,  9.34738e-09,  0.00000e+00, -4.67625e-10,  1.66932e-09, -2.33275e-10,  0.00000e+00,
00:01:17,     77295,   120.3041,  5.84164e-09,  1.29836e-09,  8.90305e-09,  2.34350e-10, -2.33275e-10,  1.66932e-09, -2.33275e-10,  0.00000e+00,
00:01:17,     77633,   120.3041,  5.84164e-09,  1.81674e-09,  8.45770e-09,  7.00900e-10,  0.00000e+00,  1.83594e-09,  0.00000e+00, -2.33275e-10,
00:01:17,     77971,   120.5910,  5.31148e-09,  2.07713e-09,  8.45770e-09,  9.35250e-10,  4.67625e-10,  2.16996e-09,  4.67625e-10, -2.34350e-10,
00:01:18,     78308,   120.3041,  5.31148e-09,  2.33633e-09,  8.01233e-09,  1.16852e-09,  4.67625e-10,  2.33659e-09,  7.00900e-10, -4.67625e-10,
00:01:18,     78647,   120.5910,  5.31148e-09,  2.33633e-09,  9.12522e-09, -2.34350e-10, -7.00900e-10,  1.33530e-09, -4.67625e-10,  0.00000e+00,
00:01:18,     78984,   120.5910,  4.24868e-09,  2.85591e-09,  7.79017e-09,  9.35250e-10,  4.67625e-10,  2.16996e-09,  4.67625e-10,  4.66550e-10,
00:01:19,     79322,   120.0158,  6.37425e-09,  2.07713e-09,  8.45770e-09,  9.34175e-10,  2.33275e-10,  2.00334e-09,  2.33275e-10, -2.34350e-10,
00:01:19,     79661,   120.3041,  6.37425e-09,  1.81674e-09,  8.45770e-09,  9.35250e-10,  4.67625e-10,  2.16996e-09,  7.00900e-10, -4.67625e-10,
00:01:19,     79999,   120.5910,  5.31148e-09,  2.33752e-09,  7.78914e-09,  1.16852e-09,  9.34175e-10,  2.00334e-09,  4.67625e-10, -2.33275e-10,
00:01:20,     80337,   120.5910,  4.24868e-09,  1.29836e-09,  8.67986e-09,  2.33275e-10, -4.67625e-10,  1.50269e-09, -2.33275e-10,  0.00000e+00,
00:01:20,     80676,   120.3027,  5.84164e-09,  2.07713e-09,  8.45770e-09,  7.00900e-10,  0.00000e+00,  1.66932e-09,  2.33275e-10, -4.67625e-10,
00:01:21,     81014,   120.3041,  5.84164e-09,  1.55756e-09,  8.01233e-09,  7.00900e-10,  2.33275e-10,  1.83594e-09,  4.67625e-10, -2.33275e-10,
00:01:21,     81352,   120.3041,  4.78130e-09,  3.11630e-09,  8.23552e-09, -2.33275e-10, -7.00900e-10,  1.50269e-09, -7.00900e-10,  7.00900e-10,
00:01:21,     81691,   120.5910,  4.24868e-09,  2.07713e-09,  9.12522e-09, -2.34350e-10, -4.67625e-10,  1.33530e-09,  0.00000e+00,  2.33275e-10,
00:01:22,     82029,   120.3041,  5.84164e-09,  1.81794e-09,  9.12522e-09,  2.34350e-10,  0.00000e+00,  1.83671e-09,  2.33275e-10,  0.00000e+00,
00:01:22,     82367,   120.0158,  2.65573e-09,  3.11630e-09,  8.01233e-09,  2.33275e-10, -4.67625e-10,  1.50193e-09, -7.01975e-10,  4.67625e-10,
00:01:22,     82704,   120.0158,  5.30902e-09,  1.81674e-09,  8.23552e-09,  9.35250e-10,  0.00000e+00,  1.83594e-09,  7.00900e-10, -2.34350e-10,
00:01:23,     83042,   120.3041,  3.18591e-09,  2.85711e-09,  8.68089e-09, -2.33275e-10, -7.01975e-10,  1.50269e-09, -4.67625e-10,  7.00900e-10,
00:01:23,     83380,   120.3027,  4.24868e-09,  2.07713e-09,  8.67986e-09, -2.34350e-10, -2.33275e-10,  1.16791e-09, -4.67625e-10,  2.33275e-10,
00:01:23,     83719,   120.3041,  4.77886e-09,  1.55756e-09,  9.12522e-09,  2.34350e-10, -2.33275e-10,  1.33530e-09, -2.33275e-10,  0.00000e+00,
00:01:24,     84057,   120.3041,  3.71607e-09,  3.11630e-09,  8.67986e-09,  0.00000e+00, -4.67625e-10,  1.16868e-09, -7.00900e-10,  1.16852e-09,
00:01:24,     84395,   120.5910,  2.65573e-09,  2.85591e-09,  7.56697e-09,  0.00000e+00, -2.34350e-10,  1.50193e-09, -4.67625e-10,  1.16852e-09,
00:01:24,     84733,   120.5910,  3.71607e-09,  2.85711e-09,  7.79017e-09, -2.33275e-10, -7.00900e-10,  1.66932e-09, -2.34350e-10,  7.01975e-10,
00:01:25,     85071,   120.0158,  3.18834e-09,  2.33633e-09,  8.67986e-09,  0.00000e+00, -4.67625e-10,  1.33530e-09, -4.67625e-10,  4.67625e-10,
00:01:25,     85409,   120.5910,  4.78130e-09,  2.07713e-09,  8.67986e-09,  0.00000e+00, -4.67625e-10,  1.50193e-09, -4.67625e-10,  0.00000e+00,
00:01:25,     85747,   120.3041,  2.12557e-09,  3.11630e-09,  9.12522e-09,  4.67625e-10, -7.00900e-10,  1.33530e-09, -4.67625e-10,  7.00900e-10,
00:01:26,     86085,   120.3041,  3.18591e-09,  3.37550e-09,  7.79017e-09,  2.34350e-10,  2.33275e-10,  1.16868e-09, -4.67625e-10,  7.00900e-10,
00:01:26,     86422,   120.5910,  2.12557e-09,  2.59672e-09,  8.45770e-09,  2.33275e-10, -4.67625e-10,  1.33530e-09, -7.00900e-10,  4.67625e-10,
00:01:26,     86761,   120.0158,  3.71852e-09,  2.33633e-09,  8.90305e-09,  0.00000e+00, -4.67625e-10,  1.16868e-09, -4.67625e-10,  2.33275e-10,
