0000000993,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",2:36:29 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,5.184,5.184,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,5.184,5.184,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,5.184,5.184,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,5.184,5.184,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,5.184,5.184,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,5.184,5.184,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,5.184,5.184,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,5.184,5.184,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,5.184,5.184,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:10,     10125,   119.8386,  5.16977e-09,  2.06758e-09,  8.66348e-09,  1.24055e-09,  4.13875e-10,  1.77221e-09,  2.07475e-10,  0.00000e+00,
00:00:10,     10468,   119.8386,  3.75761e-09,  2.75558e-09,  8.07274e-09,  4.13875e-10, -4.13875e-10,  1.03354e-09, -2.06400e-10,  2.06400e-10,
00:00:10,     10810,   120.0925,  5.16977e-09,  3.21663e-09,  8.46690e-09,  1.24055e-09,  6.20275e-10,  1.62401e-09,  0.00000e+00, -2.06400e-10,
00:00:11,     11153,   120.3477,  4.22670e-09,  2.29691e-09,  7.87514e-09,  0.00000e+00, -4.13875e-10,  1.18096e-09,  2.06400e-10,  4.12800e-10,
00:00:11,     11495,   119.8386,  3.75761e-09,  2.75558e-09,  8.26930e-09,  1.24055e-09,  2.06400e-10,  1.47659e-09,  0.00000e+00, -2.06400e-10,
00:00:11,     11836,   119.8386,  2.35034e-09,  3.44597e-09,  8.46589e-09,  8.26675e-10,  0.00000e+00,  1.03354e-09, -6.20275e-10, -4.12800e-10,
00:00:12,     12178,   119.5848,  5.16977e-09,  1.83824e-09,  7.67857e-09,  8.26675e-10,  2.06400e-10,  1.77221e-09,  4.13875e-10,  1.03415e-09,
00:00:12,     12520,   119.8386,  2.81943e-09,  2.98611e-09,  8.66348e-09,  6.20275e-10, -6.20275e-10,  1.18173e-09, -4.13875e-10,  0.00000e+00,
00:00:12,     12863,   119.8386,  5.16977e-09,  1.83706e-09,  7.48200e-09,  4.13875e-10,  4.13875e-10,  1.77221e-09,  2.06400e-10,  6.20275e-10,
00:00:13,     13205,   120.0925,  3.28852e-09,  2.98611e-09,  7.28440e-09,  2.07475e-10, -4.13875e-10,  1.03354e-09, -2.06400e-10,  4.12800e-10,
00:00:13,     13547,   119.8386,  5.16977e-09,  2.29691e-09,  8.46690e-09,  1.24055e-09,  4.13875e-10,  1.91964e-09,  2.06400e-10,  2.06400e-10,
00:00:13,     13890,   119.8386,  3.28852e-09,  2.75558e-09,  7.48200e-09,  8.26675e-10, -6.20275e-10,  7.37907e-10, -4.13875e-10, -2.06400e-10,
00:00:14,     14231,   120.0925,  4.22670e-09,  2.75558e-09,  7.67857e-09,  0.00000e+00, -6.20275e-10,  1.32916e-09,  4.13875e-10,  6.20275e-10,
00:00:14,     14573,   119.8386,  3.75761e-09,  2.98611e-09,  7.67857e-09,  1.24055e-09,  4.13875e-10,  1.47659e-09,  2.06400e-10,  0.00000e+00,
00:00:14,     14914,   120.0925,  6.10795e-09,  1.60772e-09,  6.89126e-09,  4.13875e-10,  2.06400e-10,  1.32839e-09,  6.20275e-10,  8.27750e-10,
00:00:15,     15258,   120.0925,  3.75761e-09,  3.21663e-09,  7.87617e-09,  1.24055e-09,  4.13875e-10,  1.32839e-09, -4.13875e-10, -4.12800e-10,
00:00:15,     15600,   119.8386,  5.63886e-09,  1.37839e-09,  7.28440e-09,  4.13875e-10,  0.00000e+00,  1.77144e-09,  8.26675e-10,  1.03415e-09,
00:00:15,     15943,   119.8386,  3.75761e-09,  3.21663e-09,  7.87617e-09,  1.03307e-09,  0.00000e+00,  1.03354e-09, -6.20275e-10, -4.12800e-10,
00:00:16,     16285,   120.0938,  5.16732e-09,  2.06758e-09,  6.49710e-09,  6.20275e-10,  6.20275e-10,  1.91964e-09,  8.26675e-10,  6.20275e-10,
00:00:16,     16628,   119.5848,  3.28852e-09,  3.21663e-09,  8.26930e-09,  1.44695e-09,  2.06400e-10,  1.32839e-09, -2.06400e-10, -4.13875e-10,
00:00:16,     16970,   120.0938,  5.16977e-09,  2.29691e-09,  7.67857e-09,  1.03307e-09,  6.20275e-10,  1.91964e-09,  6.20275e-10,  6.20275e-10,
00:00:17,     17313,   119.8386,  2.35034e-09,  2.98611e-09,  7.67857e-09,  1.03415e-09, -2.06400e-10,  1.03354e-09, -2.06400e-10, -2.06400e-10,
00:00:17,     17655,   120.0925,  5.63886e-09,  1.60772e-09,  6.89024e-09,  8.26675e-10,  4.13875e-10,  1.77221e-09,  4.13875e-10,  4.13875e-10,
00:00:17,     17998,   119.5848,  2.81943e-09,  3.21663e-09,  7.48200e-09,  8.26675e-10, -2.06400e-10,  1.18096e-09, -2.06400e-10,  2.06400e-10,
00:00:18,     18340,   119.8386,  5.16977e-09,  2.52624e-09,  7.48097e-09,  1.24055e-09,  4.13875e-10,  1.77221e-09,  4.13875e-10,  2.06400e-10,
00:00:18,     18682,   119.8386,  2.81943e-09,  3.67530e-09,  7.08783e-09,  6.20275e-10, -4.12800e-10,  8.86107e-10, -6.20275e-10, -4.12800e-10,
00:00:19,     19025,   119.5848,  5.63886e-09,  2.06758e-09,  6.49710e-09,  1.03307e-09,  6.20275e-10,  1.47659e-09,  2.06400e-10,  4.12800e-10,
00:00:19,     19368,   119.5848,  2.81943e-09,  2.75678e-09,  7.48097e-09,  2.06400e-10, -6.20275e-10,  5.91250e-10, -4.13875e-10,  0.00000e+00,
