0000000887,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",3:57:34 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.761,4.761,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.761,4.761,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.761,4.761,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.761,4.761,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.761,4.761,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.761,4.761,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.761,4.761,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.761,4.761,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.761,4.761,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:10,     10231,   120.1348,  3.56459e-09,  9.96167e-10,  7.03869e-09, -2.23600e-10,  2.23600e-10,  1.59944e-09,  2.23600e-10,  6.71875e-10,
00:00:10,     10578,   119.8598,  4.07277e-09,  1.49306e-09,  7.03869e-09,  2.24675e-10, -2.23600e-10,  1.28001e-09, -2.23600e-10,  2.23600e-10,
00:00:10,     10924,   120.1348,  3.56216e-09,  1.24461e-09,  6.61278e-09,  2.24675e-10,  0.00000e+00,  1.12030e-09,  2.23600e-10,  6.71875e-10,
00:00:11,     11271,   119.8598,  3.56216e-09,  9.94972e-10,  6.39881e-09,  2.23600e-10, -2.23600e-10,  1.11954e-09,  4.48275e-10,  4.48275e-10,
00:00:11,     11618,   120.1361,  4.58095e-09,  1.49306e-09,  6.61278e-09,  2.23600e-10,  0.00000e+00,  1.12030e-09,  2.24675e-10,  2.23600e-10,
00:00:11,     11964,   120.1348,  3.56459e-09,  1.24461e-09,  6.39881e-09,  2.23600e-10,  0.00000e+00,  1.43973e-09,  0.00000e+00,  4.48275e-10,
00:00:12,     12311,   120.4112,  2.54580e-09,  7.46528e-10,  7.03869e-09,  4.48275e-10,  2.23600e-10,  1.28001e-09, -2.23600e-10,  0.00000e+00,
00:00:12,     12658,   119.8598,  3.56459e-09,  7.46528e-10,  6.61176e-09,  2.23600e-10, -2.23600e-10,  9.59821e-10,  0.00000e+00,  2.23600e-10,
00:00:13,     13004,   120.1348,  3.56216e-09,  1.49306e-09,  6.39881e-09,  2.24675e-10,  2.24675e-10,  1.43973e-09,  0.00000e+00,  0.00000e+00,
00:00:13,     13351,   119.8598,  3.56216e-09,  1.74269e-09,  6.82573e-09,  4.48275e-10,  2.24675e-10,  1.27925e-09, -2.23600e-10,  0.00000e+00,
00:00:13,     13698,   120.4112,  4.07277e-09,  1.24461e-09,  6.82471e-09,  0.00000e+00,  0.00000e+00,  1.43973e-09,  2.23600e-10,  2.23600e-10,
00:00:14,     14044,   120.6875,  5.08914e-09,  1.24461e-09,  7.25164e-09,  4.48275e-10,  2.23600e-10,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:14,     14391,   120.4112,  3.56216e-09,  1.24461e-09,  6.82573e-09,  2.23600e-10, -2.23600e-10,  1.43973e-09,  0.00000e+00,  2.23600e-10,
00:00:14,     14738,   120.4112,  4.58095e-09,  9.94972e-10,  6.61278e-09,  2.24675e-10,  0.00000e+00,  1.43973e-09,  2.23600e-10,  0.00000e+00,
00:00:15,     15084,   120.4112,  4.07277e-09,  1.24461e-09,  7.46562e-09,  2.24675e-10,  2.23600e-10,  1.12030e-09,  0.00000e+00, -2.23600e-10,
00:00:15,     15431,   120.4112,  4.07277e-09,  1.24461e-09,  6.61278e-09,  4.48275e-10,  2.24675e-10,  1.43973e-09,  2.23600e-10, -2.23600e-10,
00:00:15,     15778,   120.4112,  4.07034e-09,  1.24461e-09,  7.25164e-09,  4.48275e-10,  0.00000e+00,  1.27925e-09,  0.00000e+00,  2.24675e-10,
00:00:16,     16124,   120.1348,  4.07277e-09,  1.74269e-09,  7.03869e-09,  4.47200e-10,  2.23600e-10,  1.12030e-09, -2.24675e-10,  0.00000e+00,
00:00:16,     16471,   120.1348,  4.07277e-09,  1.49306e-09,  6.82573e-09,  4.48275e-10,  2.23600e-10,  1.11954e-09,  0.00000e+00,  0.00000e+00,
00:00:16,     16818,   120.1348,  3.05398e-09,  9.94972e-10,  6.61176e-09,  2.23600e-10,  2.24675e-10,  1.43973e-09, -2.23600e-10,  0.00000e+00,
00:00:17,     17164,   120.1348,  5.59977e-09,  1.74269e-09,  7.03869e-09,  2.23600e-10,  0.00000e+00,  1.12030e-09, -2.24675e-10,  0.00000e+00,
00:00:17,     17511,   120.4112,  4.58095e-09,  1.24461e-09,  7.03869e-09,  4.47200e-10,  2.23600e-10,  1.12030e-09,  0.00000e+00,  0.00000e+00,
00:00:17,     17857,   120.4112,  3.56216e-09,  1.24461e-09,  6.18586e-09,  2.24675e-10,  0.00000e+00,  1.43973e-09,  0.00000e+00,  0.00000e+00,
00:00:18,     18203,   120.1348,  3.56459e-09,  1.24461e-09,  6.82573e-09,  6.71875e-10,  2.23600e-10,  9.59821e-10,  0.00000e+00, -4.48275e-10,
00:00:18,     18549,   119.8598,  3.56459e-09,  1.49306e-09,  6.39881e-09,  2.23600e-10, -2.23600e-10,  1.28001e-09,  2.23600e-10,  0.00000e+00,
00:00:18,     18896,   120.1348,  4.58095e-09,  1.49306e-09,  6.82573e-09,  4.48275e-10,  0.00000e+00,  1.28001e-09,  0.00000e+00, -2.23600e-10,
00:00:19,     19243,   120.1348,  4.07034e-09,  1.74269e-09,  7.25164e-09,  2.23600e-10,  0.00000e+00,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:19,     19589,   120.1348,  4.58095e-09,  1.24461e-09,  7.03869e-09,  4.48275e-10,  0.00000e+00,  1.12030e-09,  0.00000e+00,  4.48275e-10,
00:00:19,     19936,   120.1348,  4.07034e-09,  1.74150e-09,  6.61278e-09,  0.00000e+00, -2.23600e-10,  1.11954e-09,  2.23600e-10,  0.00000e+00,
00:00:20,     20283,   119.8598,  4.58095e-09,  1.49306e-09,  7.25164e-09,  4.48275e-10,  0.00000e+00,  1.11954e-09,  0.00000e+00,  2.23600e-10,
00:00:20,     20629,   120.4112,  3.56459e-09,  1.24461e-09,  6.39881e-09,  2.23600e-10,  0.00000e+00,  1.28001e-09,  2.24675e-10,  0.00000e+00,
00:00:20,     20976,   120.4112,  4.07277e-09,  1.49306e-09,  6.82573e-09,  2.24675e-10, -2.23600e-10,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:21,     21323,   120.4112,  4.07034e-09,  1.49306e-09,  8.10550e-09,  2.24675e-10,  0.00000e+00,  1.43973e-09,  0.00000e+00, -2.23600e-10,
00:00:21,     21669,   120.4112,  3.56216e-09,  1.24461e-09,  8.10448e-09,  2.24675e-10,  0.00000e+00,  1.43973e-09,  2.23600e-10,  0.00000e+00,
00:00:22,     22015,   120.9626,  4.58095e-09,  1.98994e-09,  8.53141e-09,  2.24675e-10, -2.23600e-10,  9.59821e-10,  0.00000e+00,  0.00000e+00,
00:00:22,     22361,   120.6875,  4.07034e-09,  9.94972e-10,  7.67857e-09,  0.00000e+00, -2.23600e-10,  1.60021e-09,  0.00000e+00,  2.23600e-10,
00:00:22,     22708,   120.1348,  4.07277e-09,  1.49306e-09,  7.67857e-09,  2.23600e-10,  0.00000e+00,  1.11954e-09,  0.00000e+00,  2.23600e-10,
00:00:23,     23054,   120.4112,  4.07277e-09,  9.96167e-10,  7.67857e-09,  0.00000e+00,  0.00000e+00,  1.28001e-09, -2.23600e-10, -2.23600e-10,
00:00:23,     23401,   120.4112,  3.56216e-09,  7.46528e-10,  7.46562e-09,  0.00000e+00,  0.00000e+00,  1.28001e-09,  0.00000e+00,  2.23600e-10,
00:00:23,     23748,   120.4112,  4.07277e-09,  1.49306e-09,  6.61176e-09,  2.24675e-10, -2.23600e-10,  1.28001e-09,  2.23600e-10,  2.24675e-10,
00:00:24,     24094,   120.4112,  3.56216e-09,  1.49306e-09,  7.89152e-09,  6.71875e-10,  2.23600e-10,  1.43973e-09,  0.00000e+00,  0.00000e+00,
00:00:24,     24441,   120.4112,  4.07034e-09,  1.74150e-09,  7.46562e-09,  2.24675e-10,  2.23600e-10,  1.59944e-09, -2.23600e-10,  0.00000e+00,
00:00:24,     24788,   120.4112,  3.56216e-09,  1.49306e-09,  7.46562e-09,  4.48275e-10,  0.00000e+00,  1.12030e-09,  2.23600e-10,  2.23600e-10,
00:00:25,     25134,   120.1348,  3.56216e-09,  1.49306e-09,  7.89152e-09,  4.48275e-10,  0.00000e+00,  1.28001e-09, -2.23600e-10, -2.23600e-10,
00:00:25,     25481,   120.4112,  5.08914e-09,  9.96167e-10,  7.46562e-09,  2.24675e-10,  4.48275e-10,  1.59944e-09,  0.00000e+00,  0.00000e+00,
00:00:25,     25827,   120.6862,  3.56216e-09,  1.24461e-09,  6.18483e-09,  2.24675e-10,  0.00000e+00,  1.43973e-09,  4.47200e-10,  2.23600e-10,
00:00:26,     26173,   120.4112,  4.58095e-09,  1.49306e-09,  7.25267e-09,  4.48275e-10,  0.00000e+00,  1.43973e-09,  0.00000e+00, -2.23600e-10,
00:00:26,     26519,   120.1348,  4.58095e-09,  1.74150e-09,  7.67857e-09,  2.24675e-10, -2.23600e-10,  1.11954e-09,  2.23600e-10,  0.00000e+00,
00:00:26,     26866,   120.1348,  4.58095e-09,  1.74269e-09,  7.03869e-09,  4.47200e-10,  0.00000e+00,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:27,     27213,   120.4112,  3.56216e-09,  1.24461e-09,  7.25164e-09,  4.48275e-10,  2.23600e-10,  1.28001e-09, -4.47200e-10,  0.00000e+00,
00:00:27,     27559,   120.4112,  3.56216e-09,  1.49306e-09,  6.82573e-09,  2.24675e-10, -2.23600e-10,  1.12030e-09,  2.23600e-10,  4.47200e-10,
00:00:27,     27906,   120.1348,  4.58095e-09,  1.74150e-09,  6.39881e-09,  4.48275e-10,  2.23600e-10,  9.59821e-10,  0.00000e+00,  0.00000e+00,
00:00:28,     28253,   120.1348,  4.07277e-09,  1.49306e-09,  7.46562e-09,  2.23600e-10, -2.23600e-10,  8.00107e-10, -2.24675e-10,  0.00000e+00,
00:00:28,     28599,   120.6875,  5.59977e-09,  1.74150e-09,  6.18586e-09, -2.24675e-10,  0.00000e+00,  1.12030e-09, -2.23600e-10,  4.48275e-10,
00:00:28,     28946,   120.1348,  3.56216e-09,  1.74150e-09,  6.18586e-09,  2.24675e-10,  0.00000e+00,  1.11954e-09,  0.00000e+00,  0.00000e+00,
00:00:29,     29293,   120.1348,  4.58095e-09,  1.74269e-09,  7.25164e-09,  6.71875e-10,  0.00000e+00,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:29,     29639,   120.4112,  4.58095e-09,  1.99113e-09,  6.82573e-09,  2.24675e-10, -2.23600e-10,  1.28001e-09,  2.23600e-10,  2.24675e-10,
00:00:29,     29986,   120.1348,  4.58095e-09,  1.74150e-09,  7.25164e-09,  2.24675e-10,  0.00000e+00,  1.12030e-09, -2.23600e-10,  0.00000e+00,
00:00:30,     30333,   120.6875,  4.58095e-09,  1.74269e-09,  7.03869e-09,  4.48275e-10,  2.23600e-10,  1.27925e-09,  0.00000e+00,  2.23600e-10,
00:00:30,     30679,   120.1348,  3.56459e-09,  9.96167e-10,  6.39881e-09,  2.23600e-10, -2.23600e-10,  1.28001e-09,  2.24675e-10,  2.23600e-10,
00:00:31,     31026,   120.6875,  4.58095e-09,  1.24461e-09,  6.61278e-09,  2.23600e-10, -2.23600e-10,  9.59821e-10,  0.00000e+00,  4.47200e-10,
00:00:31,     31373,   120.1348,  4.07034e-09,  1.49306e-09,  7.03869e-09,  4.48275e-10, -2.23600e-10,  9.59821e-10, -2.23600e-10,  2.23600e-10,
00:00:31,     31719,   120.4112,  3.56459e-09,  1.49306e-09,  6.18483e-09,  0.00000e+00,  2.23600e-10,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:32,     32065,   120.4112,  4.07277e-09,  1.49306e-09,  7.25267e-09,  0.00000e+00,  0.00000e+00,  9.59821e-10,  0.00000e+00,  4.48275e-10,
00:00:32,     32411,   120.6875,  4.58095e-09,  1.24341e-09,  7.25267e-09,  4.48275e-10,  0.00000e+00,  9.59821e-10,  2.23600e-10,  2.23600e-10,
00:00:32,     32758,   120.9626,  4.07277e-09,  9.94972e-10,  6.82471e-09, -2.23600e-10,  2.23600e-10,  1.43973e-09,  2.24675e-10,  2.23600e-10,
00:00:33,     33104,   120.1348,  3.56459e-09,  1.24461e-09,  7.03869e-09,  0.00000e+00,  0.00000e+00,  1.28001e-09, -2.23600e-10,  0.00000e+00,
00:00:33,     33451,   119.8598,  4.58095e-09,  1.49306e-09,  6.39881e-09,  4.48275e-10,  0.00000e+00,  1.28001e-09,  0.00000e+00,  0.00000e+00,
00:00:33,     33798,   120.1348,  4.07034e-09,  1.24341e-09,  6.61176e-09,  2.24675e-10,  0.00000e+00,  1.43973e-09,  0.00000e+00,  4.47200e-10,
00:00:34,     34144,   120.4112,  4.07277e-09,  1.49306e-09,  7.03869e-09,  4.48275e-10,  2.23600e-10,  1.28001e-09, -6.71875e-10,  2.24675e-10,
00:00:34,     34491,   120.1348,  4.58095e-09,  1.24461e-09,  6.61176e-09,  2.23600e-10,  2.24675e-10,  1.43973e-09, -2.23600e-10,  4.48275e-10,
00:00:34,     34838,   120.1348,  4.07034e-09,  9.94972e-10,  6.18586e-09,  2.23600e-10,  2.23600e-10,  1.43973e-09,  2.23600e-10,  2.24675e-10,
00:00:35,     35184,   120.1361,  4.07277e-09,  1.49306e-09,  7.67857e-09,  4.47200e-10,  2.23600e-10,  1.28001e-09, -4.48275e-10,  2.24675e-10,
00:00:35,     35531,   120.6875,  4.58095e-09,  1.49306e-09,  7.25267e-09,  4.48275e-10,  2.23600e-10,  1.28001e-09, -2.23600e-10,  0.00000e+00,
00:00:35,     35878,   120.4112,  4.58095e-09,  1.24461e-09,  7.03869e-09,  2.23600e-10,  2.24675e-10,  1.28001e-09,  0.00000e+00, -2.23600e-10,
00:00:36,     36224,   120.6875,  4.07277e-09,  1.24341e-09,  6.82471e-09,  2.23600e-10,  2.24675e-10,  1.43973e-09, -2.23600e-10,  0.00000e+00,
00:00:36,     36570,   120.1348,  3.05398e-09,  1.74150e-09,  6.39881e-09,  2.24675e-10,  2.24675e-10,  1.28001e-09,  0.00000e+00,  2.23600e-10,
00:00:36,     36916,   120.1348,  5.08914e-09,  1.49306e-09,  6.18586e-09,  2.24675e-10, -2.23600e-10,  1.27925e-09,  0.00000e+00, -2.23600e-10,
00:00:37,     37263,   120.4112,  4.58095e-09,  1.74269e-09,  7.03869e-09,  4.47200e-10,  4.47200e-10,  1.11954e-09, -2.24675e-10, -4.48275e-10,
00:00:37,     37609,   120.1348,  4.07277e-09,  1.24461e-09,  6.18586e-09,  2.23600e-10, -2.24675e-10,  1.11954e-09,  4.48275e-10,  2.24675e-10,
00:00:37,     37956,   120.1348,  5.08914e-09,  1.74150e-09,  6.82573e-09,  2.24675e-10,  2.23600e-10,  1.11954e-09,  0.00000e+00,  2.23600e-10,
00:00:38,     38303,   120.1348,  3.56459e-09,  1.49306e-09,  7.03869e-09,  2.24675e-10,  0.00000e+00,  9.59821e-10, -4.47200e-10,  0.00000e+00,
00:00:38,     38649,   120.4112,  3.56459e-09,  1.49306e-09,  6.82573e-09,  0.00000e+00,  0.00000e+00,  1.11954e-09,  0.00000e+00,  4.48275e-10,
00:00:38,     38996,   120.6875,  4.07277e-09,  1.99113e-09,  6.82573e-09,  2.24675e-10, -2.23600e-10,  9.59821e-10,  0.00000e+00,  2.23600e-10,
00:00:39,     39343,   120.1348,  4.58095e-09,  1.49306e-09,  6.61176e-09,  2.24675e-10,  0.00000e+00,  1.27925e-09, -2.23600e-10,  0.00000e+00,
00:00:39,     39689,   120.6875,  4.07277e-09,  1.49306e-09,  6.39881e-09,  2.23600e-10, -2.23600e-10,  1.43973e-09,  0.00000e+00,  2.23600e-10,
00:00:40,     40036,   120.4112,  4.58095e-09,  1.49306e-09,  6.61278e-09,  2.23600e-10, -2.23600e-10,  1.11954e-09,  0.00000e+00,  0.00000e+00,
00:00:40,     40383,   120.9626,  3.56216e-09,  1.49306e-09,  7.67857e-09,  4.48275e-10,  0.00000e+00,  1.43973e-09, -2.23600e-10,  2.23600e-10,
00:00:40,     40729,   120.6862,  3.56216e-09,  1.49306e-09,  7.89254e-09,  2.24675e-10,  0.00000e+00,  1.60021e-09,  0.00000e+00,  2.24675e-10,
00:00:41,     41076,   120.6862,  4.58095e-09,  1.99113e-09,  1.10909e-08,  4.47952e-09, -4.48275e-10,  2.23984e-09,  4.48275e-10,  4.25592e-09,
00:00:41,     41423,   121.5139,  4.58095e-09,  1.99113e-09,  1.38644e-08,  8.95905e-09,  4.47200e-10,  1.75916e-09,  0.00000e+00,  4.03125e-09,
00:00:41,     41769,   121.5126,  5.09159e-09,  2.23958e-09,  1.34374e-08,  4.25592e-09,  2.23600e-10,  2.08012e-09,  0.00000e+00,  2.01562e-09,
00:00:42,     42116,   122.0640,  3.56459e-09,  2.73767e-09,  1.21577e-08,  3.13470e-09,  4.48275e-10,  1.75993e-09,  0.00000e+00,  1.12015e-09,
00:00:42,     42462,   123.1655,  4.07277e-09,  3.48419e-09,  1.21577e-08,  2.68750e-09,  2.23600e-10,  1.75993e-09, -2.23600e-10,  8.95475e-10,
00:00:42,     42808,   124.2669,  4.07034e-09,  4.47917e-09,  1.06640e-08,  2.01562e-09,  2.23600e-10,  1.75993e-09,  2.23600e-10,  6.71875e-10,
00:00:43,     43154,   125.9197,  3.56216e-09,  6.22067e-09,  1.04510e-08,  1.56842e-09,  2.24675e-10,  1.43973e-09,  2.23600e-10,  4.48275e-10,
00:00:43,     43501,   127.8489,  4.58095e-09,  9.70487e-09,  1.04510e-08,  1.12015e-09,  4.48275e-10,  1.75993e-09,  2.23600e-10,  2.23600e-10,
00:00:43,     43848,   130.0518,  4.07277e-09,  1.61739e-08,  1.00251e-08,  1.12015e-09,  2.23600e-10,  1.59944e-09,  2.23600e-10,  2.24675e-10,
00:00:44,     44194,   131.9810,  4.58095e-09,  2.48850e-08,  1.02381e-08,  1.11907e-09,  2.23600e-10,  1.91964e-09,  0.00000e+00,  4.47200e-10,
00:00:44,     44541,   135.0103,  3.05398e-09,  3.28472e-08,  1.06650e-08,  2.46390e-09,  4.47200e-10,  1.91964e-09,  0.00000e+00,  1.12015e-09,
00:00:44,     44888,   138.0409,  3.56459e-09,  3.40918e-08,  9.59819e-09,  3.35937e-09,  6.71875e-10,  2.23984e-09,  0.00000e+00,  2.46390e-09,
00:00:45,     45234,   140.7952,  3.05398e-09,  3.08560e-08,  9.59819e-09,  6.27047e-09,  2.24675e-10,  1.59944e-09,  2.23600e-10,  3.80765e-09,
00:00:45,     45581,   144.1008,  3.56216e-09,  2.33920e-08,  9.59819e-09,  9.40625e-09,  6.71875e-10,  1.91964e-09, -2.23600e-10,  6.49515e-09,
00:00:45,     45927,   146.8564,  3.05398e-09,  1.81651e-08,  1.02381e-08,  1.25420e-08,  6.71875e-10,  1.91964e-09,  4.48275e-10,  8.73438e-09,
00:00:46,     46273,   150.1621,  4.07277e-09,  1.56770e-08,  9.17129e-09,  1.63486e-08,  8.95475e-10,  1.91964e-09,  0.00000e+00,  9.62985e-09,
00:00:46,     46619,   152.6413,  3.56459e-09,  1.11979e-08,  1.00251e-08,  1.88125e-08,  2.23600e-10,  2.07936e-09,  4.48275e-10,  1.16465e-08,
00:00:46,     46966,   155.3969,  4.58095e-09,  9.45642e-09,  9.81219e-09,  1.97090e-08,  6.71875e-10,  1.91964e-09,  4.48275e-10,  1.25420e-08,
00:00:47,     47313,   157.5998,  4.58095e-09,  8.70870e-09,  1.00251e-08,  1.92607e-08,  1.12015e-09,  1.43973e-09,  2.23600e-10,  1.25420e-08,
00:00:47,     47659,   160.0790,  3.56216e-09,  6.96719e-09,  9.38424e-09,  1.81406e-08,  6.71875e-10,  1.91964e-09,  6.71875e-10,  1.23184e-08,
00:00:48,     48006,   161.4555,  3.05398e-09,  6.22186e-09,  9.38527e-09,  1.88125e-08,  4.47200e-10,  1.75993e-09,  6.71875e-10,  1.09736e-08,
00:00:48,     48353,   163.6610,  3.56216e-09,  5.72378e-09,  9.81219e-09,  1.72451e-08,  4.48275e-10,  1.75993e-09,  6.71875e-10,  9.85453e-09,
00:00:48,     48699,   165.5889,  4.07277e-09,  5.47413e-09,  9.59819e-09,  1.59014e-08,  8.95475e-10,  1.91964e-09,  4.47200e-10,  9.40625e-09,
