0000001024,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:09:34 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:41,     41805,   119.4420,  5.31148e-09,  2.85711e-09,  8.45770e-09,  1.40180e-09,  7.00900e-10,  2.00334e-09,  7.00900e-10,  2.34350e-10,
00:00:42,     42143,   119.4420,  5.84164e-09,  2.33752e-09,  1.00159e-08,  7.01975e-10, -4.67625e-10,  1.33530e-09,  0.00000e+00,  0.00000e+00,
00:00:42,     42482,   119.1537,  6.37425e-09,  2.07713e-09,  9.57057e-09,  1.16852e-09,  0.00000e+00,  1.83594e-09,  2.33275e-10, -4.67625e-10,
00:00:42,     42819,   119.4420,  4.78130e-09,  2.59672e-09,  8.45770e-09,  7.01975e-10,  4.67625e-10,  2.33659e-09,  4.67625e-10, -4.67625e-10,
00:00:43,     43156,   119.1537,  4.78130e-09,  1.55756e-09,  8.68089e-09,  9.35250e-10,  0.00000e+00,  2.00334e-09,  2.34350e-10, -4.67625e-10,
00:00:43,     43494,   119.4420,  5.84164e-09,  1.81674e-09,  8.23450e-09,  1.16852e-09,  2.33275e-10,  2.33659e-09,  2.34350e-10, -2.33275e-10,
00:00:43,     43831,   119.4420,  5.84164e-09,  2.85711e-09,  8.01233e-09,  1.40180e-09,  4.67625e-10,  2.33659e-09,  7.00900e-10,  0.00000e+00,
00:00:44,     44170,   119.7289,  5.31148e-09,  2.59672e-09,  8.01233e-09,  1.16852e-09,  4.67625e-10,  2.16996e-09,  7.00900e-10,  2.34350e-10,
00:00:44,     44508,   119.4420,  6.37425e-09,  2.07713e-09,  9.57057e-09,  4.67625e-10, -4.67625e-10,  1.50269e-09,  0.00000e+00,  4.67625e-10,
00:00:44,     44847,   119.7289,  5.84164e-09,  2.07713e-09,  8.68089e-09,  9.35250e-10,  2.33275e-10,  2.16996e-09,  2.33275e-10, -2.33275e-10,
00:00:45,     45185,   119.7289,  5.84164e-09,  2.59672e-09,  8.45770e-09,  1.16852e-09,  4.67625e-10,  2.33659e-09,  4.67625e-10, -2.33275e-10,
00:00:45,     45523,   119.7289,  4.24868e-09,  2.33752e-09,  8.90305e-09,  7.01975e-10,  0.00000e+00,  1.83594e-09,  2.34350e-10, -2.33275e-10,
00:00:45,     45861,   120.3027,  4.77886e-09,  3.11511e-09,  8.67986e-09, -2.33275e-10, -7.00900e-10,  1.33530e-09, -7.00900e-10,  7.01975e-10,
00:00:46,     46199,   119.4420,  5.84164e-09,  1.81794e-09,  8.45770e-09,  4.67625e-10,  2.33275e-10,  2.16996e-09,  4.67625e-10, -4.67625e-10,
00:00:46,     46538,   119.4406,  2.65573e-09,  2.85711e-09,  7.79017e-09,  4.67625e-10, -4.67625e-10,  1.33530e-09, -7.00900e-10,  9.35250e-10,
00:00:46,     46875,   119.1537,  5.84164e-09,  2.07713e-09,  8.01233e-09,  1.40180e-09,  4.67625e-10,  2.16996e-09,  4.67625e-10, -2.34350e-10,
00:00:47,     47213,   119.7289,  3.18591e-09,  3.11630e-09,  9.12522e-09,  4.67625e-10, -7.00900e-10,  1.50193e-09, -7.00900e-10,  7.01975e-10,
00:00:47,     47550,   120.0158,  6.37425e-09,  2.59672e-09,  8.01233e-09,  1.40180e-09,  7.00900e-10,  2.50398e-09,  2.34350e-10,  0.00000e+00,
00:00:47,     47888,   120.0158,  4.78130e-09,  2.07713e-09,  8.45770e-09,  4.67625e-10,  0.00000e+00,  1.83671e-09,  2.33275e-10,  0.00000e+00,
00:00:48,     48226,   120.3041,  4.78130e-09,  2.59672e-09,  8.90305e-09,  4.67625e-10, -4.67625e-10,  1.33530e-09, -2.33275e-10,  2.33275e-10,
00:00:48,     48564,   119.7276,  5.84164e-09,  1.55756e-09,  8.23552e-09,  2.33275e-10,  0.00000e+00,  2.00334e-09,  0.00000e+00, -2.33275e-10,
00:00:48,     48902,   120.0158,  5.84164e-09,  1.81674e-09,  8.67986e-09,  1.40180e-09,  4.67625e-10,  2.33659e-09,  7.00900e-10, -2.34350e-10,
00:00:49,     49239,   120.3041,  6.90443e-09,  2.33752e-09,  8.90305e-09,  9.35250e-10,  2.33275e-10,  1.83594e-09,  4.67625e-10, -2.34350e-10,
00:00:49,     49578,   120.3041,  3.71852e-09,  2.59672e-09,  8.90305e-09,  2.33275e-10, -4.67625e-10,  1.00129e-09, -4.67625e-10,  4.67625e-10,
00:00:49,     49917,   120.3041,  5.30902e-09,  1.81794e-09,  8.90305e-09,  7.00900e-10,  0.00000e+00,  1.66932e-09,  4.66550e-10, -2.33275e-10,
00:00:50,     50254,   120.0158,  6.90443e-09,  1.81674e-09,  8.23450e-09,  9.35250e-10,  2.33275e-10,  1.66932e-09,  7.00900e-10, -2.34350e-10,
00:00:50,     50593,   120.3041,  4.24868e-09,  2.33633e-09,  8.23552e-09,  2.33275e-10, -4.67625e-10,  1.33530e-09, -2.34350e-10,  4.67625e-10,
00:00:50,     50931,   120.5910,  4.78130e-09,  2.59672e-09,  9.12522e-09,  2.33275e-10, -4.67625e-10,  1.66932e-09,  0.00000e+00,  4.67625e-10,
00:00:51,     51269,   120.3041,  4.77886e-09,  2.07713e-09,  8.45667e-09,  2.33275e-10, -9.34175e-10,  1.50193e-09, -2.33275e-10,  2.33275e-10,
00:00:51,     51607,   120.5910,  4.24868e-09,  2.33633e-09,  9.34738e-09,  7.01975e-10,  0.00000e+00,  1.66932e-09,  0.00000e+00,  0.00000e+00,
00:00:51,     51944,   120.0158,  5.31148e-09,  2.07713e-09,  8.45770e-09,  9.35250e-10,  2.33275e-10,  2.16996e-09,  0.00000e+00,  0.00000e+00,
00:00:52,     52283,   120.0158,  3.18591e-09,  2.85711e-09,  8.90203e-09,  0.00000e+00, -4.67625e-10,  1.50193e-09, -4.67625e-10,  7.01975e-10,
00:00:52,     52622,   120.5910,  5.31148e-09,  2.85591e-09,  8.23450e-09,  2.33275e-10, -7.00900e-10,  1.33530e-09, -7.00900e-10,  7.01975e-10,
00:00:52,     52960,   120.3041,  5.31148e-09,  2.07713e-09,  8.23450e-09,  4.67625e-10, -2.33275e-10,  1.83671e-09,  0.00000e+00,  0.00000e+00,
00:00:53,     53298,   120.8793,  3.71852e-09,  3.11630e-09,  7.34481e-09,  4.67625e-10,  0.00000e+00,  1.50193e-09, -4.67625e-10,  7.00900e-10,
00:00:53,     53635,   120.5910,  5.31148e-09,  1.81794e-09,  8.68089e-09,  7.00900e-10,  0.00000e+00,  1.66932e-09,  7.00900e-10, -4.67625e-10,
00:00:53,     53973,   120.5910,  3.18591e-09,  3.63469e-09,  8.23450e-09,  0.00000e+00, -2.33275e-10,  1.50269e-09, -4.67625e-10,  7.00900e-10,
00:00:54,     54311,   120.5910,  3.18834e-09,  2.07713e-09,  9.12522e-09, -2.33275e-10, -7.00900e-10,  1.50193e-09, -4.67625e-10,  7.01975e-10,
00:00:54,     54650,   120.5910,  5.84164e-09,  1.81674e-09,  8.67986e-09,  0.00000e+00, -4.67625e-10,  1.33530e-09, -2.33275e-10,  2.33275e-10,
00:00:54,     54988,   120.8793,  4.77886e-09,  3.37550e-09,  6.67626e-09,  9.35250e-10,  2.33275e-10,  1.50193e-09,  0.00000e+00,  7.00900e-10,
00:00:55,     55326,   120.8793,  3.71607e-09,  2.85591e-09,  8.67986e-09, -2.33275e-10, -4.67625e-10,  1.33530e-09, -7.00900e-10,  9.35250e-10,
00:00:55,     55664,   120.8793,  3.71607e-09,  2.33633e-09,  8.23450e-09, -2.33275e-10, -4.67625e-10,  1.66932e-09, -7.00900e-10,  9.35250e-10,
00:00:56,     56003,   120.8793,  3.71607e-09,  2.85591e-09,  7.79017e-09,  1.16852e-09,  2.34350e-10,  2.00334e-09,  4.67625e-10,  7.00900e-10,
00:00:56,     56342,   120.3041,  3.71852e-09,  2.85711e-09,  7.78914e-09,  7.00900e-10,  0.00000e+00,  1.66932e-09,  0.00000e+00,  4.67625e-10,
00:00:56,     56680,   120.5910,  3.18591e-09,  3.37550e-09,  7.34481e-09,  0.00000e+00,  0.00000e+00,  1.66932e-09, -2.33275e-10,  7.00900e-10,
00:00:57,     57018,   120.5910,  5.31148e-09,  2.07713e-09,  7.56697e-09,  9.35250e-10,  7.00900e-10,  2.16996e-09,  7.00900e-10, -2.34350e-10,
00:00:57,     57357,   120.8793,  4.78130e-09,  3.11630e-09,  7.12162e-09,  9.35250e-10,  4.67625e-10,  1.83594e-09,  0.00000e+00,  4.67625e-10,
00:00:57,     57694,   120.5910,  4.24868e-09,  3.11630e-09,  6.89945e-09,  7.00900e-10,  0.00000e+00,  1.83671e-09,  0.00000e+00,  9.34175e-10,
00:00:58,     58033,   120.5910,  4.77886e-09,  1.81674e-09,  7.78914e-09,  7.01975e-10,  0.00000e+00,  1.66932e-09,  2.33275e-10, -2.33275e-10,
00:00:58,     58371,   120.5910,  5.31148e-09,  2.33752e-09,  7.34481e-09,  1.40180e-09,  4.67625e-10,  2.16996e-09,  4.67625e-10,  0.00000e+00,
00:00:58,     58709,   120.8793,  5.84409e-09,  2.85711e-09,  7.79017e-09,  1.16852e-09,  7.00900e-10,  2.16996e-09,  7.00900e-10,  2.34350e-10,
00:00:59,     59046,   121.1662,  5.84409e-09,  2.33633e-09,  8.01233e-09,  7.01975e-10,  9.34175e-10,  2.16996e-09,  4.67625e-10, -2.34350e-10,
00:00:59,     59384,   120.8793,  4.77886e-09,  2.85591e-09,  7.12264e-09,  1.16852e-09,  2.33275e-10,  2.00334e-09,  0.00000e+00,  7.00900e-10,
00:00:59,     59723,   120.8793,  5.84164e-09,  2.07713e-09,  8.90305e-09,  9.35250e-10,  7.00900e-10,  2.16996e-09,  4.67625e-10, -7.00900e-10,
00:01:00,     60062,   120.8793,  5.31148e-09,  2.07713e-09,  7.56697e-09,  9.35250e-10,  4.67625e-10,  2.00334e-09,  7.00900e-10, -2.34350e-10,
00:01:00,     60400,   120.8793,  4.24868e-09,  2.85591e-09,  7.56697e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09,  2.34350e-10,  4.67625e-10,
00:01:00,     60738,   121.1662,  5.84164e-09,  1.03917e-09,  8.23552e-09,  4.67625e-10,  2.33275e-10,  1.83594e-09,  2.33275e-10, -4.67625e-10,
00:01:01,     61077,   120.8793,  6.90443e-09,  1.81674e-09,  8.45770e-09,  7.00900e-10,  2.33275e-10,  2.00334e-09,  4.67625e-10, -2.34350e-10,
00:01:01,     61415,   120.5910,  5.84164e-09,  2.33633e-09,  7.79017e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09,  4.67625e-10,  0.00000e+00,
00:01:01,     61753,   120.3027,  3.71852e-09,  1.81794e-09,  8.23450e-09,  0.00000e+00, -2.34350e-10,  1.50269e-09,  0.00000e+00,  2.33275e-10,
00:01:02,     62092,   121.1662,  5.31148e-09,  1.81794e-09,  8.45770e-09,  2.33275e-10, -4.67625e-10,  1.83594e-09,  2.33275e-10, -2.33275e-10,
00:01:02,     62430,   121.1662,  6.90443e-09,  2.07713e-09,  8.23552e-09,  4.67625e-10,  4.67625e-10,  2.16996e-09,  2.33275e-10, -4.67625e-10,
00:01:02,     62768,   120.8793,  3.71607e-09,  2.59672e-09,  7.34481e-09,  0.00000e+00, -4.67625e-10,  1.33530e-09, -2.34350e-10,  7.00900e-10,
00:01:03,     63106,   120.5910,  3.71852e-09,  2.07713e-09,  8.23450e-09,  0.00000e+00, -7.00900e-10,  1.16791e-09, -7.00900e-10,  4.67625e-10,
00:01:03,     63445,   120.8793,  5.31148e-09,  1.55756e-09,  8.23552e-09,  4.67625e-10,  0.00000e+00,  1.50269e-09,  4.67625e-10, -4.67625e-10,
00:01:03,     63783,   120.3027,  3.18591e-09,  2.85711e-09,  8.67986e-09,  0.00000e+00, -4.67625e-10,  1.16868e-09, -7.00900e-10,  7.01975e-10,
00:01:04,     64121,   121.1662,  2.65573e-09,  3.11630e-09,  7.34481e-09,  2.33275e-10,  0.00000e+00,  1.33530e-09, -7.00900e-10,  9.35250e-10,
00:01:04,     64459,   120.5910,  4.78130e-09,  2.33752e-09,  8.45770e-09,  0.00000e+00, -4.67625e-10,  1.16791e-09, -2.34350e-10,  2.33275e-10,
00:01:04,     64798,   120.5910,  3.18591e-09,  3.11630e-09,  7.56800e-09,  4.67625e-10,  0.00000e+00,  1.16868e-09,  0.00000e+00,  7.00900e-10,
00:01:05,     65137,   120.3027,  3.18591e-09,  2.85591e-09,  7.34481e-09,  0.00000e+00,  0.00000e+00,  1.16868e-09, -4.67625e-10,  7.00900e-10,
00:01:05,     65475,   120.3041,  3.71607e-09,  2.07713e-09,  7.79017e-09,  2.34350e-10, -4.67625e-10,  1.00129e-09, -4.67625e-10,  7.00900e-10,
00:01:05,     65813,   120.8793,  5.31148e-09,  2.59672e-09,  6.67626e-09,  9.35250e-10,  4.67625e-10,  1.50193e-09,  4.67625e-10,  2.34350e-10,
00:01:06,     66152,   120.8793,  3.71852e-09,  2.85591e-09,  7.34481e-09,  9.35250e-10,  0.00000e+00,  1.66932e-09, -2.34350e-10,  7.00900e-10,
00:01:06,     66490,   120.8779,  4.24868e-09,  3.11630e-09,  7.12264e-09,  4.67625e-10, -2.33275e-10,  1.66932e-09,  0.00000e+00,  7.00900e-10,
00:01:06,     66828,   120.8793,  6.37425e-09,  2.07713e-09,  7.78914e-09,  1.16852e-09,  7.00900e-10,  2.00334e-09,  7.00900e-10,  0.00000e+00,
00:01:07,     67166,   120.5910,  5.31148e-09,  2.85591e-09,  7.12162e-09,  9.35250e-10,  4.67625e-10,  1.66932e-09,  0.00000e+00,  7.00900e-10,
00:01:07,     67504,   120.5910,  5.31148e-09,  2.85591e-09,  7.12162e-09,  4.67625e-10,  7.00900e-10,  1.83671e-09,  2.34350e-10,  0.00000e+00,
00:01:07,     67842,   120.8793,  3.71607e-09,  3.11630e-09,  6.89945e-09,  4.67625e-10,  0.00000e+00,  1.66932e-09, -2.34350e-10,  7.00900e-10,
00:01:08,     68179,   120.8793,  3.71607e-09,  3.11630e-09,  7.12162e-09,  2.33275e-10,  0.00000e+00,  1.66932e-09, -2.34350e-10,  7.00900e-10,
00:01:08,     68517,   121.1662,  3.18591e-09,  2.85591e-09,  7.34481e-09,  0.00000e+00,  0.00000e+00,  1.16791e-09,  0.00000e+00,  9.34175e-10,
00:01:08,     68855,   120.8793,  3.18591e-09,  2.33752e-09,  7.56697e-09,  4.67625e-10, -4.67625e-10,  1.33530e-09, -2.34350e-10,  7.00900e-10,
00:01:09,     69193,   120.5910,  4.77886e-09,  2.59672e-09,  7.79017e-09,  1.16852e-09,  7.00900e-10,  2.00334e-09,  7.00900e-10, -4.67625e-10,
00:01:09,     69532,   120.3041,  4.77886e-09,  3.11630e-09,  7.12162e-09,  1.16852e-09,  4.67625e-10,  1.83671e-09,  4.67625e-10,  0.00000e+00,
00:01:09,     69870,   120.5910,  4.24868e-09,  2.85591e-09,  6.45410e-09,  9.35250e-10,  2.34350e-10,  1.50193e-09,  2.34350e-10,  7.00900e-10,
00:01:10,     70208,   120.3041,  5.84164e-09,  1.55756e-09,  7.56800e-09,  2.34350e-10,  2.33275e-10,  1.83594e-09,  0.00000e+00,  0.00000e+00,
00:01:10,     70546,   120.3041,  4.78130e-09,  2.33752e-09,  7.34481e-09,  9.35250e-10,  2.34350e-10,  1.66932e-09,  4.67625e-10, -4.67625e-10,
00:01:10,     70885,   120.0158,  5.84409e-09,  2.33752e-09,  6.89945e-09,  9.35250e-10,  2.34350e-10,  1.83671e-09,  7.00900e-10,  0.00000e+00,
00:01:11,     71223,   120.3041,  5.31148e-09,  1.81674e-09,  7.79017e-09,  2.33275e-10, -2.33275e-10,  1.33530e-09,  2.34350e-10, -2.33275e-10,
00:01:11,     71561,   120.3041,  5.31148e-09,  2.07713e-09,  7.79017e-09,  2.34350e-10,  0.00000e+00,  1.50193e-09,  4.67625e-10,  0.00000e+00,
00:01:11,     71899,   120.5910,  5.84164e-09,  1.55756e-09,  7.78914e-09,  9.35250e-10,  4.67625e-10,  1.66932e-09,  2.34350e-10, -2.33275e-10,
00:01:12,     72238,   120.3041,  3.71852e-09,  2.59672e-09,  8.01233e-09, -2.33275e-10, -4.67625e-10,  1.50193e-09, -4.67625e-10,  7.01975e-10,
00:01:12,     72576,   120.0158,  3.71852e-09,  2.85711e-09,  8.23450e-09, -4.67625e-10, -7.00900e-10,  1.00129e-09, -7.00900e-10,  7.00900e-10,
00:01:12,     72914,   120.3041,  4.77886e-09,  2.33633e-09,  7.34481e-09,  0.00000e+00, -2.33275e-10,  1.50269e-09, -2.33275e-10,  0.00000e+00,
00:01:13,     73253,   120.5910,  3.18591e-09,  2.85591e-09,  6.45410e-09,  7.01975e-10, -2.34350e-10,  1.50193e-09,  2.34350e-10,  4.67625e-10,
00:01:13,     73592,   120.3027,  3.18591e-09,  2.85711e-09,  7.34481e-09,  0.00000e+00, -4.67625e-10,  1.33530e-09, -2.34350e-10,  9.34175e-10,
00:01:13,     73930,   120.3041,  3.71607e-09,  2.33633e-09,  7.56800e-09,  0.00000e+00, -7.00900e-10,  1.16868e-09, -7.00900e-10,  7.00900e-10,
00:01:14,     74268,   120.8779,  5.31148e-09,  3.11630e-09,  6.89945e-09,  7.01975e-10,  2.34350e-10,  1.83671e-09,  0.00000e+00,  2.33275e-10,
00:01:14,     74606,   120.3041,  4.24868e-09,  2.85591e-09,  7.34481e-09,  4.67625e-10, -2.34350e-10,  1.66932e-09, -2.34350e-10,  7.00900e-10,
00:01:14,     74944,   120.3041,  3.71607e-09,  2.85591e-09,  6.89945e-09,  4.67625e-10,  2.34350e-10,  1.66932e-09,  0.00000e+00,  4.67625e-10,
00:01:15,     75281,   120.3041,  3.18591e-09,  2.85591e-09,  6.89945e-09,  2.33275e-10,  0.00000e+00,  1.50193e-09, -2.34350e-10,  7.00900e-10,
00:01:15,     75620,   120.5910,  3.18591e-09,  2.33752e-09,  7.56800e-09,  0.00000e+00, -4.67625e-10,  1.16868e-09, -2.34350e-10,  9.34175e-10,
00:01:15,     75958,   120.3041,  4.78130e-09,  2.07713e-09,  7.34481e-09,  9.35250e-10,  7.00900e-10,  1.50269e-09,  2.34350e-10, -2.33275e-10,
00:01:16,     76297,   120.3041,  4.77886e-09,  2.59672e-09,  7.12162e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09,  4.67625e-10,  0.00000e+00,
00:01:16,     76635,   120.5910,  3.18591e-09,  2.59672e-09,  6.67729e-09,  1.16852e-09,  4.67625e-10,  2.00334e-09,  2.33275e-10,  4.67625e-10,
00:01:16,     76973,   120.3041,  6.37182e-09,  2.07713e-09,  8.01233e-09,  4.67625e-10,  0.00000e+00,  2.00334e-09,  4.67625e-10, -4.67625e-10,
00:01:17,     77312,   120.5910,  5.84164e-09,  2.59672e-09,  8.01233e-09,  1.16852e-09,  7.00900e-10,  2.33659e-09,  4.67625e-10, -7.00900e-10,
00:01:17,     77650,   120.5910,  6.90443e-09,  3.11630e-09,  9.34738e-09,  2.57032e-09,  7.00900e-10,  2.83800e-09,  9.35250e-10,  2.10270e-09,
00:01:17,     77988,   120.8793,  3.71607e-09,  3.89508e-09,  1.46896e-08,  2.17343e-08,  2.34350e-10,  2.67061e-09,  2.34350e-10,  1.91629e-08,
00:01:18,     78326,   120.8793,  4.24868e-09,  2.85591e-09,  1.66922e-08,  2.73426e-08,  9.35250e-10,  2.50398e-09,  4.67625e-10,  1.23861e-08,
00:01:18,     78664,   122.0283,  4.78130e-09,  3.63469e-09,  1.64700e-08,  1.37879e-08,  2.34350e-10,  2.33659e-09,  4.67625e-10,  6.07590e-09,
00:01:19,     79002,   122.3166,  5.30902e-09,  5.19344e-09,  1.49128e-08,  8.88058e-09,  7.00900e-10,  2.33736e-09,  9.35250e-10,  3.73885e-09,
00:01:19,     79340,   123.1787,  5.84164e-09,  5.71183e-09,  1.37989e-08,  8.88058e-09,  2.33275e-10,  2.83800e-09,  7.01975e-10,  2.33705e-09,
00:01:19,     79678,   124.6160,  2.65573e-09,  9.08733e-09,  1.33535e-08,  5.60827e-09, -2.34350e-10,  2.50398e-09,  0.00000e+00,  3.03795e-09,
00:01:20,     80016,   126.0533,  2.65573e-09,  1.71379e-08,  1.33535e-08,  4.20647e-09, -4.67625e-10,  2.50398e-09, -2.33275e-10,  2.33705e-09,
00:01:20,     80354,   127.7775,  3.71852e-09,  3.19382e-08,  1.26870e-08,  3.97212e-09, -4.67625e-10,  2.33736e-09, -2.34350e-10,  1.86942e-09,
00:01:20,     80692,   130.0769,  6.37425e-09,  5.03744e-08,  1.22407e-08,  3.27122e-09,  0.00000e+00,  2.33659e-09, -2.34350e-10,  2.10377e-09,
00:01:21,     81030,   132.9515,  4.77886e-09,  6.02418e-08,  1.29091e-08,  4.67410e-09,  7.01975e-10,  2.83800e-09,  0.00000e+00,  2.10377e-09,
00:01:21,     81368,   135.5392,  3.71607e-09,  5.97222e-08,  1.09056e-08,  8.17860e-09,  1.86942e-09,  3.17125e-09,  2.33275e-10,  6.07590e-09,
00:01:21,     81705,   138.7007,  4.77886e-09,  5.27120e-08,  1.17963e-08,  1.51897e-08,  1.86942e-09,  3.33864e-09,  4.67625e-10,  1.02823e-08,
00:01:22,     82043,   141.5753,  3.18591e-09,  4.28447e-08,  1.17952e-08,  2.57064e-08,  2.80360e-09,  2.33736e-09,  2.33275e-10,  2.12667e-08,
00:01:22,     82381,   144.7368,  2.65573e-09,  3.03807e-08,  1.24638e-08,  3.90268e-08,  2.80360e-09,  2.50398e-09,  4.67625e-10,  3.29509e-08,
00:01:22,     82719,   147.8983,  2.65573e-09,  2.51872e-08,  1.35767e-08,  5.35156e-08,  2.57032e-09,  2.50398e-09,  7.00900e-10,  4.65056e-08,
00:01:23,     83057,   150.1978,  2.65573e-09,  1.86954e-08,  1.53571e-08,  6.91741e-08,  2.57032e-09,  2.16996e-09,  9.34175e-10,  5.98270e-08,
00:01:23,     83395,   153.3606,  4.77886e-09,  1.45411e-08,  1.73607e-08,  8.62333e-08,  3.03795e-09,  2.83800e-09,  1.40180e-09,  7.29129e-08,
00:01:23,     83733,   155.9470,  3.18591e-09,  1.42808e-08,  1.73597e-08,  9.60491e-08,  4.67410e-09,  3.00462e-09,  2.10270e-09,  7.99241e-08,
00:01:24,     84070,   158.2464,  4.77886e-09,  1.09065e-08,  1.98087e-08,  1.02592e-07,  4.20647e-09,  3.00462e-09,  2.10377e-09,  8.48315e-08,
00:01:24,     84408,   160.5471,  2.65573e-09,  1.06461e-08,  1.91401e-08,  1.05163e-07,  3.73992e-09,  3.17125e-09,  2.80467e-09,  8.48315e-08,
00:01:24,     84746,   162.5583,  3.18591e-09,  9.08733e-09,  1.95854e-08,  1.02825e-07,  3.50557e-09,  2.50398e-09,  1.86942e-09,  8.38973e-08,
00:01:25,     85084,   164.2838,  3.71852e-09,  8.04936e-09,  2.06993e-08,  9.51139e-08,  3.03795e-09,  2.83723e-09,  1.63507e-09,  7.71194e-08,
00:01:25,     85423,   165.7211,  4.24868e-09,  8.30856e-09,  1.91401e-08,  9.48806e-08,  3.97320e-09,  3.00462e-09,  2.10270e-09,  7.22120e-08,
00:01:25,     85761,   166.5819,  4.24868e-09,  7.79017e-09,  1.89179e-08,  8.88036e-08,  3.50557e-09,  2.83723e-09,  1.63615e-09,  6.77712e-08,
00:01:26,     86100,   168.3075,  3.18591e-09,  7.27058e-09,  1.91411e-08,  8.52991e-08,  3.03795e-09,  3.17125e-09,  1.63507e-09,  6.42667e-08,
00:01:26,     86438,   169.4578,  5.84409e-09,  6.49180e-09,  1.98087e-08,  8.29621e-08,  3.50557e-09,  3.33864e-09,  2.57140e-09,  6.23973e-08,
00:01:26,     86777,   170.6069,  3.71852e-09,  7.27058e-09,  1.95865e-08,  8.31964e-08,  3.73885e-09,  4.17330e-09,  2.57140e-09,  6.45000e-08,
00:01:27,     87115,   171.7572,  4.77886e-09,  7.52978e-09,  1.95854e-08,  8.81027e-08,  3.73885e-09,  3.50604e-09,  2.10377e-09,  6.73047e-08,
00:01:27,     87453,   172.3324,  4.77886e-09,  5.71183e-09,  2.18112e-08,  9.02065e-08,  3.50557e-09,  3.17201e-09,  2.33705e-09,  7.15111e-08,
00:01:27,     87791,   172.9063,  5.31148e-09,  5.97222e-09,  2.11437e-08,  9.74509e-08,  3.50557e-09,  3.67266e-09,  2.57032e-09,  8.03907e-08,
00:01:28,     88130,   174.3436,  5.31148e-09,  5.45383e-09,  2.20333e-08,  1.09837e-07,  3.97320e-09,  4.00591e-09,  3.50557e-09,  9.09074e-08,
00:01:28,     88468,   174.9188,  4.24868e-09,  5.71183e-09,  2.40370e-08,  1.21054e-07,  4.20647e-09,  3.17125e-09,  2.57032e-09,  1.05630e-07,
00:01:28,     88806,   176.0691,  4.24868e-09,  5.97222e-09,  2.55952e-08,  1.37413e-07,  4.67410e-09,  3.83929e-09,  3.27122e-09,  1.21755e-07,
00:01:29,     89144,   176.3561,  5.84164e-09,  5.97222e-09,  2.64859e-08,  1.57277e-07,  5.37500e-09,  3.83929e-09,  3.97320e-09,  1.37413e-07,
00:01:29,     89483,   177.5064,  3.71607e-09,  6.49180e-09,  2.98235e-08,  1.80647e-07,  4.90737e-09,  3.50526e-09,  3.97212e-09,  1.62185e-07,
00:01:29,     89822,   178.6555,  3.18591e-09,  7.01019e-09,  3.07143e-08,  2.02847e-07,  5.84262e-09,  3.67189e-09,  4.20647e-09,  1.79712e-07,
00:01:30,     90159,   179.2307,  4.24868e-09,  6.75100e-09,  3.31622e-08,  2.14064e-07,  6.07590e-09,  3.33864e-09,  4.67410e-09,  1.86022e-07,
00:01:30,     90498,   180.0928,  4.24868e-09,  7.27058e-09,  3.24947e-08,  2.11728e-07,  7.01115e-09,  4.84134e-09,  5.14172e-09,  1.76907e-07,
00:01:30,     90835,   181.2431,  5.31148e-09,  6.75100e-09,  3.31622e-08,  1.86722e-07,  5.14065e-09,  3.83929e-09,  3.73992e-09,  1.48863e-07,
00:01:31,     91173,   182.1053,  4.24868e-09,  7.78897e-09,  3.04921e-08,  1.50033e-07,  5.37500e-09,  4.00591e-09,  3.97320e-09,  1.09603e-07,
00:01:31,     91511,   183.2543,  3.18591e-09,  7.01139e-09,  2.71534e-08,  1.11706e-07,  3.27230e-09,  3.67189e-09,  2.10270e-09,  8.22601e-08,
