0000001024,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:09:34 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:16,     16783,   120.5910,  5.31148e-09,  3.11630e-09,  1.26860e-08,  1.16852e-09, -4.67625e-10,  2.33736e-09, -4.67625e-10,  4.67625e-10,
00:00:17,     17121,   120.3041,  7.43459e-09,  2.59672e-09,  1.20185e-08,  2.10270e-09,  0.00000e+00,  2.83800e-09,  4.67625e-10,  4.67625e-10,
00:00:17,     17459,   120.3041,  5.31148e-09,  2.59672e-09,  1.09056e-08,  2.57032e-09,  7.00900e-10,  3.00462e-09,  4.67625e-10,  2.33275e-10,
00:00:17,     17798,   120.3041,  4.24868e-09,  3.37550e-09,  1.20185e-08,  1.16852e-09, -7.00900e-10,  2.16996e-09, -4.67625e-10,  9.34175e-10,
00:00:18,     18137,   120.3041,  5.84164e-09,  2.59672e-09,  1.22407e-08,  1.86942e-09,  0.00000e+00,  2.33736e-09,  2.33275e-10,  4.67625e-10,
00:00:18,     18474,   120.5910,  5.31148e-09,  2.33752e-09,  1.17963e-08,  2.10270e-09,  0.00000e+00,  2.67061e-09,  0.00000e+00,  2.34350e-10,
00:00:18,     18811,   120.5910,  5.31148e-09,  3.11511e-09,  1.17963e-08,  1.16852e-09, -2.34350e-10,  2.67061e-09,  2.33275e-10,  4.67625e-10,
00:00:19,     19149,   120.3041,  6.90443e-09,  2.59672e-09,  1.13510e-08,  2.57032e-09,  7.00900e-10,  2.83800e-09,  4.67625e-10,  0.00000e+00,
00:00:19,     19488,   120.3027,  4.24868e-09,  3.37550e-09,  1.15731e-08,  9.35250e-10, -7.00900e-10,  2.16996e-09, -7.00900e-10,  1.40180e-09,
00:00:19,     19826,   120.5910,  4.77886e-09,  2.59672e-09,  1.17963e-08,  1.16852e-09, -7.00900e-10,  2.33736e-09, -4.67625e-10,  1.16852e-09,
00:00:20,     20165,   120.3041,  6.37425e-09,  2.85591e-09,  1.09056e-08,  1.16852e-09, -2.33275e-10,  2.33659e-09,  0.00000e+00,  4.67625e-10,
00:00:20,     20503,   120.3041,  3.18591e-09,  3.63589e-09,  1.09056e-08,  1.16852e-09, -2.34350e-10,  2.00334e-09, -2.34350e-10,  1.16852e-09,
00:00:20,     20842,   120.3041,  3.71607e-09,  3.11630e-09,  1.11288e-08,  1.16852e-09, -7.00900e-10,  1.66932e-09, -4.67625e-10,  1.16852e-09,
