Mon, Oct 16, 2017	12:25 PM
 x = amu	 y = amps
23.160	103.342
23.220	103.533
23.280	104.157
23.340	106.895
23.400	111.493
23.460	143.118
23.520	155.459
23.580	165.687
23.640	167.623
23.700	166.247
23.760	168.005
23.820	159.408
23.880	161.114
23.940	160.847
24.000	157.981
24.060	160.847
24.120	146.531
24.180	151.052
24.240	118.880
24.300	104.462
24.360	106.666
24.420	117.173
24.480	130.012
24.540	188.332
24.600	206.163
24.660	211.423
24.720	213.652
24.780	220.848
24.840	210.060
24.900	201.693
24.960	210.659
25.020	203.603
25.080	200.699
25.140	193.987
25.200	186.218
25.260	145.054
25.320	115.913
25.380	125.809
25.440	221.256
25.500	370.629
25.560	575.214
25.620	621.639
25.680	669.222
25.740	685.308
25.800	688.416
25.860	666.611
25.920	627.434
25.980	640.438
26.040	602.789
26.100	604.037
26.160	518.601
26.220	465.541
26.280	376.309
26.340	142.124
26.400	167.584
26.460	230.617
26.520	823.957
26.580	1196.893
26.640	1533.326
26.700	1619.247
26.760	1684.814
26.820	1687.972
26.880	1561.156
26.940	1548.368
27.000	1581.661
27.060	1495.537
27.120	1478.547
27.180	1217.310
27.240	1250.526
27.300	952.430
27.360	345.678
27.420	379.086
27.480	1422.456
27.540	6897.995
27.600	8475.188
27.660	10756.986
27.720	10937.335
27.780	11174.067
27.840	11513.099
27.900	10747.103
27.960	9925.564
28.020	10712.931
28.080	10033.391
28.140	9734.925
28.200	9320.799
28.260	8469.189
28.320	3972.153
28.380	1584.476
28.440	149.206
28.500	274.698
28.560	554.874
28.620	1006.865
28.680	1119.787
28.740	1267.466
28.800	1299.001
28.860	1309.560
28.920	1270.128
28.980	1196.791
29.040	1217.997
29.100	1149.768
29.160	1114.921
29.220	1006.445
29.280	839.750
29.340	589.403
29.400	150.772
29.460	181.684
29.520	334.011
29.580	844.998
29.640	1021.538
29.700	1241.101
29.760	1311.330
29.820	1304.835
29.880	1313.457
29.940	1200.574
30.000	1171.038
30.060	1192.066
30.120	1180.043
30.180	1109.063
30.240	1000.688
30.300	804.865
30.360	376.793
30.420	112.486
30.480	118.957
30.540	207.793
30.600	330.203
30.660	372.234
30.720	406.482
30.780	424.071
30.840	424.593
30.900	415.818
30.960	397.592
31.020	412.697
31.080	385.530
31.140	367.164
31.200	347.143
31.260	343.029
31.320	248.232
31.380	126.000
31.440	120.740
31.500	211.436
31.560	358.937
31.620	404.992
31.680	459.720
31.740	469.260
31.800	472.533
31.860	467.286
31.920	447.417
31.980	436.132
32.040	442.653
32.100	421.384
32.160	411.500
32.220	370.782
32.280	306.717
32.340	148.340
32.400	111.315
32.460	105.354
32.520	107.570
32.580	111.888
32.640	114.754
32.700	114.919
32.760	115.798
32.820	114.792
32.880	112.779
32.940	113.009
33.000	112.945
33.060	114.473
33.120	114.117
33.180	113.595
33.240	112.767
33.300	109.035
33.360	105.838
33.420	104.845
33.480	105.596
33.540	109.621
33.600	111.391
33.660	114.652
33.720	113.900
33.780	113.034
33.840	114.843
33.900	112.576
33.960	111.964
34.020	112.881
34.080	110.436
34.140	111.327
34.200	110.525
34.260	108.538
34.320	106.895
34.380	103.214
34.440	103.724
34.500	104.220
34.560	104.564
34.620	106.297
