474,scans,118,DataLength,,,,,,,
0:00:07,7791,170.4918,3.18E-09,1.10E-08,4.06E-09,4.81E-09,6.25E-10,1.38E-09,,
0:00:08,8295,170.4918,3.66E-09,9.87E-09,4.18E-09,5.22E-09,7.50E-10,1.31E-09,,
0:00:08,8799,170.7563,3.66E-09,8.78E-09,3.70E-09,4.71E-09,8.75E-10,1.31E-09,,
0:00:09,9303,170.6241,3.91E-09,1.10E-08,3.94E-09,4.71E-09,5.00E-10,1.23E-09,,
0:00:09,9807,170.4918,3.18E-09,1.10E-08,3.70E-09,4.40E-09,7.50E-10,1.31E-09,,
0:00:10,10311,170.6241,3.66E-09,9.87E-09,3.70E-09,4.81E-09,8.75E-10,1.38E-09,,
0:00:10,10815,170.4918,3.18E-09,9.87E-09,3.82E-09,4.71E-09,8.75E-10,1.38E-09,,
0:00:11,11319,170.3596,3.66E-09,8.78E-09,3.82E-09,4.81E-09,7.50E-10,1.31E-09,,
0:00:11,11823,170.6241,3.18E-09,8.78E-09,3.58E-09,4.40E-09,7.50E-10,1.31E-09,,
0:00:12,12327,170.3596,3.42E-09,6.58E-09,3.82E-09,5.12E-09,5.00E-10,1.31E-09,,
0:00:12,12831,170.6241,3.18E-09,8.78E-09,3.94E-09,4.61E-09,8.75E-10,1.23E-09,,
0:00:13,13335,170.4918,3.66E-09,7.68E-09,3.82E-09,4.50E-09,7.50E-10,1.38E-09,,
0:00:13,13839,170.4918,3.66E-09,8.78E-09,4.06E-09,4.71E-09,7.50E-10,1.15E-09,,
0:00:14,14343,170.3596,3.42E-09,7.68E-09,3.94E-09,4.61E-09,8.75E-10,1.23E-09,,
0:00:14,14847,170.4918,3.42E-09,8.78E-09,4.18E-09,4.50E-09,7.50E-10,1.31E-09,,
0:00:15,15351,170.3596,3.18E-09,6.58E-09,4.06E-09,4.50E-09,6.25E-10,1.31E-09,,
0:00:15,15855,170.6241,3.66E-09,8.78E-09,3.82E-09,4.71E-09,7.50E-10,1.08E-09,,
0:00:16,16359,170.4918,3.42E-09,9.87E-09,3.82E-09,4.50E-09,8.75E-10,1.46E-09,,
0:00:16,16863,170.4918,3.66E-09,1.10E-08,3.82E-09,4.61E-09,8.75E-10,1.31E-09,,
0:00:17,17367,170.3596,3.42E-09,9.87E-09,3.94E-09,4.50E-09,7.50E-10,1.38E-09,,
0:00:17,17871,170.3596,3.66E-09,8.78E-09,3.70E-09,4.30E-09,7.50E-10,1.31E-09,,
0:00:18,18375,170.4918,3.66E-09,7.68E-09,3.70E-09,4.71E-09,7.50E-10,1.31E-09,,
0:00:18,18879,170.3596,3.42E-09,8.78E-09,3.82E-09,4.30E-09,7.50E-10,1.23E-09,,
0:00:19,19383,170.3596,3.18E-09,8.78E-09,3.58E-09,4.61E-09,8.75E-10,1.31E-09,,
0:00:19,19887,170.4918,3.18E-09,8.78E-09,3.70E-09,4.30E-09,8.75E-10,1.31E-09,,
0:00:20,20391,170.3596,3.66E-09,8.78E-09,3.82E-09,4.81E-09,7.50E-10,1.23E-09,,
0:00:20,20895,170.4918,3.66E-09,9.87E-09,3.82E-09,5.22E-09,8.75E-10,1.46E-09,,
0:00:21,21399,170.4918,3.42E-09,9.87E-09,3.94E-09,5.43E-09,8.75E-10,1.54E-09,,
0:00:21,21903,170.4918,3.18E-09,8.78E-09,3.58E-09,5.12E-09,7.50E-10,1.69E-09,,
0:00:22,22407,170.4918,3.42E-09,8.78E-09,3.70E-09,5.02E-09,7.50E-10,1.54E-09,,
0:00:22,22911,170.3596,2.93E-09,8.78E-09,3.46E-09,5.02E-09,7.50E-10,1.38E-09,,
0:00:23,23415,170.4918,3.66E-09,7.68E-09,3.70E-09,4.71E-09,6.25E-10,1.15E-09,,
0:00:23,23919,170.6241,3.18E-09,7.68E-09,3.58E-09,4.81E-09,7.50E-10,1.23E-09,,
0:00:24,24423,170.4918,3.66E-09,6.58E-09,3.23E-09,4.81E-09,7.50E-10,1.23E-09,,
0:00:24,24927,170.3596,3.42E-09,8.78E-09,3.34E-09,4.71E-09,6.25E-10,1.15E-09,,
0:00:25,25431,170.4918,3.42E-09,8.78E-09,3.34E-09,4.71E-09,7.50E-10,1.15E-09,,
0:00:25,25935,170.3596,3.42E-09,7.68E-09,3.58E-09,4.61E-09,7.50E-10,1.08E-09,,
0:00:26,26439,170.4918,3.66E-09,8.78E-09,3.58E-09,4.40E-09,6.25E-10,1.08E-09,,
0:00:26,26943,170.3596,3.66E-09,7.68E-09,3.34E-09,4.91E-09,7.50E-10,1.15E-09,,
0:00:27,27447,170.4918,3.66E-09,8.78E-09,3.58E-09,4.81E-09,1.00E-09,1.15E-09,,
0:00:27,27951,170.6241,3.91E-09,5.48E-09,3.34E-09,4.40E-09,8.75E-10,1.23E-09,,
0:00:28,28455,170.3596,3.91E-09,7.68E-09,3.58E-09,4.50E-09,8.75E-10,1.23E-09,,
0:00:28,28959,170.2274,3.91E-09,6.58E-09,2.99E-09,4.71E-09,7.50E-10,1.23E-09,,
0:00:29,29463,170.2274,3.18E-09,8.78E-09,3.46E-09,4.71E-09,8.75E-10,1.38E-09,,
0:00:29,29967,170.4918,3.91E-09,9.87E-09,3.46E-09,4.81E-09,8.75E-10,9.98E-10,,
0:00:30,30471,170.4918,3.18E-09,1.10E-08,3.23E-09,4.30E-09,7.50E-10,1.15E-09,,
0:00:30,30975,170.4918,3.66E-09,7.68E-09,3.34E-09,4.81E-09,6.25E-10,1.23E-09,,
0:00:31,31479,170.4918,3.42E-09,7.68E-09,3.46E-09,5.73E-09,7.50E-10,1.38E-09,,
0:00:31,31983,170.6241,3.91E-09,7.68E-09,3.34E-09,1.00E-08,7.50E-10,1.31E-09,,
0:00:32,32487,170.6241,3.91E-09,9.87E-09,3.82E-09,1.90E-08,7.50E-10,1.38E-09,,
0:00:32,32991,170.7563,3.91E-09,7.68E-09,3.82E-09,2.04E-08,7.50E-10,1.54E-09,,
0:00:33,33495,171.153,3.18E-09,8.78E-09,3.70E-09,1.57E-08,7.50E-10,1.38E-09,,
0:00:33,33999,172.0786,3.42E-09,9.87E-09,4.30E-09,1.41E-08,5.00E-10,1.54E-09,,
0:00:34,34503,173.0041,3.66E-09,9.87E-09,5.38E-09,1.20E-08,7.50E-10,1.77E-09,,
0:00:35,35007,174.7231,3.42E-09,9.87E-09,5.61E-09,1.06E-08,5.00E-10,2.15E-09,,
0:00:35,35511,176.8387,3.42E-09,1.21E-08,5.73E-09,1.06E-08,8.75E-10,2.46E-09,,
0:00:36,36015,179.8799,3.91E-09,1.10E-08,5.38E-09,1.13E-08,6.25E-10,2.76E-09,,
0:00:36,36519,183.0533,2.93E-09,1.43E-08,5.61E-09,1.11E-08,8.75E-10,2.84E-09,,
0:00:37,37023,187.2846,3.66E-09,1.43E-08,5.38E-09,1.00E-08,7.50E-10,2.69E-09,,
0:00:37,37527,191.648,2.93E-09,1.10E-08,5.26E-09,9.01E-09,7.50E-10,2.53E-09,,
0:00:38,38031,196.4082,3.42E-09,1.10E-08,5.02E-09,8.29E-09,7.50E-10,2.15E-09,,
0:00:38,38535,200.6394,3.42E-09,9.87E-09,4.54E-09,7.58E-09,6.25E-10,2.23E-09,,
0:00:39,39039,204.8706,3.42E-09,1.32E-08,4.90E-09,6.65E-09,6.25E-10,1.92E-09,,
0:00:39,39543,208.7052,3.66E-09,9.87E-09,4.30E-09,6.45E-09,6.25E-10,1.92E-09,,
0:00:40,40047,211.7464,3.18E-09,8.78E-09,4.18E-09,6.04E-09,7.50E-10,1.61E-09,,
0:00:40,40551,214.5231,3.42E-09,7.68E-09,4.30E-09,6.14E-09,6.25E-10,1.61E-09,,
0:00:41,41055,216.9032,2.93E-09,9.87E-09,4.18E-09,5.84E-09,5.00E-10,1.46E-09,,
0:00:41,41559,218.7544,3.42E-09,9.87E-09,4.06E-09,5.94E-09,6.25E-10,1.38E-09,,
0:00:42,42063,220.4733,3.42E-09,8.78E-09,4.18E-09,5.63E-09,5.00E-10,1.38E-09,,
0:00:42,42567,222.06,3.91E-09,7.68E-09,4.30E-09,5.43E-09,7.50E-10,1.38E-09,,
0:00:43,43071,223.2501,4.15E-09,7.68E-09,3.94E-09,6.04E-09,6.25E-10,1.38E-09,,
0:00:43,43575,224.4401,3.66E-09,7.68E-09,3.70E-09,5.53E-09,5.00E-10,1.38E-09,,
0:00:44,44079,225.3657,3.42E-09,8.78E-09,4.06E-09,5.43E-09,7.50E-10,1.54E-09,,
0:00:44,44583,226.4235,3.42E-09,8.78E-09,4.18E-09,5.84E-09,6.25E-10,1.61E-09,,
0:00:45,45087,227.6135,3.18E-09,8.78E-09,4.18E-09,5.53E-09,8.75E-10,1.54E-09,,
0:00:45,45591,228.5391,3.18E-09,7.68E-09,3.70E-09,5.43E-09,7.50E-10,1.46E-09,,
0:00:46,46095,229.9936,3.66E-09,7.68E-09,4.18E-09,5.94E-09,3.75E-10,1.61E-09,,
0:00:46,46599,231.1836,4.15E-09,1.10E-08,4.30E-09,6.45E-09,7.50E-10,1.54E-09,,
0:00:47,47103,232.9026,3.91E-09,8.78E-09,4.54E-09,6.55E-09,7.50E-10,1.69E-09,,
0:00:47,47607,234.7538,3.18E-09,1.10E-08,4.54E-09,6.76E-09,7.50E-10,1.84E-09,,
0:00:48,48111,236.7371,3.91E-09,8.78E-09,4.90E-09,7.27E-09,6.25E-10,1.69E-09,,
0:00:48,48615,238.5883,3.42E-09,8.78E-09,5.26E-09,7.27E-09,6.25E-10,1.84E-09,,
0:00:49,49119,240.8362,3.91E-09,9.87E-09,5.61E-09,7.47E-09,7.50E-10,1.84E-09,,
0:00:49,49623,243.4807,3.91E-09,8.78E-09,5.38E-09,7.58E-09,7.50E-10,2.15E-09,,
0:00:50,50127,246.1252,3.91E-09,8.78E-09,5.85E-09,7.47E-09,8.75E-10,1.61E-09,,
0:00:50,50631,248.5053,3.66E-09,1.10E-08,6.21E-09,7.78E-09,7.50E-10,1.77E-09,,
0:00:51,51135,251.282,3.91E-09,9.87E-09,5.97E-09,7.27E-09,6.25E-10,1.77E-09,,
0:00:51,51639,253.9265,3.66E-09,1.10E-08,5.85E-09,7.99E-09,6.25E-10,1.77E-09,,
0:00:52,52143,256.1744,3.66E-09,7.68E-09,6.33E-09,7.88E-09,7.50E-10,1.77E-09,,
0:00:52,52647,258.8189,3.42E-09,9.87E-09,5.97E-09,7.58E-09,8.75E-10,1.61E-09,,
0:00:53,53151,261.199,3.91E-09,1.21E-08,5.61E-09,7.88E-09,7.50E-10,1.69E-09,,
0:00:53,53655,263.3146,3.66E-09,9.87E-09,5.97E-09,7.47E-09,6.25E-10,1.61E-09,,
0:00:54,54159,265.4302,3.42E-09,8.78E-09,5.49E-09,7.47E-09,5.00E-10,1.61E-09,,
0:00:54,54663,267.4136,3.66E-09,1.10E-08,5.85E-09,7.27E-09,7.50E-10,1.54E-09,,
0:00:55,55167,269.397,3.42E-09,9.87E-09,5.97E-09,7.06E-09,5.00E-10,1.61E-09,,
0:00:55,55671,271.2482,3.42E-09,8.78E-09,5.85E-09,7.78E-09,6.25E-10,1.69E-09,,
0:00:56,56175,272.8349,3.18E-09,1.21E-08,6.09E-09,7.17E-09,6.25E-10,1.54E-09,,
0:00:56,56679,274.9505,3.18E-09,9.87E-09,5.61E-09,7.78E-09,7.50E-10,1.38E-09,,
0:00:57,57183,276.5372,3.66E-09,1.10E-08,5.73E-09,8.09E-09,6.25E-10,1.54E-09,,
0:00:57,57687,278.2562,3.66E-09,9.87E-09,5.73E-09,7.88E-09,5.00E-10,1.46E-09,,
0:00:58,58191,280.1073,3.18E-09,1.10E-08,5.73E-09,8.19E-09,7.50E-10,1.54E-09,,
0:00:58,58695,281.8263,4.15E-09,9.87E-09,5.85E-09,8.29E-09,8.75E-10,1.54E-09,,
0:00:59,59199,283.5452,3.18E-09,1.21E-08,5.97E-09,8.50E-09,5.00E-10,1.61E-09,,
0:00:59,59703,285.6608,3.66E-09,9.87E-09,5.73E-09,8.50E-09,5.00E-10,1.54E-09,,
0:01:00,60207,287.2475,3.42E-09,9.87E-09,5.02E-09,8.80E-09,7.50E-10,1.61E-09,,
0:01:00,60711,289.892,3.91E-09,8.78E-09,5.14E-09,9.52E-09,7.50E-10,1.61E-09,,
0:01:01,61215,291.611,3.42E-09,1.10E-08,5.49E-09,9.42E-09,6.25E-10,1.61E-09,,
0:01:01,61719,293.7266,3.66E-09,9.87E-09,5.61E-09,9.73E-09,6.25E-10,1.69E-09,,
0:01:02,62223,295.71,3.91E-09,8.78E-09,5.02E-09,1.06E-08,6.25E-10,1.69E-09,,
0:01:02,62727,298.0901,4.40E-09,7.68E-09,4.78E-09,1.10E-08,7.50E-10,1.61E-09,,
0:01:03,63231,300.0735,4.15E-09,1.21E-08,4.78E-09,1.09E-08,5.00E-10,1.54E-09,,
0:01:03,63735,302.1891,3.66E-09,9.87E-09,4.78E-09,1.12E-08,5.00E-10,1.61E-09,,
0:01:04,64239,304.5692,3.91E-09,9.87E-09,4.78E-09,1.17E-08,5.00E-10,1.61E-09,,
0:01:04,64743,306.817,3.91E-09,9.87E-09,4.66E-09,1.22E-08,6.25E-10,1.54E-09,,
0:01:05,65247,308.6682,3.66E-09,8.78E-09,4.78E-09,1.23E-08,6.25E-10,1.54E-09,,
0:01:05,65751,310.6516,3.66E-09,1.10E-08,4.54E-09,1.24E-08,6.25E-10,1.38E-09,,
0:01:06,66255,312.7672,4.15E-09,8.78E-09,4.54E-09,1.22E-08,6.25E-10,1.46E-09,,
0:01:06,66759,314.8828,3.18E-09,8.78E-09,4.54E-09,1.30E-08,7.50E-10,1.38E-09,,
0:01:07,67263,316.734,3.18E-09,7.68E-09,4.66E-09,1.34E-08,8.75E-10,1.46E-09,,
0:01:07,67767,318.8496,3.66E-09,9.87E-09,4.18E-09,1.39E-08,5.00E-10,1.46E-09,,
0:01:08,68271,320.833,3.66E-09,8.78E-09,4.54E-09,1.44E-08,7.50E-10,1.46E-09,,
0:01:08,68775,322.9486,4.15E-09,7.68E-09,4.30E-09,1.52E-08,6.25E-10,1.61E-09,,
0:01:09,69279,324.5353,3.42E-09,9.87E-09,4.42E-09,1.53E-08,6.25E-10,1.46E-09,,
0:01:09,69783,326.7832,3.91E-09,1.10E-08,4.78E-09,1.57E-08,3.75E-10,1.61E-09,,
0:01:10,70287,328.6343,3.91E-09,1.10E-08,4.78E-09,1.63E-08,5.00E-10,1.38E-09,,
0:01:10,70791,330.6177,3.91E-09,9.87E-09,4.42E-09,1.70E-08,7.50E-10,1.69E-09,,
0:01:11,71295,332.7333,4.15E-09,9.87E-09,4.54E-09,1.77E-08,6.25E-10,1.54E-09,,
0:01:11,71799,334.5845,3.66E-09,9.87E-09,4.30E-09,1.82E-08,6.25E-10,1.61E-09,,
0:01:12,72303,336.7001,4.15E-09,9.87E-09,4.54E-09,1.84E-08,6.25E-10,1.69E-09,,
0:01:12,72807,338.5513,3.91E-09,1.10E-08,4.66E-09,1.91E-08,3.75E-10,1.61E-09,,
0:01:13,73311,340.5347,3.91E-09,9.87E-09,4.66E-09,2.05E-08,7.50E-10,1.46E-09,,
0:01:13,73815,342.9148,3.66E-09,1.10E-08,4.66E-09,2.11E-08,6.25E-10,1.54E-09,,
0:01:14,74319,344.6337,3.91E-09,1.10E-08,4.54E-09,2.12E-08,6.25E-10,1.61E-09,,
0:01:14,74823,346.7493,4.15E-09,1.10E-08,4.90E-09,2.17E-08,8.75E-10,1.46E-09,,
0:01:15,75327,348.6005,3.66E-09,9.87E-09,4.78E-09,2.22E-08,6.25E-10,1.54E-09,,
0:01:15,75831,350.9805,4.15E-09,1.10E-08,4.78E-09,2.32E-08,5.00E-10,1.54E-09,,
0:01:16,76335,352.8317,4.40E-09,9.87E-09,4.66E-09,2.41E-08,7.50E-10,1.61E-09,,
0:01:16,76839,355.2118,3.91E-09,8.78E-09,4.78E-09,2.44E-08,6.25E-10,1.54E-09,,
0:01:17,77343,357.0629,4.15E-09,8.78E-09,5.14E-09,2.55E-08,5.00E-10,1.54E-09,,
0:01:17,77847,359.1786,3.91E-09,8.78E-09,4.42E-09,2.54E-08,6.25E-10,1.38E-09,,
0:01:18,78351,361.2942,4.15E-09,8.78E-09,4.90E-09,2.70E-08,5.00E-10,1.38E-09,,
0:01:18,78855,363.1453,3.66E-09,1.10E-08,4.66E-09,2.83E-08,6.25E-10,1.38E-09,,
0:01:19,79359,365.6576,4.15E-09,8.78E-09,4.90E-09,2.86E-08,7.50E-10,1.54E-09,,
0:01:19,79863,367.2444,3.91E-09,8.78E-09,4.90E-09,3.01E-08,7.50E-10,1.38E-09,,
0:01:20,80367,369.2278,3.91E-09,9.87E-09,5.14E-09,3.18E-08,7.50E-10,1.61E-09,,
0:01:20,80871,371.3434,3.91E-09,1.10E-08,4.90E-09,3.36E-08,5.00E-10,1.31E-09,,
0:01:21,81375,373.1945,3.91E-09,8.78E-09,4.78E-09,3.50E-08,6.25E-10,1.54E-09,,
0:01:21,81879,375.0457,3.91E-09,8.78E-09,4.78E-09,3.64E-08,7.50E-10,1.54E-09,,
0:01:22,82383,377.1613,3.42E-09,7.68E-09,5.02E-09,3.83E-08,6.25E-10,1.54E-09,,
0:01:22,82887,379.2769,3.91E-09,8.78E-09,4.78E-09,4.07E-08,6.25E-10,1.54E-09,,
0:01:23,83391,381.2603,4.40E-09,1.10E-08,5.14E-09,4.32E-08,6.25E-10,1.38E-09,,
0:01:23,83895,383.376,4.15E-09,7.68E-09,4.90E-09,4.60E-08,6.25E-10,1.46E-09,,
0:01:24,84399,385.2271,3.91E-09,9.87E-09,4.78E-09,4.89E-08,6.25E-10,1.54E-09,,
0:01:24,84903,387.0783,3.91E-09,8.78E-09,4.66E-09,5.04E-08,5.00E-10,1.54E-09,,
0:01:25,85407,389.4584,3.42E-09,1.10E-08,5.14E-09,5.41E-08,5.00E-10,1.54E-09,,
0:01:25,85911,391.1773,4.64E-09,7.68E-09,5.61E-09,5.85E-08,7.50E-10,1.61E-09,,
0:01:26,86415,393.2929,3.42E-09,8.78E-09,4.66E-09,6.06E-08,5.00E-10,1.54E-09,,
0:01:26,86919,395.5408,3.91E-09,7.68E-09,4.78E-09,6.48E-08,6.25E-10,1.46E-09,,
0:01:27,87423,397.3919,4.64E-09,8.78E-09,4.54E-09,6.81E-08,6.25E-10,1.69E-09,,
0:01:27,87927,399.5076,3.66E-09,9.87E-09,4.90E-09,7.13E-08,5.00E-10,1.61E-09,,
0:01:28,88431,401.0943,3.42E-09,8.78E-09,4.42E-09,7.53E-08,5.00E-10,1.38E-09,,
0:01:28,88935,403.3421,3.91E-09,8.78E-09,5.02E-09,7.66E-08,6.25E-10,1.54E-09,,
0:01:29,89439,405.59,3.91E-09,7.68E-09,5.14E-09,8.00E-08,6.25E-10,1.46E-09,,
0:01:29,89943,407.4411,3.66E-09,9.87E-09,5.26E-09,8.22E-08,6.25E-10,1.46E-09,,
0:01:30,90447,409.2923,4.89E-09,8.78E-09,4.54E-09,8.58E-08,6.25E-10,1.46E-09,,
0:01:30,90951,411.8046,3.91E-09,8.78E-09,4.78E-09,8.94E-08,6.25E-10,1.38E-09,,
0:01:31,91455,413.3913,4.15E-09,8.78E-09,5.02E-09,9.12E-08,6.25E-10,1.54E-09,,
0:01:31,91959,415.5069,3.66E-09,9.87E-09,4.54E-09,9.53E-08,5.00E-10,1.54E-09,,
0:01:32,92463,417.4903,4.15E-09,9.87E-09,5.02E-09,9.55E-08,6.25E-10,1.69E-09,,
0:01:32,92967,419.6059,4.15E-09,1.10E-08,4.66E-09,1.00E-07,6.25E-10,1.46E-09,,
0:01:33,93471,421.7216,3.18E-09,1.10E-08,4.66E-09,1.03E-07,8.75E-10,1.38E-09,,
0:01:33,93975,423.5727,3.66E-09,9.87E-09,5.14E-09,1.06E-07,8.75E-10,1.54E-09,,
0:01:34,94479,425.2916,3.91E-09,8.78E-09,4.78E-09,1.06E-07,7.50E-10,1.46E-09,,
0:01:34,94983,427.8039,4.15E-09,1.10E-08,4.78E-09,1.08E-07,5.00E-10,1.38E-09,,
0:01:35,95487,429.7873,4.15E-09,1.10E-08,4.90E-09,1.09E-07,6.25E-10,1.31E-09,,
0:01:35,95991,431.6385,3.66E-09,9.87E-09,5.14E-09,1.11E-07,6.25E-10,1.61E-09,,
0:01:36,96495,433.6219,3.66E-09,8.78E-09,5.14E-09,1.10E-07,6.25E-10,1.54E-09,,
0:01:36,96999,435.7375,3.66E-09,9.87E-09,5.02E-09,1.08E-07,7.50E-10,1.46E-09,,
0:01:37,97503,437.5887,3.91E-09,1.10E-08,4.90E-09,1.12E-07,6.25E-10,1.61E-09,,
0:01:38,98007,439.8365,3.66E-09,1.10E-08,4.78E-09,1.13E-07,6.25E-10,1.38E-09,,
0:01:38,98511,441.8199,3.42E-09,9.87E-09,5.26E-09,1.14E-07,6.25E-10,1.54E-09,,
0:01:39,99015,443.9355,4.15E-09,8.78E-09,5.02E-09,1.14E-07,6.25E-10,1.69E-09,,
0:01:39,99519,445.7867,4.15E-09,8.78E-09,4.78E-09,1.17E-07,6.25E-10,1.54E-09,,
0:01:40,100023,447.9023,3.42E-09,7.68E-09,4.90E-09,1.21E-07,5.00E-10,1.61E-09,,
0:01:40,100527,449.8857,3.18E-09,9.87E-09,5.26E-09,1.23E-07,6.25E-10,1.61E-09,,
0:01:41,101031,452.2658,3.66E-09,9.87E-09,5.02E-09,1.24E-07,6.25E-10,1.54E-09,,
0:01:41,101535,453.8525,3.91E-09,1.10E-08,4.78E-09,1.27E-07,5.00E-10,1.69E-09,,
0:01:42,102039,455.8359,4.40E-09,1.10E-08,5.26E-09,1.31E-07,7.50E-10,1.46E-09,,
0:01:42,102543,457.9515,3.91E-09,8.78E-09,4.90E-09,1.33E-07,5.00E-10,1.61E-09,,
0:01:43,103047,459.9349,3.42E-09,9.87E-09,5.26E-09,1.35E-07,6.25E-10,1.46E-09,,
0:01:43,103551,461.9183,3.91E-09,1.21E-08,5.02E-09,1.35E-07,5.00E-10,1.54E-09,,
0:01:44,104055,463.9017,3.66E-09,8.78E-09,5.02E-09,1.37E-07,6.25E-10,1.46E-09,,
0:01:44,104559,466.0173,3.66E-09,1.32E-08,4.90E-09,1.38E-07,6.25E-10,1.54E-09,,
0:01:45,105063,468.0007,3.66E-09,9.87E-09,5.38E-09,1.40E-07,6.25E-10,1.61E-09,,
0:01:45,105567,470.1163,3.66E-09,9.87E-09,5.02E-09,1.40E-07,5.00E-10,1.54E-09,,
0:01:46,106071,472.3642,3.91E-09,1.10E-08,5.02E-09,1.42E-07,6.25E-10,1.38E-09,,
0:01:46,106575,474.0831,3.91E-09,1.10E-08,5.49E-09,1.42E-07,3.75E-10,1.61E-09,,
0:01:47,107079,475.9343,3.42E-09,9.87E-09,4.90E-09,1.46E-07,6.25E-10,1.61E-09,,
0:01:47,107583,478.1821,2.69E-09,1.10E-08,4.66E-09,1.45E-07,5.00E-10,1.61E-09,,
0:01:48,108087,480.1655,3.18E-09,1.10E-08,5.38E-09,1.48E-07,3.75E-10,1.46E-09,,
0:01:48,108591,482.2811,3.66E-09,8.78E-09,5.14E-09,1.50E-07,7.50E-10,1.46E-09,,
0:01:49,109095,484.1323,3.42E-09,1.21E-08,4.90E-09,1.51E-07,5.00E-10,1.61E-09,,
0:01:49,109599,486.3802,3.66E-09,1.32E-08,5.38E-09,1.57E-07,5.00E-10,1.54E-09,,
0:01:50,110103,488.0991,4.15E-09,1.32E-08,5.49E-09,1.72E-07,5.00E-10,1.69E-09,,
0:01:50,110607,490.0825,3.66E-09,1.10E-08,5.14E-09,1.86E-07,3.75E-10,1.46E-09,,
0:01:51,111111,492.3303,3.42E-09,1.21E-08,5.26E-09,2.06E-07,6.25E-10,1.61E-09,,
0:01:51,111615,494.1815,3.91E-09,1.32E-08,5.26E-09,2.20E-07,5.00E-10,1.61E-09,,
0:01:52,112119,496.2971,3.18E-09,1.21E-08,5.38E-09,2.35E-07,6.25E-10,1.77E-09,,
0:01:52,112623,498.6772,3.42E-09,1.32E-08,5.14E-09,2.39E-07,6.25E-10,1.38E-09,,
0:01:53,113127,500.5283,3.18E-09,1.21E-08,5.14E-09,2.35E-07,5.00E-10,1.54E-09,,
0:01:53,113631,502.5117,3.91E-09,1.10E-08,5.26E-09,2.26E-07,7.50E-10,1.61E-09,,
0:01:54,114135,504.4951,3.18E-09,1.21E-08,5.61E-09,2.12E-07,5.00E-10,1.61E-09,,
0:01:54,114639,506.4785,3.42E-09,1.32E-08,5.14E-09,1.96E-07,5.00E-10,1.54E-09,,
0:01:55,115143,508.5941,3.18E-09,1.21E-08,5.26E-09,1.76E-07,6.25E-10,1.38E-09,,
0:01:55,115647,510.5775,3.91E-09,1.21E-08,5.26E-09,1.55E-07,6.25E-10,1.54E-09,,
