Wed, Oct 04, 2017	12:34 PM
 x = amu	 y = amps
24.540	124.255
24.600	159.535
24.660	183.441
24.720	192.497
24.780	200.113
24.840	203.769
24.900	201.642
24.960	199.489
25.020	194.038
25.080	186.307
25.140	187.797
25.200	181.442
25.260	160.184
25.320	138.927
25.380	118.982
25.440	111.302
25.500	116.639
25.560	166.565
25.620	237.151
25.680	302.960
25.740	351.741
25.800	370.400
25.860	388.829
25.920	378.029
25.980	377.417
26.040	356.810
26.100	338.380
26.160	335.922
26.220	326.166
26.280	289.434
26.340	218.670
26.400	137.068
26.460	112.639
26.520	120.358
26.580	144.417
26.640	245.544
26.700	358.453
26.760	398.942
26.820	430.923
26.880	444.742
26.940	439.749
27.000	435.445
27.060	421.829
27.120	405.960
27.180	403.158
27.240	384.371
27.300	366.973
27.360	341.029
27.420	311.914
27.480	474.635
27.540	1759.857
27.600	5238.729
27.660	12192.219
27.720	16010.300
27.780	17929.123
27.840	19622.599
27.900	20309.909
27.960	19259.942
28.020	18979.014
28.080	18158.939
28.140	17302.999
28.200	17497.523
28.260	15650.483
28.320	11347.843
28.380	7282.827
28.440	3092.191
28.500	512.016
28.560	225.128
28.620	460.026
28.680	849.252
28.740	1181.100
28.800	1402.918
28.860	1496.302
28.920	1567.995
28.980	1537.479
29.040	1511.280
29.100	1394.474
29.160	1326.385
29.220	1293.741
29.280	1233.039
29.340	1035.204
29.400	597.503
29.460	234.922
29.520	130.470
29.580	151.982
29.640	227.318
29.700	459.262
29.760	626.810
29.820	692.301
29.880	752.990
29.940	745.335
30.000	719.455
30.060	708.132
30.120	677.042
30.180	680.659
30.240	620.314
30.300	586.053
30.360	461.593
30.420	218.123
30.480	123.567
30.540	115.187
30.600	164.018
30.660	238.603
30.720	302.896
30.780	335.362
30.840	350.289
30.900	367.763
30.960	361.178
31.020	355.918
31.080	342.876
31.140	329.732
31.200	324.281
31.260	303.724
31.320	273.883
31.380	189.988
31.440	128.725
31.500	115.429
31.560	152.568
31.620	224.300
31.680	310.475
31.740	388.536
31.800	412.888
31.860	434.056
31.920	446.309
31.980	430.299
32.040	416.060
32.100	397.082
32.160	400.776
32.220	381.799
32.280	352.798
32.340	262.942
32.400	182.460
32.460	124.777
32.520	105.736
32.580	103.991
32.640	104.692
32.700	105.723
32.760	106.997
32.820	106.589
32.880	107.659
32.940	106.666
33.000	108.576
33.060	107.978
33.120	106.742
33.180	107.596
33.240	106.589
33.300	106.156
33.360	104.883
33.420	104.284
33.480	102.654
33.540	103.316
33.600	104.577
33.660	105.813
33.720	106.730
33.780	106.946
33.840	108.092
33.900	108.283
33.960	107.608
34.020	106.946
34.080	106.793
34.140	106.577
34.200	106.539
34.260	106.449
34.320	104.577
34.380	105.023
34.440	103.176
34.500	102.081
34.560	102.985
34.620	103.609
