Fri, Oct 20, 2017	10:25 AM
 x = amu	 y = amps
20.400	104.806
20.460	104.730
20.520	105.380
20.580	105.532
20.640	105.774
20.700	105.889
20.760	105.150
20.820	104.539
20.880	105.481
20.940	103.953
21.000	106.246
21.060	105.609
21.120	105.532
21.180	104.004
21.240	104.386
21.300	103.915
21.360	104.271
21.420	104.246
21.480	106.182
21.540	108.882
21.600	107.698
21.660	110.843
21.720	112.385
21.780	110.818
21.840	112.830
21.900	110.538
21.960	111.862
22.020	109.965
22.080	111.175
22.140	108.666
22.200	107.799
22.260	105.863
22.320	102.539
22.380	103.889
22.440	103.660
22.500	103.978
22.560	103.125
22.620	104.080
22.680	104.717
22.740	102.985
22.800	103.558
22.860	103.023
22.920	102.972
22.980	104.450
23.040	103.902
23.100	103.354
23.160	105.188
23.220	104.704
23.280	104.462
23.340	104.220
23.400	105.800
23.460	111.391
23.520	127.808
23.580	183.607
23.640	200.050
23.700	205.131
23.760	212.480
23.820	215.346
23.880	208.379
23.940	199.082
24.000	208.417
24.060	190.217
24.120	199.464
24.180	183.505
24.240	167.890
24.300	133.998
24.360	109.226
24.420	107.927
24.480	109.659
24.540	127.923
24.600	227.127
24.660	265.999
24.720	284.123
24.780	300.667
24.840	313.378
24.900	302.731
24.960	282.633
25.020	286.110
25.080	267.884
25.140	268.482
25.200	266.419
25.260	253.976
25.320	213.690
25.380	140.991
25.440	121.058
25.500	130.559
25.560	225.548
25.620	415.805
25.680	648.436
25.740	744.495
25.800	740.763
25.860	810.508
25.920	777.151
25.980	731.873
26.040	737.286
26.100	713.660
26.160	651.773
26.220	617.945
26.280	559.625
26.340	457.555
26.400	131.706
26.460	125.019
26.520	167.381
26.580	245.710
26.640	875.247
26.700	1326.881
26.760	1407.376
26.820	1539.274
26.880	1618.189
26.940	1625.398
27.000	1457.277
27.060	1450.782
27.120	1426.837
27.180	1378.209
27.240	1409.465
27.300	1234.988
27.360	946.456
27.420	669.209
27.480	343.003
27.540	1016.800
27.600	2644.072
27.660	10759.980
27.720	13344.702
27.780	15540.517
27.840	16081.153
27.900	17131.758
27.960	16224.617
28.020	14790.938
28.080	15485.992
28.140	13693.872
28.200	13668.373
28.260	13147.554
28.320	12340.624
28.380	9651.628
28.440	3261.752
28.500	149.550
28.560	167.623
28.620	429.675
28.680	845.558
