0000000501,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",9:01:40 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:15,     15875,   140.0798,  9.10573e-09,  2.83370e-09,  3.36594e-09,  9.58695e-09,  2.93475e-10,  4.89125e-10,  7.26007e-09,  3.39081e-10,
00:00:16,     16438,   140.2121,  8.66352e-09,  2.44347e-09,  3.36594e-09,  9.58695e-09,  4.89125e-10,  4.89125e-10,  7.19021e-09,  3.39081e-10,
00:00:17,     17001,   140.0798,  9.10573e-09,  2.34565e-09,  2.93236e-09,  9.21429e-09,  4.89125e-10,  2.93475e-10,  6.98059e-09,  1.69541e-10,
00:00:17,     17564,   140.0798,  1.04397e-08,  2.34565e-09,  3.04106e-09,  9.21429e-09,  4.89125e-10,  1.95650e-10,  6.77096e-09,  3.39081e-10,
00:00:18,     18127,   139.9476,  8.66352e-09,  2.54130e-09,  2.93236e-09,  9.02795e-09,  3.91300e-10,  2.93475e-10,  6.07299e-09,  1.69541e-10,
00:00:18,     18690,   140.2121,  8.88341e-09,  2.24782e-09,  3.04106e-09,  8.56314e-09,  3.91300e-10,  2.93475e-10,  6.35249e-09,  0.00000e+00,
00:00:19,     19253,   140.0798,  9.10573e-09,  2.44347e-09,  2.93236e-09,  8.93479e-09,  3.91300e-10,  3.91300e-10,  6.07299e-09,  0.00000e+00,
00:00:19,     19816,   140.3443,  8.88584e-09,  2.15000e-09,  2.60628e-09,  8.19048e-09,  3.91300e-10,  4.89125e-10,  5.79425e-09,  1.69541e-10,
00:00:20,     20379,   140.0798,  8.66352e-09,  2.15000e-09,  2.93236e-09,  8.56314e-09,  3.91300e-10,  4.89125e-10,  5.93323e-09,  5.08622e-10,
00:00:20,     20942,   140.0798,  9.10573e-09,  1.95435e-09,  2.82367e-09,  8.09731e-09,  2.93475e-10,  3.91300e-10,  5.58463e-09,  1.69541e-10,
00:00:21,     21505,   140.2121,  8.88584e-09,  1.95435e-09,  3.04106e-09,  8.56314e-09,  1.95650e-10,  3.91300e-10,  5.30512e-09,  1.69541e-10,
00:00:22,     22068,   139.9476,  8.44118e-09,  1.85652e-09,  2.71497e-09,  8.46998e-09,  2.93475e-10,  2.93475e-10,  5.51475e-09,  5.08622e-10,
00:00:22,     22631,   140.2121,  8.44118e-09,  1.66195e-09,  3.04106e-09,  8.37681e-09,  2.93475e-10,  3.91300e-10,  5.37500e-09,  3.39081e-10,
00:00:23,     23194,   140.3443,  9.10573e-09,  1.85652e-09,  2.93236e-09,  8.37681e-09,  3.91300e-10,  4.89125e-10,  5.09626e-09,  1.69541e-10,
00:00:23,     23757,   140.3443,  8.88341e-09,  1.66195e-09,  2.71497e-09,  7.72567e-09,  2.93475e-10,  3.91300e-10,  4.95651e-09,  1.69541e-10,
00:00:24,     24320,   140.2121,  9.32807e-09,  1.66195e-09,  2.93236e-09,  8.09731e-09,  3.91300e-10,  3.91300e-10,  4.95651e-09,  1.69541e-10,
00:00:24,     24883,   139.9476,  8.88584e-09,  1.56412e-09,  2.71497e-09,  7.72567e-09,  3.91300e-10,  2.93475e-10,  5.02639e-09,  1.69541e-10,
00:00:25,     25446,   140.4765,  8.44118e-09,  1.75870e-09,  3.04106e-09,  7.91097e-09,  2.93475e-10,  2.93475e-10,  4.39751e-09,  1.69541e-10,
00:00:26,     26009,   140.2121,  8.66352e-09,  1.56412e-09,  2.71497e-09,  8.00414e-09,  4.89125e-10,  4.89125e-10,  4.88664e-09,  0.00000e+00,
00:00:26,     26572,   140.2121,  9.10573e-09,  1.56412e-09,  2.93236e-09,  7.63250e-09,  3.91300e-10,  2.93475e-10,  4.67701e-09,  1.69541e-10,
00:00:27,     27135,   139.9476,  7.77420e-09,  1.75870e-09,  3.04106e-09,  8.19048e-09,  4.89125e-10,  3.91300e-10,  4.32764e-09,  0.00000e+00,
00:00:27,     27698,   140.3443,  8.88584e-09,  1.75977e-09,  2.71497e-09,  7.72567e-09,  3.91300e-10,  3.91300e-10,  4.32841e-09,  1.69541e-10,
