0000000562,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/9/2016,"Time",7:00:08 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,10.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,10.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:14,     14368,   140.0798,  7.81818e-09,  4.51500e-09,  8.83889e-09,  1.52548e-08,  8.60000e-10,  1.07500e-09,  1.82750e-08,  3.72617e-10,
00:00:14,     14873,   140.2121,  7.57386e-09,  4.94500e-09,  9.43611e-09,  1.45381e-08,  6.45000e-10,  8.60000e-10,  1.77375e-08,  1.86308e-10,
00:00:15,     15378,   140.2121,  9.28409e-09,  4.83750e-09,  9.31667e-09,  1.46405e-08,  6.45000e-10,  6.45000e-10,  1.70464e-08,  3.72617e-10,
00:00:15,     15883,   140.2121,  8.30682e-09,  4.19250e-09,  8.83889e-09,  1.43333e-08,  8.60000e-10,  8.60000e-10,  1.62018e-08,  3.72617e-10,
00:00:16,     16388,   140.2121,  7.57386e-09,  4.40750e-09,  8.60000e-09,  1.39238e-08,  8.60000e-10,  9.67500e-10,  1.62018e-08,  3.72617e-10,
00:00:16,     16893,   140.2121,  8.06250e-09,  4.51500e-09,  8.60000e-09,  1.43333e-08,  9.67500e-10,  7.52500e-10,  1.58946e-08,  1.86308e-10,
00:00:17,     17398,   140.0798,  8.55114e-09,  4.08500e-09,  8.71944e-09,  1.36167e-08,  8.60000e-10,  7.52500e-10,  1.46661e-08,  1.86308e-10,
00:00:17,     17903,   139.9476,  9.03977e-09,  3.76250e-09,  8.48056e-09,  1.36167e-08,  7.52500e-10,  7.52500e-10,  1.43589e-08,  3.72617e-10,
00:00:18,     18408,   140.2121,  8.55114e-09,  4.08500e-09,  8.12222e-09,  1.33095e-08,  7.52500e-10,  8.60000e-10,  1.43589e-08,  5.58925e-10,
00:00:18,     18913,   140.0798,  9.03977e-09,  3.76250e-09,  8.36111e-09,  1.30024e-08,  6.45000e-10,  8.60000e-10,  1.40518e-08,  3.72617e-10,
00:00:19,     19418,   140.0798,  9.03977e-09,  3.54750e-09,  8.24167e-09,  1.32071e-08,  7.52500e-10,  8.60000e-10,  1.37446e-08,  5.58925e-10,
00:00:19,     19923,   140.3443,  8.55114e-09,  3.76250e-09,  8.48056e-09,  1.23881e-08,  6.45000e-10,  8.60000e-10,  1.30536e-08,  3.72617e-10,
00:00:20,     20428,   140.2121,  8.55114e-09,  3.44000e-09,  8.12222e-09,  1.24905e-08,  7.52500e-10,  6.45000e-10,  1.28232e-08,  3.72617e-10,
00:00:20,     20933,   139.9476,  8.30682e-09,  3.33250e-09,  8.36111e-09,  1.26952e-08,  8.60000e-10,  7.52500e-10,  1.26696e-08,  1.86308e-10,
00:00:21,     21438,   139.9476,  8.30682e-09,  3.11750e-09,  8.12222e-09,  1.21833e-08,  8.60000e-10,  8.60000e-10,  1.23625e-08,  5.58925e-10,
00:00:21,     21943,   140.3443,  8.30682e-09,  3.22500e-09,  7.88333e-09,  1.21833e-08,  5.37500e-10,  8.60000e-10,  1.15179e-08,  3.72617e-10,
00:00:22,     22448,   139.9476,  8.55114e-09,  3.01000e-09,  8.00278e-09,  1.19786e-08,  6.45000e-10,  1.07500e-09,  1.19018e-08,  5.58925e-10,
00:00:22,     22953,   140.0798,  7.57386e-09,  3.01000e-09,  7.88333e-09,  1.16714e-08,  5.37500e-10,  8.60000e-10,  1.18250e-08,  3.72617e-10,
00:00:23,     23458,   140.3443,  8.06250e-09,  3.44000e-09,  7.76389e-09,  1.17738e-08,  7.52500e-10,  8.60000e-10,  1.09804e-08,  3.72617e-10,
00:00:23,     23963,   140.3443,  8.55114e-09,  2.68750e-09,  7.52500e-09,  1.17738e-08,  6.45000e-10,  7.52500e-10,  1.07500e-08,  3.72617e-10,
00:00:24,     24468,   140.0798,  8.06250e-09,  2.79500e-09,  7.52500e-09,  1.13643e-08,  7.52500e-10,  8.60000e-10,  1.09036e-08,  3.72617e-10,
00:00:24,     24973,   140.2121,  8.30682e-09,  2.58000e-09,  8.00278e-09,  1.17738e-08,  7.52500e-10,  8.60000e-10,  1.05964e-08,  3.72617e-10,
