0000000457,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",8:36:44 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:15,     15877,   140.2121,  7.32955e-09,  1.17282e-09,  1.73791e-09,  5.21221e-09,  2.93475e-10,  1.95650e-10,  2.51319e-09,  1.69541e-10,
00:00:16,     16440,   140.2121,  7.32955e-09,  8.79350e-10,  1.84661e-09,  5.30538e-09,  9.78250e-11,  2.93475e-10,  2.30357e-09,  0.00000e+00,
00:00:17,     17003,   140.3443,  7.32955e-09,  1.07500e-09,  1.52052e-09,  5.30538e-09,  2.93475e-10,  2.93475e-10,  2.37344e-09,  1.69541e-10,
00:00:17,     17566,   140.0798,  6.88489e-09,  8.79350e-10,  1.73791e-09,  5.39854e-09,  1.95650e-10,  2.93475e-10,  2.37344e-09,  1.69541e-10,
00:00:18,     18129,   140.0798,  6.44266e-09,  8.79350e-10,  1.95411e-09,  5.49171e-09,  1.95650e-10,  2.93475e-10,  2.37344e-09, -1.69541e-10,
00:00:18,     18692,   140.3443,  7.10720e-09,  8.79350e-10,  1.73791e-09,  5.49171e-09,  1.95650e-10,  2.93475e-10,  2.16382e-09,  1.69541e-10,
00:00:19,     19255,   140.0798,  6.66255e-09,  7.81525e-10,  1.73791e-09,  5.39854e-09,  1.95650e-10,  2.93475e-10,  2.23369e-09,  1.69541e-10,
00:00:19,     19818,   140.0798,  7.55186e-09,  7.81525e-10,  1.62922e-09,  5.30538e-09,  1.95650e-10,  1.95650e-10,  2.09394e-09,  1.69541e-10,
00:00:20,     20381,   140.0798,  7.55186e-09,  7.81525e-10,  1.52052e-09,  5.11905e-09,  1.95650e-10,  2.93475e-10,  2.02407e-09,  0.00000e+00,
00:00:20,     20944,   139.9476,  6.44266e-09,  8.79350e-10,  1.95411e-09,  5.02588e-09,  1.95650e-10,  1.95650e-10,  2.23369e-09,  1.69541e-10,
00:00:21,     21507,   140.0798,  7.55186e-09,  8.79350e-10,  1.62922e-09,  5.39854e-09,  1.95650e-10,  1.95650e-10,  2.16382e-09,  0.00000e+00,
00:00:22,     22070,   139.9476,  6.88489e-09,  7.81525e-10,  1.73791e-09,  5.11905e-09,  1.95650e-10,  9.78250e-11,  2.09394e-09,  0.00000e+00,
00:00:22,     22633,   140.2121,  7.10720e-09,  8.79350e-10,  1.62922e-09,  5.02588e-09,  1.95650e-10,  2.93475e-10,  2.09394e-09,  0.00000e+00,
00:00:23,     23196,   140.2121,  7.55186e-09,  8.79350e-10,  1.52052e-09,  4.83954e-09,  1.95650e-10,  1.95650e-10,  1.95496e-09,  0.00000e+00,
00:00:23,     23759,   140.0798,  7.10720e-09,  7.81525e-10,  1.73791e-09,  4.74638e-09,  9.78250e-11,  3.91300e-10,  2.02407e-09,  1.69541e-10,
00:00:24,     24322,   140.0798,  7.55186e-09,  6.83700e-10,  1.62922e-09,  4.93271e-09,  1.95650e-10,  3.91300e-10,  2.09394e-09,  1.69541e-10,
00:00:24,     24885,   140.2121,  6.44023e-09,  7.81525e-10,  1.73791e-09,  4.83954e-09,  9.78250e-11,  1.95650e-10,  1.95496e-09,  0.00000e+00,
00:00:25,     25448,   140.3443,  6.22034e-09,  6.83700e-10,  1.41183e-09,  4.93271e-09,  1.95650e-10,  2.93475e-10,  1.81521e-09,  1.69541e-10,
00:00:26,     26011,   140.0798,  6.88489e-09,  8.79350e-10,  1.52052e-09,  4.83954e-09,  1.95650e-10,  1.95650e-10,  1.81521e-09,  1.69541e-10,
00:00:26,     26574,   140.0798,  7.32955e-09,  7.81525e-10,  1.41183e-09,  4.83954e-09,  9.78250e-11,  3.91300e-10,  1.88509e-09,  1.69541e-10,
00:00:27,     27137,   139.9476,  6.88489e-09,  7.81525e-10,  1.62922e-09,  6.23602e-09,  9.78250e-11,  1.95650e-10,  1.95496e-09,  3.39081e-10,
00:00:27,     27700,   140.2121,  7.10720e-09,  5.86950e-10,  1.62922e-09,  5.67805e-09,  1.95650e-10,  1.95650e-10,  1.81521e-09,  1.69541e-10,
00:00:28,     28263,   139.9476,  6.66255e-09,  8.79350e-10,  1.84661e-09,  5.21221e-09,  9.78250e-11,  1.95650e-10,  1.74534e-09,  0.00000e+00,
00:00:28,     28826,   140.4765,  7.32955e-09,  7.81525e-10,  1.62922e-09,  5.77121e-09,  2.93475e-10,  2.93475e-10,  1.81521e-09,  1.69541e-10,
00:00:29,     29389,   140.3443,  7.32955e-09,  6.83700e-10,  1.62922e-09,  5.86335e-09,  1.95650e-10,  1.95650e-10,  1.81521e-09,  1.69541e-10,
00:00:29,     29952,   140.2121,  7.55186e-09,  7.81525e-10,  1.62922e-09,  5.67805e-09,  9.78250e-11,  1.95650e-10,  2.02484e-09,  1.69541e-10,
00:00:30,     30515,   140.0798,  7.32955e-09,  5.86950e-10,  1.73791e-09,  5.49171e-09,  0.00000e+00,  2.93475e-10,  1.81521e-09,  1.69541e-10,
00:00:31,     31078,   140.0798,  7.32955e-09,  6.83700e-10,  1.73791e-09,  5.02588e-09,  1.95650e-10,  3.91300e-10,  1.81521e-09,  1.69541e-10,
00:00:31,     31641,   140.0798,  7.77420e-09,  8.79350e-10,  1.84661e-09,  5.11905e-09,  0.00000e+00,  2.93475e-10,  1.88509e-09,  1.69541e-10,
