0000000457,scans,0000000118,DataLength
"header",0000000026,"lines"
"Date",4/24/2016,"Time",6:01:48 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",7
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",32.00,32.00,0.01,10.000,8.000,0.860000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",7
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:18,     18247,   170.2274,  2.37477e-09,  2.29260e-09,  3.55944e-10,  1.68314e-09,  1.77500e-10,  3.57054e-10,
00:00:18,     18751,   170.0952,  2.60443e-09,  2.13903e-09,  3.82222e-10,  1.75173e-09,  1.98750e-10,  4.21554e-10,
00:00:19,     19255,   170.3596,  2.57266e-09,  2.29260e-09,  4.31194e-10,  1.63605e-09,  2.36250e-10,  3.54750e-10,
00:00:19,     19759,   170.3596,  2.52868e-09,  2.04031e-09,  4.03722e-10,  1.62990e-09,  2.73750e-10,  3.78554e-10,
00:00:20,     20263,   170.4918,  2.57266e-09,  2.88495e-09,  3.89389e-10,  1.58997e-09,  2.26250e-10,  4.21554e-10,
00:00:20,     20767,   170.4918,  2.61664e-09,  2.21582e-09,  4.69417e-10,  1.60430e-09,  1.52500e-10,  4.10036e-10,
00:00:21,     21271,   170.3596,  2.52868e-09,  2.00740e-09,  4.55083e-10,  1.63195e-09,  1.85000e-10,  4.22321e-10,
00:00:21,     21757,   170.4918,  2.43830e-09,  1.98546e-09,  3.73861e-10,  1.63502e-09,  2.67500e-10,  3.78554e-10,
00:00:22,     22261,   170.7563,  2.43584e-09,  2.29260e-09,  4.07306e-10,  1.62990e-09,  1.92500e-10,  3.72411e-10,
00:00:22,     22765,   170.8885,  2.26483e-09,  1.95255e-09,  3.59528e-10,  1.67495e-09,  2.72500e-10,  4.60714e-10,
00:00:23,     23269,   170.8885,  2.67527e-09,  2.73138e-09,  4.62250e-10,  1.69952e-09,  2.30000e-10,  4.74536e-10,
00:00:23,     23773,   170.8885,  2.37232e-09,  2.05128e-09,  3.94167e-10,  1.69645e-09,  2.43750e-10,  4.17714e-10,
00:00:24,     24277,   171.6819,  2.63618e-09,  2.34745e-09,  4.19250e-10,  1.87152e-09,  2.62500e-10,  4.46125e-10,
00:00:24,     24781,   172.0786,  2.24773e-09,  2.09515e-09,  5.44667e-10,  1.79269e-09,  2.32500e-10,  4.05429e-10,
00:00:25,     25285,   173.1364,  2.47493e-09,  2.59974e-09,  5.62583e-10,  1.87050e-09,  2.71250e-10,  4.92196e-10,
