Mon, Jun 05, 2017	2:06 PM
 Notes: AA _0.01 L
 waiting time: 50.000
 time(ms)	 temp (K)	 MS1=1.538	 MS2=13.681	 MS3=17.903	 MS4=28.270	 MS5=29.393	 MS6=44.784	 MS7=61.297	 MS8=65.626
0.000	84.500	133990.000	104490.000	103240.000	102730.000	103150.000	100480.000	101260.000
1.135	84.400	100890.000	101000.000	99620.000	98530.000	97720.000	97480.000	97230.000
2.246	84.500	96660.000	94050.000	94250.000	92840.000	92070.000	92230.000	89710.000
3.361	84.500	87760.000	88390.000	87420.000	86380.000	85830.000	84120.000	84160.000
4.476	84.400	82650.000	81150.000	82830.000	81790.000	82440.000	83050.000	82600.000
5.593	84.500	83340.000	82470.000	82480.000	82270.000	82600.000	82490.000	82350.000
6.805	84.400	82230.000	82270.000	80800.000	81150.000	81970.000	81890.000	81230.000
7.915	84.500	81240.000	80120.000	80070.000	80240.000	80750.000	80480.000	80940.000
9.024	84.500	80600.000	80150.000	81410.000	81230.000	80170.000	80320.000	80870.000
10.133	84.500	79710.000	80480.000	79640.000	80460.000	80190.000	81260.000	79510.000
11.451	84.600	80390.000	80330.000	79400.000	79610.000	78940.000	79520.000	79690.000
12.608	84.500	79260.000	79430.000	80670.000	80420.000	80350.000	80690.000	80120.000
13.717	84.500	81190.000	80980.000	81620.000	80670.000	80590.000	80630.000	80390.000
15.110	84.500	80990.000	80300.000	-1222060.000	-9310.000	-9760.000	-10000.000	-10000.000
16.564	84.500	-9990.000	-9130.000	-8920.000	-8190.000	-8000.000	-7070.000	-6410.000
0.000	84.300	-13310.000	4000.000	4130.000	4440.000	4700.000	4860.000	4950.000
1.109	84.300	4920.000	4940.000	4950.000	4960.000	4970.000	5000.000	5000.000
2.218	84.300	4990.000	4990.000	5000.000	5000.000	5000.000	5000.000	5000.000
3.328	84.300	4980.000	4990.000	5000.000	4990.000	5000.000	5000.000	5000.000
4.662	84.300	5000.000	5000.000	5000.000	5000.000	5000.000	5000.000	5000.000
5.773	84.300	5000.000	5000.000	5000.000	5000.000	4990.000	5000.000	5000.000
0.000	84.100	248740.000	15690.000	20680.000	57950.000	9740.000	12700.000	7020.000
1.111	84.200	247570.000	9530.000	14330.000	52490.000	3690.000	12090.000	1940.000
2.224	84.100	247700.000	5260.000	11060.000	63990.000	1550.000	9070.000	210.000
3.336	84.200	252120.000	4390.000	10600.000	51910.000	1120.000	5470.000	50.000
4.447	84.200	247190.000	4420.000	11140.000	50670.000	1030.000	5140.000	50.000
5.582	84.200	244680.000	4400.000	10650.000	57940.000	1030.000	5770.000	30.000
6.747	84.100	247270.000	4340.000	11030.000	52560.000	1130.000	5160.000	30.000
7.928	84.200	249750.000	4240.000	11610.000	51990.000	1070.000	13890.000	40.000
9.122	84.200	252040.000	4500.000	11740.000	53810.000	1100.000	5700.000	40.000
10.235	84.200	244640.000	4470.000	11680.000	52900.000	1030.000	5500.000	20.000
11.348	84.300	243310.000	4560.000	12090.000	52850.000	1050.000	5820.000	20.000
12.461	84.200	245890.000	4490.000	12800.000	53080.000	1030.000	5960.000	30.000
13.571	84.300	238370.000	4720.000	12650.000	52010.000	1050.000	5770.000	10.000
14.686	84.300	237570.000	4280.000	13040.000	51970.000	1090.000	5540.000	10.000
15.795	84.300	240620.000	4290.000	13520.000	53390.000	1070.000	5800.000	40.000
16.903	84.300	240900.000	4480.000	13450.000	54160.000	1020.000	5790.000	10.000
