Mon, Oct 23, 2017	10:13 AM
 x = amu	 y = amps
39.720	1.524
39.780	1.548
39.840	1.548
39.900	1.533
39.960	1.469
40.020	1.607
40.080	1.596
40.140	1.576
40.200	1.554
40.260	1.559
40.320	1.620
40.380	1.604
40.440	1.452
40.500	1.575
40.560	1.497
40.620	1.490
40.680	1.557
40.740	1.661
40.800	1.618
40.860	1.501
40.920	1.481
40.980	1.525
41.040	1.573
41.100	1.545
41.160	1.615
41.220	1.609
41.280	1.470
41.340	1.574
41.400	1.518
41.460	1.490
41.520	1.561
41.580	1.495
41.640	1.656
41.700	1.508
41.760	1.590
41.820	1.587
41.880	1.566
41.940	1.518
42.000	1.420
42.060	1.569
42.120	1.580
42.180	1.507
42.240	1.582
42.300	1.534
42.360	1.627
42.420	1.553
42.480	1.448
42.540	1.537
42.600	1.498
42.660	1.531
42.720	1.468
42.780	1.558
42.840	1.560
42.900	1.546
42.960	1.589
43.020	1.539
43.080	1.489
43.140	1.544
43.200	1.467
43.260	1.563
43.320	1.499
43.380	1.552
43.440	1.508
43.500	1.572
43.560	1.629
43.620	1.526
43.680	1.576
43.740	1.495
43.800	1.483
43.860	1.581
43.920	1.484
43.980	1.554
44.040	1.642
44.100	1.511
44.160	1.470
44.220	1.530
44.280	1.552
44.340	1.475
44.400	1.552
44.460	1.528
44.520	1.667
44.580	1.570
44.640	1.509
44.700	1.561
44.760	1.550
44.820	1.546
44.880	1.495
44.940	1.575
45.000	1.572
45.060	1.528
45.120	1.556
45.180	1.534
45.240	1.627
45.300	1.531
45.360	1.584
45.420	1.457
45.480	1.458
45.540	1.562
45.600	1.597
45.660	1.614
45.720	1.532
45.780	1.518
45.840	1.592
45.900	1.528
45.960	1.550
46.020	1.538
46.080	1.473
46.140	1.620
46.200	1.527
46.260	1.471
46.320	1.585
46.380	1.500
46.440	1.546
46.500	1.457
46.560	1.579
46.620	1.533
46.680	1.503
46.740	1.536
46.800	1.502
46.860	1.532
46.920	1.447
46.980	1.557
47.040	1.544
47.100	1.503
47.160	1.594
47.220	1.554
47.280	1.539
47.340	1.616
47.400	1.575
47.460	1.519
47.520	1.518
47.580	1.534
47.640	1.510
47.700	1.529
47.760	1.553
47.820	1.634
47.880	1.555
47.940	1.523
48.000	1.565
48.060	1.533
0.000	1.610
0.060	1.586
0.120	1.521
0.180	1.472
0.240	1.546
0.300	1.541
0.360	1.489
0.420	1.510
0.480	1.512
0.540	1.505
0.600	1.554
0.660	1.623
0.720	1.590
0.780	1.576
0.840	1.558
0.900	1.427
0.960	1.508
1.020	1.485
1.080	1.509
1.140	1.529
1.200	1.521
1.260	1.480
1.320	1.508
1.380	1.519
1.440	1.621
1.500	1.604
1.560	1.558
1.620	1.530
1.680	1.594
1.740	1.605
1.800	1.554
1.860	1.546
1.920	1.607
1.980	1.592
2.040	1.551
2.100	1.531
2.160	1.433
2.220	1.487
2.280	1.565
2.340	1.577
2.400	1.558
2.460	1.578
2.520	1.505
2.580	1.478
2.640	1.639
2.700	1.576
2.760	1.525
2.820	1.591
2.880	1.518
2.940	1.548
3.000	1.638
3.060	1.457
