Mon, Jul 24, 2017	1:45 PM
 Notes: HOAc_9.6E-09_15 s_724
 waiting time: 50.000
 time(ms)	 temp (K)	 MS1=1.538	 MS2=17.903	 MS3=28.250	 MS4=44.784	 MS5=61.297	 MS6=31.397	 MS7=68.640	 MS8=90.000
0.000	92.300	578400.000	148650.000	136380.000	50450.000	23160.000
0.793	92.300	555100.000	149670.000	136070.000	50780.000	22990.000
1.582	92.300	553700.000	148960.000	135760.000	50260.000	22410.000
2.374	92.200	552200.000	150630.000	134900.000	51050.000	22280.000
3.164	92.300	548900.000	149350.000	135580.000	50140.000	21870.000
3.954	92.300	559800.000	149900.000	136910.000	50210.000	22300.000
4.743	92.300	557400.000	152380.000	136540.000	50220.000	22060.000
5.535	92.400	550100.000	151310.000	137180.000	49960.000	21650.000
6.324	92.400	564000.000	152550.000	136820.000	50710.000	21780.000
7.116	92.300	557400.000	153830.000	136410.000	51340.000	21810.000
7.903	92.300	555600.000	152710.000	137980.000	50740.000	21710.000
8.690	92.400	555800.000	151990.000	147230.000	51140.000	21360.000
9.476	92.600	568300.000	156810.000	167110.000	55670.000	41780.000
10.267	93.000	587300.000	165960.000	179580.000	54030.000	25420.000
11.054	93.800	588200.000	171540.000	187700.000	57370.000	25300.000
11.843	95.000	599000.000	168700.000	201310.000	57680.000	24080.000
12.632	96.600	601900.000	165450.000	212220.000	58810.000	23860.000
13.438	98.600	607100.000	165180.000	219730.000	56990.000	23340.000
14.226	101.000	617900.000	167070.000	222660.000	56300.000	24630.000
15.012	104.000	622600.000	180940.000	222510.000	56400.000	24660.000
15.835	106.800	625000.000	170720.000	221440.000	56660.000	25080.000
16.624	109.600	622300.000	168130.000	218000.000	56630.000	24170.000
17.412	112.300	619000.000	168180.000	211800.000	57300.000	23500.000
18.199	114.900	615700.000	164070.000	204080.000	56970.000	23440.000
18.986	117.600	611000.000	166400.000	198710.000	57090.000	22670.000
19.774	119.900	612000.000	165990.000	193270.000	56060.000	22260.000
20.567	122.100	610400.000	165540.000	190870.000	56340.000	21940.000
21.357	124.300	600000.000	164760.000	188760.000	56270.000	21200.000
22.148	126.300	595800.000	163870.000	185970.000	56490.000	22640.000
22.935	128.700	604000.000	166390.000	187310.000	56700.000	22100.000
23.726	130.800	597100.000	168280.000	185550.000	57270.000	22640.000
24.516	133.000	589200.000	167290.000	185730.000	57940.000	22050.000
25.307	135.200	594300.000	170520.000	185450.000	57830.000	22000.000
26.100	137.400	588100.000	169380.000	183530.000	58930.000	22110.000
26.890	139.700	590400.000	170210.000	183930.000	59120.000	22720.000
27.679	142.000	596600.000	170230.000	186080.000	59110.000	22120.000
28.469	144.600	592700.000	172320.000	182640.000	60120.000	23310.000
29.263	147.000	597600.000	170870.000	183780.000	60370.000	24980.000
30.053	149.300	593000.000	172860.000	182120.000	61240.000	28860.000
30.844	152.100	591500.000	177620.000	180170.000	62390.000	34900.000
31.635	154.400	594900.000	181060.000	182890.000	64380.000	44580.000
32.423	156.700	603700.000	188660.000	188020.000	68040.000	60250.000
33.215	159.000	612700.000	198580.000	194660.000	72790.000	79970.000
34.005	161.300	631000.000	211060.000	201680.000	77390.000	98400.000
34.794	163.500	644100.000	226660.000	203650.000	77080.000	83810.000
35.586	166.100	650500.000	219600.000	193620.000	70910.000	55320.000
36.379	168.000	635700.000	215040.000	188190.000	69850.000	49310.000
37.168	170.500	627900.000	216290.000	184900.000	68810.000	49370.000
37.958	172.700	621200.000	221130.000	186930.000	69840.000	52930.000
38.749	175.000	615800.000	224150.000	184740.000	70000.000	50140.000
39.538	177.200	614900.000	219730.000	182220.000	67530.000	42820.000
40.329	179.800	609600.000	219920.000	180230.000	68500.000	37830.000
41.121	182.100	611200.000	218990.000	178480.000	67720.000	35520.000
41.913	184.400	606400.000	217840.000	176960.000	66890.000	33280.000
42.704	186.600	609200.000	219770.000	175930.000	67260.000	32150.000
43.495	188.900	604600.000	217600.000	174380.000	67220.000	31040.000
44.286	191.500	605000.000	217160.000	174540.000	67050.000	30080.000
45.079	193.800	596900.000	218760.000	173080.000	66480.000	30590.000
45.869	196.100	602000.000	217780.000	172810.000	67210.000	30210.000
46.659	198.400	598400.000	217600.000	171400.000	66420.000	30010.000
47.448	200.700	595100.000	218450.000	172010.000	66400.000	29620.000
48.234	202.900	598600.000	218010.000	173130.000	67030.000	29240.000
49.023	205.500	608800.000	218290.000	172160.000	66410.000	28880.000
49.809	207.800	616100.000	215790.000	170870.000	66570.000	29020.000
50.596	210.100	629800.000	218850.000	172130.000	67210.000	28740.000
51.384	212.300	639500.000	216810.000	171820.000	67170.000	28080.000
52.172	214.600	653400.000	219780.000	171100.000	66790.000	28240.000
52.959	217.200	668000.000	218340.000	168660.000	66910.000	27700.000
53.747	219.500	689300.000	217200.000	170240.000	67560.000	27770.000
54.534	221.400	717100.000	218760.000	170410.000	66740.000	27340.000
55.329	224.000	745300.000	219550.000	170240.000	67600.000	27890.000
56.119	226.300	771700.000	215770.000	169550.000	67460.000	27490.000
56.909	228.600	810400.000	217490.000	169750.000	67110.000	27140.000
57.697	230.900	853100.000	218230.000	170410.000	66480.000	26360.000
58.484	233.500	884700.000	217900.000	170200.000	67590.000	26550.000
59.273	235.800	934800.000	218340.000	168930.000	67740.000	26400.000
60.066	238.000	981900.000	216550.000	170200.000	67360.000	25900.000
60.855	240.300	1004300.000	216580.000	168760.000	66500.000	25110.000
61.641	242.600	1048600.000	216800.000	168890.000	68000.000	24890.000
62.432	245.200	1096900.000	217000.000	169320.000	67870.000	24670.000
