Wed, Jul 19, 2017	12:44 PM
 Notes: HOAc_3.5E-08_60 s_high point density
 waiting time: 50.000
 time(ms)	 temp (K)	 MS1=61.297	 MS2=31.296	 MS3=28.250	 MS4=44.784	 MS5=61.297	 MS6=68.073	 MS7=68.640	 MS8=90.000
0.000	91.600	93000.000
0.161	91.700	90700.000
0.507	91.700	93300.000
0.666	91.700	94300.000
0.825	91.700	94400.000
0.984	91.700	96200.000
1.142	91.600	96100.000
1.301	91.600	96200.000
1.460	91.600	97200.000
1.618	91.600	97400.000
1.778	91.700	96800.000
1.936	91.700	96700.000
2.096	91.600	96400.000
2.255	91.600	96600.000
2.414	91.600	97700.000
2.573	91.600	97000.000
2.734	91.600	97400.000
2.892	91.600	97200.000
3.051	91.600	97000.000
3.210	91.600	97700.000
3.370	91.600	97000.000
3.528	91.600	98100.000
3.689	91.600	97700.000
3.847	91.600	97700.000
4.006	91.600	97600.000
4.166	91.600	97400.000
4.323	91.600	97500.000
4.481	91.600	97900.000
4.642	91.600	97600.000
4.801	91.600	97800.000
4.959	91.600	98300.000
5.119	91.600	96700.000
5.287	91.600	96700.000
5.447	91.600	97700.000
5.606	91.600	97900.000
5.765	91.600	98500.000
5.924	91.600	97400.000
6.082	91.500	98000.000
6.242	91.500	98000.000
6.401	91.500	97200.000
6.560	91.600	96900.000
6.718	91.600	97400.000
6.878	91.600	97900.000
7.037	91.600	97300.000
7.197	91.600	96900.000
7.355	91.600	97000.000
7.515	91.700	98000.000
7.673	91.700	97000.000
7.833	91.700	96700.000
7.993	91.700	97200.000
8.151	91.700	97200.000
8.311	91.700	97300.000
8.470	91.800	97500.000
8.629	91.900	97200.000
8.788	92.000	97000.000
8.948	92.100	98800.000
9.109	92.100	106600.000
9.267	92.300	133300.000
9.428	92.400	127900.000
9.587	92.600	116900.000
9.746	92.800	113400.000
9.908	93.000	109700.000
10.067	93.100	107500.000
10.227	93.400	108500.000
10.385	93.600	109200.000
10.545	93.800	108800.000
10.705	94.200	109400.000
10.864	94.400	108500.000
11.022	95.000	107800.000
11.182	95.300	106400.000
11.341	95.800	106300.000
11.500	96.100	105400.000
11.660	96.400	104800.000
11.819	97.100	104600.000
11.979	97.400	104400.000
12.137	98.200	102900.000
12.296	98.600	102900.000
12.455	99.300	102400.000
12.615	99.700	100500.000
12.774	100.100	102000.000
12.934	101.000	101300.000
13.092	101.800	100600.000
13.251	102.200	99600.000
13.411	103.000	100100.000
13.570	103.400	99500.000
13.728	103.800	99900.000
13.887	104.700	99900.000
14.046	105.100	99400.000
14.206	105.900	99500.000
14.365	105.900	98700.000
14.523	107.100	99000.000
14.681	107.500	99500.000
14.840	107.800	98400.000
14.997	108.600	98300.000
15.158	109.000	98000.000
15.318	109.700	98500.000
15.477	110.100	98000.000
15.637	110.800	98200.000
15.794	111.200	98100.000
15.955	111.500	98100.000
