Tue, Oct 10, 2017	2:59 PM
 x = amu	 y = amps

23.400	104.806
23.460	107.863
23.520	112.754
23.580	118.332
23.640	123.720
23.700	125.936
23.760	128.254
23.820	128.394
23.880	127.732
23.940	128.063
24.000	126.764
24.060	127.426
24.120	125.490
24.180	124.624
24.240	121.669
24.300	116.116
24.360	111.773
24.420	108.831
24.480	108.500
24.540	116.715
24.600	129.693
24.660	139.526
24.720	145.117
24.780	150.148
24.840	152.632
24.900	151.931
24.960	151.957
25.020	151.193
25.080	149.384
25.140	149.015
25.200	146.123
25.260	141.194
25.320	131.693
25.380	123.554
25.440	119.542
25.500	127.554
25.560	157.484
25.620	191.822
25.680	221.230
25.740	241.685
25.800	253.708
25.860	263.655
25.920	263.566
25.980	260.688
26.040	257.134
26.100	252.664
26.160	247.582
26.220	240.067
26.280	226.809
26.340	197.464
26.400	163.865
26.460	142.022
26.520	145.003
26.580	174.640
26.640	221.447
26.700	264.445
26.760	295.637
26.820	317.976
26.880	328.484
26.940	328.917
27.000	327.554
27.060	325.313
27.120	320.715
27.180	312.219
27.240	304.272
27.300	293.102
27.360	275.844
27.420	260.166
27.480	352.683
27.540	1229.142
27.600	2615.530
27.660	4148.132
27.720	5350.262
27.780	6092.058
27.840	6671.579
27.900	7044.057
27.960	7009.770
28.020	6884.342
28.080	6791.671
28.140	6595.568
28.200	6457.951
28.260	6105.011
28.320	5289.751
28.380	4234.549
28.440	2787.039
28.500	1598.881
28.560	964.593
28.620	676.100
28.680	573.329
28.740	540.660
28.800	535.018
28.860	540.227
28.920	546.468
28.980	536.075
29.040	524.523
29.100	511.048
29.160	492.911
29.220	483.958
29.280	465.350
29.340	430.261
29.400	347.308
29.460	258.051
29.520	196.636
29.580	187.389
29.640	213.678
29.700	254.612
29.760	287.880
29.820	311.850
29.880	331.401
29.940	341.004
30.000	337.565
30.060	333.935
30.120	325.847
30.180	323.338
30.240	311.799
30.300	293.688
30.360	260.802
30.420	206.074
30.480	160.490
30.540	138.762
30.600	136.991
30.660	146.022
30.720	154.848
30.780	161.573
30.840	167.839
30.900	170.361
30.960	170.233
31.020	170.055
31.080	168.374
31.140	165.992
31.200	163.929
31.260	161.598
31.320	155.574
31.380	144.862
31.440	130.177
31.500	128.611
31.560	164.642
31.620	210.799
31.680	252.231
31.740	280.926
31.800	299.750
31.860	311.506
31.920	315.671
31.980	313.901
32.040	310.436
32.100	305.686
32.160	300.744
32.220	291.841
32.280	274.176
32.340	239.074
32.400	194.305
32.460	155.357
32.520	132.215
32.580	119.568
32.640	113.365
32.700	109.786
32.760	108.220
32.820	107.392
32.880	106.424
32.940	106.055
33.000	105.316
33.060	105.698
33.120	106.118
33.180	106.055
33.240	105.583
33.300	105.723
33.360	104.896
33.420	104.692
33.480	104.322
33.540	104.399
33.600	105.138
33.660	105.265
