0000000583,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",8:20:49 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:15,     15879,   140.3443,  7.77420e-09,  1.95650e-10,  2.17150e-09,  4.00207e-09,  9.78250e-11,  0.00000e+00,  1.18711e-09,  0.00000e+00,
00:00:16,     16442,   140.0798,  7.32955e-09,  1.95650e-10,  2.17150e-09,  3.90890e-09,  0.00000e+00,  0.00000e+00,  1.25698e-09,  1.69541e-10,
00:00:17,     17005,   140.3443,  7.77420e-09,  1.95650e-10,  2.06280e-09,  4.18840e-09,  9.78250e-11,  0.00000e+00,  1.04736e-09,  0.00000e+00,
00:00:17,     17568,   140.2121,  7.55186e-09,  1.95650e-10,  2.06280e-09,  4.09524e-09,  0.00000e+00,  9.78250e-11,  1.25698e-09,  1.69541e-10,
00:00:18,     18131,   140.2121,  7.55186e-09,  3.91300e-10,  2.28019e-09,  4.09524e-09,  1.95650e-10,  0.00000e+00,  1.11723e-09, -1.69541e-10,
00:00:18,     18694,   140.2121,  7.32955e-09,  1.95650e-10,  2.28019e-09,  3.90890e-09,  1.95650e-10,  0.00000e+00,  1.11723e-09, -1.69541e-10,
00:00:19,     19257,   139.8154,  7.55186e-09,  2.93475e-10,  2.28019e-09,  3.90890e-09,  9.78250e-11,  0.00000e+00,  1.25698e-09,  0.00000e+00,
00:00:19,     19820,   139.9476,  8.21886e-09,  2.93475e-10,  2.28019e-09,  4.09524e-09,  9.78250e-11,  9.78250e-11,  1.18711e-09, -1.69541e-10,
00:00:20,     20383,   139.8154,  7.55186e-09,  1.95650e-10,  2.06280e-09,  4.09524e-09,  0.00000e+00,  9.78250e-11,  1.32609e-09,  0.00000e+00,
00:00:20,     20946,   139.9476,  7.32955e-09,  2.93475e-10,  2.17150e-09,  4.09524e-09,  9.78250e-11,  1.95650e-10,  1.11723e-09,  0.00000e+00,
00:00:21,     21509,   139.8154,  6.88489e-09,  2.93475e-10,  2.17150e-09,  4.09524e-09,  9.78250e-11,  0.00000e+00,  1.25698e-09, -1.69541e-10,
00:00:22,     22072,   139.6831,  7.32955e-09,  3.91300e-10,  1.84661e-09,  4.09524e-09,  9.78250e-11,  0.00000e+00,  1.11723e-09,  0.00000e+00,
00:00:22,     22635,   139.4187,  7.32955e-09,  2.93475e-10,  1.95411e-09,  4.37473e-09,  9.78250e-11,  9.78250e-11,  1.04736e-09,  0.00000e+00,
00:00:23,     23198,   139.6831,  7.10720e-09,  1.95650e-10,  2.28019e-09,  4.18840e-09,  9.78250e-11,  0.00000e+00,  1.11723e-09,  1.69541e-10,
00:00:23,     23761,   139.8154,  7.10720e-09,  2.93475e-10,  2.06280e-09,  4.18840e-09,  0.00000e+00,  0.00000e+00,  9.77479e-10,  0.00000e+00,
00:00:24,     24324,   139.6831,  6.88489e-09,  2.93475e-10,  2.06280e-09,  3.90890e-09,  9.78250e-11,  9.78250e-11,  1.18711e-09, -1.69541e-10,
00:00:24,     24887,   139.4187,  7.55186e-09,  4.89125e-10,  2.06280e-09,  4.65424e-09,  1.95650e-10,  0.00000e+00,  1.11723e-09, -1.69541e-10,
00:00:25,     25450,   139.6831,  7.99652e-09,  2.93475e-10,  1.95530e-09,  4.56107e-09,  9.78250e-11,  0.00000e+00,  1.11723e-09, -1.69541e-10,
