Wed, Oct 18, 2017	9:56 AM
 x = amu	 y = amps
22.980	97.508
23.040	96.910
23.100	97.980
23.160	97.929
23.220	97.852
23.280	100.985
23.340	109.060
23.400	128.585
23.460	261.567
23.520	316.384
23.580	347.716
23.640	364.095
23.700	374.475
23.760	371.418
23.820	346.837
23.880	339.272
23.940	336.521
24.000	328.726
24.060	338.125
24.120	281.053
24.180	305.546
24.240	197.821
24.300	113.353
24.360	120.676
24.420	182.664
24.480	273.921
24.540	583.671
24.600	686.582
24.660	703.789
24.720	737.031
24.780	757.473
24.840	727.746
24.900	670.967
24.960	685.104
25.020	660.434
25.080	691.766
25.140	646.233
25.200	619.588
25.260	387.823
25.320	293.637
25.380	225.179
25.440	423.014
25.500	928.931
25.560	2025.883
25.620	2341.250
25.680	2611.671
25.740	2682.078
25.800	2821.223
25.860	2677.811
25.920	2458.693
25.980	2566.647
26.040	2245.561
26.100	2274.473
26.160	2114.580
26.220	2075.479
26.280	1537.122
26.340	663.694
26.400	298.935
26.460	483.053
26.520	2354.738
26.580	4302.536
26.640	5948.009
26.700	6338.254
26.760	6408.355
26.820	6963.754
26.880	6395.733
26.940	6113.264
27.000	6257.250
27.060	6014.570
27.120	5508.665
27.180	5178.091
27.240	4553.788
27.300	3771.706
27.360	1523.507
27.420	805.477
27.480	3369.948
27.540	15984.853
27.600	20430.154
27.660	24893.999
27.720	24766.686
27.780	26504.752
27.840	27931.553
27.900	26358.423
27.960	23619.845
28.020	24381.064
28.080	22361.738
28.140	23737.466
28.200	20663.791
28.260	20372.369
28.320	9957.278
28.380	5970.412
28.440	246.831
28.500	522.409
28.560	1098.593
28.620	2928.477
28.680	3376.214
28.740	3893.887
28.800	4081.062
28.860	4314.356
28.920	4034.854
28.980	3783.093
29.040	3922.315
29.100	3478.144
29.160	3462.580
29.220	3323.269
29.280	3038.813
29.340	2375.639
29.400	665.261
29.460	166.693
29.520	259.796
29.580	1043.572
29.640	1357.933
29.700	1682.203
29.760	1718.604
29.820	1797.302
29.880	1888.864
29.940	1609.643
30.000	1615.438
30.060	1638.657
30.120	1522.271
30.180	1625.933
30.240	1318.768
30.300	1265.148
30.360	621.397
30.420	131.247
30.480	154.695
30.540	425.688
30.600	877.259
30.660	1031.077
30.720	1088.060
30.780	1110.553
30.840	1181.673
30.900	1158.200
30.960	1082.163
31.020	1065.682
31.080	1004.929
31.140	1007.133
31.200	900.949
31.260	880.023
31.320	652.155
31.380	241.443
31.440	133.986
31.500	189.962
31.560	446.156
31.620	539.680
31.680	659.275
31.740	687.792
31.800	711.023
31.860	725.199
31.920	664.471
31.980	645.647
32.040	657.173
32.100	603.706
32.160	614.901
32.220	565.344
32.280	523.135
32.340	310.105
32.400	199.285
32.460	108.296
32.520	113.353
32.580	116.855
32.640	128.190
32.700	132.394
32.760	130.967
32.820	127.312
