0000000723,scans,0000000104,DataLength
"header",0000000025,"lines"
"Date",6/9/2016,"Time",2:04:36 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",32.00,32.00,0.01,11.000,10.000,0.860000,1.000000,
"Scan 6","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:17,     17838,   120.2459,  6.66255e-09,  2.93236e-09,  5.95652e-09,  2.61374e-09,  3.49068e-09,
00:00:18,     18253,   120.3781,  7.55186e-09,  2.93236e-09,  5.86335e-09,  2.72750e-09,  3.56055e-09,
00:00:18,     18668,   120.3781,  7.10720e-09,  2.82367e-09,  5.95652e-09,  2.38624e-09,  3.21118e-09,
00:00:19,     19083,   120.2459,  6.22034e-09,  3.04106e-09,  5.95652e-09,  2.38624e-09,  3.14130e-09,
00:00:19,     19498,   120.3781,  6.21789e-09,  2.49758e-09,  6.04969e-09,  2.50000e-09,  3.00155e-09,
00:00:19,     19913,   120.3781,  6.22034e-09,  2.93236e-09,  5.58488e-09,  2.61374e-09,  3.21118e-09,
00:00:20,     20328,   120.2459,  6.44023e-09,  2.82367e-09,  5.67805e-09,  2.27250e-09,  3.28105e-09,
00:00:20,     20743,   120.2459,  6.44023e-09,  2.71497e-09,  6.04969e-09,  2.50000e-09,  3.14130e-09,
00:00:21,     21158,   120.2459,  6.66255e-09,  2.71497e-09,  5.77019e-09,  2.50000e-09,  3.21118e-09,
00:00:21,     21573,   120.2459,  7.10720e-09,  2.60628e-09,  6.23602e-09,  2.27250e-09,  3.00155e-09,
00:00:21,     21988,   120.2459,  6.66255e-09,  2.82367e-09,  5.39854e-09,  2.15874e-09,  3.14130e-09,
00:00:22,     22403,   120.3781,  7.32955e-09,  2.71497e-09,  5.67805e-09,  2.38624e-09,  3.14130e-09,
00:00:22,     22818,   120.2459,  6.66255e-09,  2.60628e-09,  5.58488e-09,  2.38624e-09,  3.00155e-09,
00:00:23,     23233,   120.5103,  6.66255e-09,  2.60628e-09,  5.39854e-09,  2.50000e-09,  3.07143e-09,
00:00:23,     23648,   120.1137,  7.10720e-09,  2.71497e-09,  5.77121e-09,  2.27250e-09,  3.14130e-09,
00:00:24,     24063,   120.2459,  6.22034e-09,  2.82367e-09,  5.21221e-09,  2.27250e-09,  3.07143e-09,
00:00:24,     24478,   119.9814,  5.99800e-09,  2.82367e-09,  5.95652e-09,  2.15874e-09,  2.93168e-09,
00:00:24,     24893,   120.2459,  6.66255e-09,  2.71497e-09,  5.58488e-09,  2.50000e-09,  2.93168e-09,
00:00:25,     25308,   120.3781,  6.66255e-09,  2.82367e-09,  5.21221e-09,  2.38624e-09,  3.00155e-09,
00:00:25,     25723,   120.5103,  6.66255e-09,  2.93236e-09,  5.39854e-09,  1.93124e-09,  2.72282e-09,
00:00:26,     26138,   120.2459,  6.44023e-09,  2.71497e-09,  5.39854e-09,  2.38624e-09,  2.72282e-09,
00:00:26,     26553,   120.1137,  6.44023e-09,  2.82367e-09,  5.39854e-09,  2.04624e-09,  3.00155e-09,
00:00:26,     26968,   120.3781,  5.99800e-09,  2.93236e-09,  5.21221e-09,  2.15874e-09,  2.72282e-09,
00:00:27,     27383,   120.3781,  6.22034e-09,  2.49758e-09,  5.77121e-09,  2.38624e-09,  2.86180e-09,
00:00:27,     27798,   120.3781,  6.66255e-09,  2.49758e-09,  5.58488e-09,  2.61374e-09,  2.65294e-09,
00:00:28,     28213,   120.3781,  6.66255e-09,  2.49758e-09,  6.04969e-09,  2.50000e-09,  2.72282e-09,
