0000000413,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/9/2016,"Time",1:07:37 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,10.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,10.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:18,     18891,   170.6241,  6.39380e-09,  3.26370e-09,  3.55347e-09,  9.93095e-09,  2.72620e-10,  2.33382e-10,  1.02893e-08,  1.92456e-10,
00:00:19,     19596,   170.4918,  6.51107e-09,  3.08202e-09,  3.38863e-09,  9.93095e-09,  2.10485e-10,  2.71115e-10,  9.59821e-09,  1.55009e-10,
00:00:20,     20301,   170.7563,  7.14630e-09,  3.20887e-09,  3.55347e-09,  9.82857e-09,  2.01885e-10,  2.39940e-10,  9.90536e-09,  1.54450e-10,
00:00:21,     21006,   170.6241,  7.10966e-09,  2.92615e-09,  3.37191e-09,  9.52143e-09,  2.28867e-10,  2.25320e-10,  9.52143e-09,  1.89847e-10,
00:00:21,     21711,   170.4918,  7.18295e-09,  2.75845e-09,  3.39222e-09,  9.11190e-09,  2.10915e-10,  2.39402e-10,  8.90714e-09,  1.79229e-10,
00:00:22,     22416,   170.4918,  7.01925e-09,  2.69502e-09,  3.50689e-09,  8.90714e-09,  2.32307e-10,  2.55420e-10,  8.75357e-09,  1.66560e-10,
00:00:23,     23121,   170.4918,  7.76686e-09,  2.62300e-09,  3.67172e-09,  9.00952e-09,  2.23170e-10,  2.83262e-10,  8.36964e-09,  1.77551e-10,
00:00:23,     23826,   170.4918,  6.38402e-09,  2.61117e-09,  3.28950e-09,  9.00952e-09,  2.06292e-10,  2.46175e-10,  8.44643e-09,  1.76061e-10,
00:00:24,     24531,   170.4918,  6.87755e-09,  2.61117e-09,  3.33608e-09,  8.60000e-09,  1.95327e-10,  2.70040e-10,  8.13929e-09,  1.54263e-10,
00:00:25,     25236,   170.4918,  6.57459e-09,  2.70685e-09,  3.24172e-09,  8.80476e-09,  1.96617e-10,  2.36715e-10,  7.83214e-09,  2.01213e-10,
00:00:25,     25941,   170.3596,  7.45170e-09,  2.33060e-09,  3.72786e-09,  8.70238e-09,  1.73182e-10,  2.41445e-10,  7.75536e-09,  1.48860e-10,
00:00:26,     26646,   170.7563,  6.90198e-09,  2.49400e-09,  3.46030e-09,  8.60000e-09,  1.71247e-10,  2.64342e-10,  7.29464e-09,  1.73267e-10,
00:00:27,     27351,   170.4918,  6.25455e-09,  2.32630e-09,  3.52958e-09,  8.49762e-09,  1.79202e-10,  2.75092e-10,  7.37143e-09,  1.58362e-10,
00:00:28,     28056,   170.3596,  7.08523e-09,  2.07582e-09,  3.19274e-09,  8.52629e-09,  1.86835e-10,  2.61655e-10,  7.52500e-09,  1.69727e-10,
00:00:28,     28761,   170.4918,  7.21470e-09,  2.36607e-09,  3.22739e-09,  8.74641e-09,  1.95327e-10,  2.29835e-10,  6.98750e-09,  1.27808e-10,
00:00:29,     29446,   170.3596,  7.13652e-09,  2.05540e-09,  3.38863e-09,  7.95910e-09,  1.72537e-10,  2.29942e-10,  6.68036e-09,  1.79601e-10,
00:00:30,     30151,   170.4918,  6.75295e-09,  2.32737e-09,  3.18797e-09,  8.20584e-09,  1.72967e-10,  2.71222e-10,  6.91071e-09,  1.66001e-10,
00:00:30,     30856,   170.7563,  7.12432e-09,  2.23600e-09,  3.36236e-09,  7.69700e-09,  2.05110e-10,  2.64665e-10,  6.83393e-09,  1.75688e-10,
00:00:31,     31561,   170.7563,  6.56482e-09,  2.01240e-09,  3.55347e-09,  7.70724e-09,  1.89200e-10,  2.47680e-10,  6.91071e-09,  1.91153e-10,
00:00:32,     32266,   170.3596,  6.48175e-09,  2.05862e-09,  2.88100e-09,  8.00312e-09,  1.63722e-10,  2.53807e-10,  6.37321e-09,  1.42712e-10,
00:00:32,     32971,   170.6241,  7.13652e-09,  2.14892e-09,  3.34086e-09,  8.22529e-09,  1.52542e-10,  2.56065e-10,  6.62124e-09,  1.90407e-10,
00:00:33,     33676,   170.4918,  6.94595e-09,  1.90060e-09,  3.26800e-09,  7.42159e-09,  1.60927e-10,  2.51335e-10,  6.66193e-09,  1.78856e-10,
00:00:34,     34381,   170.8885,  6.85311e-09,  1.90490e-09,  3.47702e-09,  7.84852e-09,  1.67915e-10,  2.49400e-10,  6.32484e-09,  1.64324e-10,
00:00:35,     35086,   170.4918,  6.91175e-09,  1.91780e-09,  3.03508e-09,  7.52705e-09,  1.98660e-10,  2.40047e-10,  6.54599e-09,  1.57058e-10,
00:00:35,     35791,   170.3596,  6.37182e-09,  2.03497e-09,  3.32891e-09,  7.71236e-09,  1.50715e-10,  2.67460e-10,  6.43311e-09,  1.76806e-10,
00:00:36,     36496,   170.7563,  6.43289e-09,  1.95005e-09,  3.27039e-09,  7.55776e-09,  1.78127e-10,  2.60257e-10,  6.24191e-09,  2.23198e-10,
00:00:37,     37201,   170.3596,  6.51352e-09,  1.62970e-09,  3.30980e-09,  7.73181e-09,  1.75870e-10,  2.59505e-10,  6.03306e-09,  1.95624e-10,
00:00:37,     37906,   170.6241,  6.65034e-09,  1.72967e-09,  3.10197e-09,  7.41545e-09,  1.96295e-10,  2.23600e-10,  5.67216e-09,  1.68982e-10,
00:00:38,     38611,   170.3596,  7.08034e-09,  1.68882e-09,  3.26919e-09,  7.80962e-09,  1.72967e-10,  2.63805e-10,  6.28568e-09,  1.97300e-10,
00:00:39,     39316,   170.3596,  6.66743e-09,  1.80922e-09,  2.90847e-09,  7.33867e-09,  1.56305e-10,  2.68427e-10,  6.09371e-09,  1.93201e-10,
00:00:40,     40021,   170.4918,  7.16095e-09,  1.59960e-09,  3.16050e-09,  7.17076e-09,  1.78127e-10,  2.54452e-10,  5.90713e-09,  1.78484e-10,
00:00:40,     40726,   170.4918,  6.54039e-09,  1.93500e-09,  3.12944e-09,  7.07862e-09,  1.62325e-10,  2.70040e-10,  5.79425e-09,  1.85191e-10,
00:00:41,     41431,   170.3596,  6.47932e-09,  1.69527e-09,  3.12347e-09,  7.04995e-09,  1.69742e-10,  2.74232e-10,  5.75125e-09,  1.55568e-10,
00:00:42,     42136,   170.3596,  6.25455e-09,  1.75117e-09,  2.97536e-09,  7.33969e-09,  1.72000e-10,  2.79822e-10,  5.75739e-09,  2.32326e-10,
00:00:42,     42841,   170.4918,  7.00459e-09,  1.86727e-09,  3.16767e-09,  7.50350e-09,  1.69957e-10,  2.52410e-10,  5.98775e-09,  1.95809e-10,
00:00:43,     43546,   170.3596,  6.45489e-09,  1.45985e-09,  2.74602e-09,  7.26495e-09,  1.60605e-10,  2.28007e-10,  5.70134e-09,  1.82582e-10,
00:00:44,     44251,   170.3596,  6.81891e-09,  1.67592e-09,  3.19036e-09,  7.03971e-09,  1.44802e-10,  2.52410e-10,  5.68905e-09,  1.44203e-10,
00:00:44,     44956,   170.3596,  6.45243e-09,  1.90167e-09,  3.20350e-09,  7.10830e-09,  1.62217e-10,  2.47465e-10,  5.74280e-09,  1.44575e-10,
00:00:45,     45661,   170.6241,  7.27334e-09,  1.57702e-09,  3.29069e-09,  7.62329e-09,  1.68130e-10,  2.38542e-10,  5.53011e-09,  1.79414e-10,
00:00:46,     46366,   170.2274,  6.49398e-09,  1.71247e-09,  2.97774e-09,  7.18305e-09,  1.54370e-10,  2.64020e-10,  5.21529e-09,  1.95437e-10,
00:00:47,     47071,   170.4918,  7.37595e-09,  1.64582e-09,  3.19991e-09,  7.02026e-09,  1.34912e-10,  2.53270e-10,  5.44487e-09,  1.65256e-10,
00:00:47,     47776,   170.4918,  7.51523e-09,  1.59530e-09,  3.07928e-09,  6.92710e-09,  1.86297e-10,  2.58322e-10,  5.34198e-09,  2.06057e-10,
00:00:48,     48481,   170.3596,  6.50375e-09,  1.68022e-09,  3.06374e-09,  6.94962e-09,  1.48027e-10,  2.37790e-10,  5.36732e-09,  1.72894e-10,
00:00:49,     49166,   170.2274,  6.85800e-09,  1.58347e-09,  3.38624e-09,  7.81065e-09,  1.48565e-10,  2.90250e-10,  5.32739e-09,  2.06057e-10,
00:00:49,     49871,   170.2274,  7.25380e-09,  1.77482e-09,  3.18558e-09,  8.07684e-09,  1.41040e-10,  2.49615e-10,  5.61304e-09,  1.82768e-10,
00:00:50,     50576,   170.2274,  7.71311e-09,  1.81782e-09,  3.08883e-09,  7.77992e-09,  1.67915e-10,  2.89282e-10,  5.72054e-09,  1.96182e-10,
00:00:51,     51281,   170.4918,  6.84823e-09,  1.61035e-09,  3.15094e-09,  7.53012e-09,  1.60282e-10,  2.81112e-10,  5.30819e-09,  1.48860e-10,
00:00:51,     51986,   170.4918,  7.55432e-09,  1.64905e-09,  2.88219e-09,  7.25369e-09,  1.75010e-10,  2.77565e-10,  5.59845e-09,  2.15185e-10,
00:00:52,     52691,   170.3596,  6.80182e-09,  1.70387e-09,  3.09600e-09,  7.28440e-09,  1.45017e-10,  2.74877e-10,  5.38729e-09,  1.87239e-10,
00:00:53,     53376,   170.4918,  6.67720e-09,  1.67162e-09,  3.23456e-09,  6.72130e-09,  1.71355e-10,  2.39295e-10,  5.59768e-09,  1.85003e-10,
