0000000614,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/9/2016,"Time",5:03:55 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,10.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,10.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:14,     14368,   170.2274,  1.00170e-08,  9.56750e-09,  6.92778e-09,  3.05095e-08,  1.61250e-09,  3.01000e-09,  3.47839e-08,  2.23570e-09,
00:00:14,     14873,   170.2274,  1.05057e-08,  9.56750e-09,  6.68889e-09,  3.04071e-08,  1.61250e-09,  3.01000e-09,  3.27875e-08,  2.42201e-09,
00:00:15,     15378,   170.4918,  1.02614e-08,  8.92250e-09,  6.56944e-09,  2.81548e-08,  1.82750e-09,  3.01000e-09,  3.25571e-08,  2.60832e-09,
00:00:15,     15883,   170.4918,  1.05057e-08,  8.92250e-09,  6.92778e-09,  2.79500e-08,  1.50500e-09,  3.22500e-09,  3.20964e-08,  2.79463e-09,
00:00:16,     16388,   170.6241,  9.77273e-09,  8.92250e-09,  6.68889e-09,  2.82571e-08,  1.72000e-09,  3.33250e-09,  3.14054e-08,  2.42201e-09,
00:00:16,     16893,   170.4918,  1.07500e-08,  8.81500e-09,  6.92778e-09,  2.83595e-08,  1.82750e-09,  2.90250e-09,  3.07911e-08,  2.60832e-09,
00:00:17,     17398,   170.6241,  1.05057e-08,  8.38500e-09,  7.04722e-09,  2.74381e-08,  1.61250e-09,  2.90250e-09,  2.97929e-08,  2.42201e-09,
00:00:17,     17903,   170.4918,  1.12386e-08,  8.49250e-09,  6.68889e-09,  2.75405e-08,  1.72000e-09,  3.33250e-09,  2.92554e-08,  2.60832e-09,
00:00:18,     18408,   170.4918,  1.05057e-08,  8.38500e-09,  7.40556e-09,  2.68238e-08,  1.61250e-09,  3.01000e-09,  2.91786e-08,  2.42201e-09,
00:00:18,     18913,   170.2274,  1.07500e-08,  8.70750e-09,  7.04722e-09,  2.65167e-08,  1.82750e-09,  3.01000e-09,  2.86411e-08,  2.60832e-09,
00:00:19,     19418,   170.2274,  1.02614e-08,  8.17000e-09,  6.80833e-09,  2.69262e-08,  1.72000e-09,  3.01000e-09,  2.75661e-08,  2.79463e-09,
00:00:19,     19923,   170.3596,  1.07500e-08,  8.81500e-09,  6.92778e-09,  2.60048e-08,  1.72000e-09,  3.11750e-09,  2.75661e-08,  2.98094e-09,
