Tue, Oct 24, 2017	12:57 PM
 x = amu	 y = amps
23.160	105.367
23.220	104.424
23.280	104.819
23.340	104.628
23.400	105.316
23.460	110.028
23.520	120.167
23.580	140.023
23.640	146.264
23.700	150.912
23.760	152.211
23.820	148.836
23.880	149.919
23.940	145.550
24.000	148.480
24.060	142.111
24.120	144.098
24.180	137.119
24.240	126.471
24.300	114.664
24.360	105.214
24.420	106.972
24.480	107.570
24.540	127.235
24.600	168.463
24.660	180.206
24.720	192.853
24.780	195.095
24.840	199.718
24.900	200.890
24.960	191.210
25.020	189.109
25.080	181.645
25.140	186.039
25.200	173.290
25.260	162.044
25.320	148.849
25.380	110.767
25.440	114.996
25.500	123.644
25.560	216.288
25.620	343.003
25.680	455.212
25.740	505.075
25.800	530.981
25.860	545.551
25.920	516.512
25.980	504.400
26.040	492.606
26.100	479.844
26.160	463.350
26.220	403.005
26.280	425.816
26.340	280.467
26.400	116.728
26.460	121.860
26.520	172.246
26.580	286.759
26.640	751.576
26.700	901.408
26.760	966.746
26.820	995.568
26.880	1050.628
26.940	1033.446
27.000	922.945
27.060	968.681
27.120	909.572
27.180	935.885
27.240	872.063
27.300	808.801
27.360	508.208
27.420	400.216
27.480	373.762
27.540	1332.294
27.600	3905.681
27.660	8537.953
27.720	10240.281
27.780	11389.861
27.840	11705.457
27.900	12611.923
27.960	11636.795
28.020	10819.140
28.080	11402.253
28.140	9796.060
28.200	10516.217
28.260	8680.436
28.320	7077.286
28.380	5765.840
28.440	951.717
28.500	134.189
28.560	147.219
28.620	312.729
28.680	576.743
28.740	916.857
28.800	1017.882
28.860	1021.665
28.920	1135.644
28.980	1012.648
29.040	994.078
29.100	1029.129
29.160	968.478
29.220	970.070
29.280	793.402
29.340	840.578
29.400	492.491
29.460	130.139
29.520	127.121
29.580	223.421
29.640	425.345
29.700	835.293
29.760	1023.448
29.820	1030.071
29.880	1106.706
29.940	1126.422
30.000	1042.757
30.060	1039.687
30.120	964.529
30.180	920.232
30.240	902.554
30.300	837.853
30.360	629.930
30.420	202.151
30.480	110.512
30.540	119.046
30.600	185.352
30.660	248.486
30.720	325.580
30.780	339.132
30.840	357.192
30.900	380.742
30.960	375.036
31.020	347.831
31.080	358.809
31.140	335.349
31.200	340.291
31.260	316.766
31.320	293.586
31.380	204.737
31.440	157.828
31.500	113.671
31.560	149.550
31.620	206.965
31.680	327.236
31.740	366.286
31.800	377.226
31.860	400.865
31.920	405.883
31.980	369.635
32.040	374.080
32.100	365.458
32.160	353.460
32.220	365.050
32.280	321.148
32.340	250.218
32.400	204.940
32.460	109.035
32.520	104.985
32.580	106.347
32.640	107.990
32.700	110.831
