0000000956,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",5:35:47 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:10,     10017,   120.3027,  2.65573e-09,  3.89508e-09,  1.06834e-08,  0.00000e+00, -7.00900e-10,  2.33736e-09, -7.00900e-10,  4.67625e-10,
00:00:10,     10354,   119.4406,  7.43459e-09,  2.85591e-09,  1.00149e-08,  1.63507e-09,  9.34175e-10,  3.33864e-09,  9.35250e-10,  0.00000e+00,
00:00:10,     10692,   120.0158,  2.65573e-09,  3.89508e-09,  1.09056e-08,  4.67625e-10, -7.00900e-10,  3.00462e-09, -4.67625e-10,  1.16852e-09,
00:00:11,     11030,   120.0158,  4.24868e-09,  2.59672e-09,  1.04602e-08,  0.00000e+00, -4.67625e-10,  2.33659e-09, -2.33275e-10,  2.33275e-10,
00:00:11,     11369,   119.7276,  5.84164e-09,  1.81794e-09,  9.79371e-09,  7.01975e-10,  0.00000e+00,  2.67061e-09,  0.00000e+00, -2.33275e-10,
00:00:11,     11707,   119.7289,  3.71607e-09,  4.15428e-09,  1.02381e-08,  7.00900e-10, -2.33275e-10,  2.67061e-09, -4.67625e-10,  1.16852e-09,
00:00:12,     12046,   119.7289,  3.18591e-09,  3.63589e-09,  1.00149e-08,  4.67625e-10, -4.67625e-10,  2.33736e-09, -7.00900e-10,  4.67625e-10,
00:00:12,     12383,   120.0158,  3.71607e-09,  3.37550e-09,  1.00159e-08,  2.34350e-10, -2.34350e-10,  2.00334e-09, -7.00900e-10,  9.35250e-10,
00:00:12,     12720,   119.7289,  3.71607e-09,  3.37550e-09,  9.34738e-09,  7.00900e-10, -2.33275e-10,  2.33736e-09, -7.00900e-10,  9.35250e-10,
00:00:13,     13058,   119.7289,  4.77886e-09,  2.59672e-09,  1.02381e-08,  7.01975e-10, -2.34350e-10,  1.83594e-09, -2.33275e-10,  2.34350e-10,
00:00:13,     13397,   119.7289,  4.24868e-09,  4.41467e-09,  8.68089e-09,  7.00900e-10, -2.34350e-10,  2.67061e-09, -4.67625e-10,  7.00900e-10,
00:00:13,     13736,   119.7289,  2.65573e-09,  3.89508e-09,  8.90203e-09,  7.00900e-10,  0.00000e+00,  2.16996e-09, -2.33275e-10,  9.35250e-10,
00:00:14,     14074,   120.0158,  3.71852e-09,  3.37550e-09,  9.57057e-09,  2.34350e-10, -7.00900e-10,  1.83594e-09, -7.00900e-10,  9.35250e-10,
00:00:14,     14412,   120.0158,  5.31148e-09,  3.11630e-09,  8.67986e-09,  1.63615e-09,  9.34175e-10,  3.00462e-09,  4.67625e-10, -2.34350e-10,
00:00:14,     14750,   120.0158,  4.24868e-09,  3.37550e-09,  8.67986e-09,  1.63615e-09,  7.00900e-10,  2.83800e-09,  9.34175e-10,  2.34350e-10,
00:00:15,     15088,   120.0158,  2.65573e-09,  3.89508e-09,  8.45770e-09,  7.00900e-10, -2.33275e-10,  2.33659e-09,  0.00000e+00,  7.00900e-10,
00:00:15,     15427,   120.0158,  5.31148e-09,  2.33752e-09,  9.57057e-09,  1.16852e-09,  2.33275e-10,  2.50398e-09,  2.33275e-10, -2.33275e-10,
00:00:15,     15765,   119.7276,  5.84164e-09,  3.11630e-09,  8.23450e-09,  1.63615e-09,  9.34175e-10,  2.83723e-09,  7.00900e-10,  0.00000e+00,
00:00:16,     16103,   119.7289,  4.24868e-09,  3.37550e-09,  7.79017e-09,  1.40287e-09,  4.67625e-10,  2.67137e-09,  4.67625e-10,  2.34350e-10,
00:00:16,     16442,   119.7276,  5.30902e-09,  2.33752e-09,  8.90305e-09,  9.35250e-10, -2.33275e-10,  2.50398e-09,  2.34350e-10, -2.33275e-10,
00:00:16,     16780,   119.4406,  4.77886e-09,  2.59672e-09,  9.34738e-09,  7.01975e-10, -2.33275e-10,  2.33736e-09,  0.00000e+00,  4.67625e-10,
00:00:17,     17118,   120.0158,  5.84164e-09,  2.85711e-09,  8.23450e-09,  1.40180e-09,  7.00900e-10,  2.67061e-09,  9.34175e-10,  2.33275e-10,
00:00:17,     17457,   119.7276,  3.18591e-09,  3.11511e-09,  8.90305e-09,  7.00900e-10, -7.00900e-10,  1.50269e-09, -7.00900e-10,  1.16852e-09,
00:00:17,     17795,   120.0158,  4.77886e-09,  2.33752e-09,  9.34738e-09,  2.33275e-10, -4.67625e-10,  2.33736e-09, -2.33275e-10,  0.00000e+00,
00:00:18,     18134,   119.7289,  5.30902e-09,  2.59672e-09,  8.68089e-09,  9.35250e-10,  2.33275e-10,  2.16996e-09,  0.00000e+00,  2.33275e-10,
00:00:18,     18472,   119.7289,  2.12557e-09,  2.85711e-09,  8.23552e-09,  4.67625e-10, -4.67625e-10,  2.00334e-09, -7.01975e-10,  1.16852e-09,
00:00:18,     18811,   120.0158,  3.18591e-09,  3.63589e-09,  8.23450e-09,  4.67625e-10, -7.00900e-10,  1.83594e-09, -4.67625e-10,  7.01975e-10,
00:00:19,     19148,   119.7289,  3.18834e-09,  2.85591e-09,  8.90305e-09,  2.34350e-10, -4.67625e-10,  1.66932e-09, -4.67625e-10,  2.34350e-10,
00:00:19,     19487,   119.7289,  4.77886e-09,  3.63469e-09,  8.01233e-09,  1.86942e-09,  4.67625e-10,  2.50398e-09,  4.67625e-10,  2.34350e-10,
00:00:19,     19824,   120.0158,  4.78130e-09,  2.33752e-09,  8.90203e-09,  7.01975e-10,  0.00000e+00,  1.83594e-09,  2.33275e-10,  0.00000e+00,
00:00:20,     20162,   119.4406,  3.18591e-09,  4.15428e-09,  8.23552e-09,  4.67625e-10, -4.67625e-10,  1.83594e-09, -2.34350e-10,  4.67625e-10,
00:00:20,     20501,   119.7289,  2.65573e-09,  3.11630e-09,  8.67986e-09,  2.34350e-10, -2.34350e-10,  2.00334e-09, -7.00900e-10,  9.35250e-10,
00:00:20,     20839,   119.4406,  2.12557e-09,  3.89508e-09,  8.67986e-09,  2.34350e-10, -4.67625e-10,  1.50269e-09, -4.67625e-10,  1.16852e-09,
00:00:21,     21177,   120.0158,  4.77886e-09,  3.11630e-09,  7.56697e-09,  1.40180e-09,  7.00900e-10,  2.67061e-09,  7.00900e-10, -2.34350e-10,
00:00:21,     21516,   120.0158,  4.77886e-09,  3.63469e-09,  7.12264e-09,  1.16852e-09,  4.67625e-10,  2.50398e-09,  4.67625e-10,  2.34350e-10,
00:00:21,     21854,   120.3041,  3.18591e-09,  3.37550e-09,  7.78914e-09,  9.34175e-10,  4.67625e-10,  2.50398e-09,  0.00000e+00,  4.67625e-10,
00:00:22,     22192,   120.0158,  6.90443e-09,  2.59672e-09,  7.56697e-09,  1.63507e-09,  4.67625e-10,  2.33659e-09,  7.00900e-10, -4.67625e-10,
00:00:22,     22531,   120.0158,  5.84164e-09,  3.11630e-09,  7.56697e-09,  1.63507e-09,  7.00900e-10,  3.00462e-09,  4.67625e-10,  0.00000e+00,
00:00:22,     22869,   120.0158,  3.71607e-09,  3.11630e-09,  7.12264e-09,  1.40180e-09,  7.00900e-10,  2.33736e-09,  4.67625e-10,  2.34350e-10,
