Wed, Oct 25, 2017	1:06 PM
 x = amu	 y = amps

15.480	1043.981
15.540	1043.981
15.600	1043.981
15.660	1043.981
15.720	1043.981
15.780	1043.981
15.840	1043.981
15.900	1043.981
15.960	1043.981
16.020	1043.981
16.080	1043.981
16.140	1043.981
16.200	1043.981
16.260	110.070
16.320	312.568
16.380	1043.981
16.440	1043.981
16.500	1043.981
16.560	1043.981
16.620	1043.981
16.680	1043.981
16.740	1043.981
16.800	1043.981
16.860	1043.981
16.920	1043.981
16.980	1043.981
17.040	1043.981
17.100	1043.981
17.160	1043.981
17.220	1025.084
17.280	225.429
17.340	843.704
17.400	1043.981
17.460	1043.981
17.520	1043.981
17.580	1043.981
17.640	1043.981
17.700	1043.981
17.760	1043.981
17.820	1043.981
17.880	1043.981
17.940	1043.981
18.000	1043.981
18.060	1043.981
18.120	1043.981
18.180	1043.981
18.240	332.085
18.300	13.790
18.360	14.651
18.420	50.398
18.480	73.025
18.540	76.824
18.600	78.829
18.660	83.135
18.720	86.706
18.780	78.519
18.840	78.532
18.900	73.511
18.960	70.133
19.020	70.618
19.080	55.089
19.140	39.474
19.200	19.315
19.260	5.365
19.320	7.277
19.380	38.954
19.440	92.902
19.500	112.737
19.560	113.827
19.620	117.417
19.680	133.597
19.740	120.349
19.800	118.087
19.860	113.218
19.920	101.568
19.980	107.173
20.040	96.407
20.100	77.050
20.160	61.929
20.220	9.653
20.280	2.211
20.340	2.031
20.400	2.023
20.460	1.993
20.520	2.804
20.580	3.206
20.640	3.062
20.700	2.382
20.760	3.310
20.820	2.553
20.880	2.356
20.940	2.790
21.000	2.541
21.060	2.338
21.120	2.443
21.180	2.711
21.240	2.011
21.300	1.576
21.360	2.022
21.420	2.520
21.480	5.805
21.540	6.718
21.600	7.332
21.660	7.416
21.720	7.856
21.780	7.086
21.840	6.930
21.900	7.535
21.960	7.355
22.020	6.705
22.080	5.993
22.140	5.417
22.200	3.852
22.260	2.042
22.320	1.656
22.380	1.712
22.440	1.582
22.500	1.687
22.560	1.691
22.620	1.712
22.680	1.660
22.740	1.551
22.800	1.459
22.860	1.354
22.920	1.410
22.980	1.498
23.040	1.473
23.100	1.388
23.160	1.612
23.220	1.945
23.280	1.926
23.340	2.586
23.400	3.036
23.460	11.249
23.520	21.531
23.580	31.335
23.640	36.416
23.700	35.538
23.760	40.341
23.820	37.073
23.880	34.036
23.940	32.045
24.000	36.290
24.060	27.417
24.120	28.568
24.180	24.625
24.240	19.792
24.300	5.927
24.360	2.356
24.420	4.511
24.480	7.892
24.540	40.354
24.600	61.640
24.660	69.275
24.720	67.013
24.780	74.093
24.840	75.395
24.900	67.400
24.960	66.196
25.020	68.122
