Wed, Oct 04, 2017	10:33 AM
 x = amu	 y = amps
23.220	99.750
23.280	101.801
23.340	104.068
23.400	108.080
23.460	141.131
23.520	195.248
23.580	267.120
23.640	314.881
23.700	333.286
23.760	348.684
23.820	336.457
23.880	320.969
23.940	321.746
24.000	313.073
24.060	308.755
24.120	278.965
24.180	271.552
24.240	213.168
24.300	146.582
24.360	109.837
24.420	110.449
24.480	120.943
24.540	211.028
24.600	333.808
24.660	398.356
24.720	425.192
24.780	451.161
24.840	454.651
24.900	431.445
24.960	420.900
25.020	412.239
25.080	401.935
25.140	402.343
25.200	366.668
25.260	274.507
25.320	189.313
25.380	132.725
25.440	131.566
25.500	160.592
25.560	333.935
25.620	519.722
25.680	652.576
25.740	718.525
25.800	749.589
25.860	771.891
25.920	742.368
25.980	709.558
26.040	697.293
26.100	671.731
26.160	637.114
26.220	585.926
26.280	492.899
26.340	273.386
26.400	147.677
26.460	124.102
26.520	180.996
26.580	311.723
26.640	524.141
26.700	732.280
26.760	796.981
26.820	834.363
26.880	839.789
26.940	803.541
27.000	792.358
27.060	784.016
27.120	760.046
27.180	695.013
27.240	648.742
27.300	570.744
27.360	382.779
27.420	257.758
27.480	374.195
27.540	1655.800
27.600	4218.679
27.660	7325.125
27.720	8865.433
27.780	9563.084
27.840	10142.466
27.900	10181.821
27.960	9416.997
28.020	9289.264
28.080	9209.228
28.140	8785.843
28.200	8627.720
28.260	7864.654
28.320	5412.569
28.380	2621.452
28.440	898.287
28.500	291.981
28.560	318.995
28.620	938.063
28.680	1482.788
28.740	1854.986
28.800	2162.469
28.860	2284.178
28.920	2347.937
28.980	2271.582
29.040	2195.189
29.100	2114.045
29.160	2030.863
29.220	1912.401
29.280	1703.256
29.340	1351.233
29.400	607.616
29.460	199.234
29.520	124.612
29.580	156.045
29.640	233.444
29.700	331.579
29.760	393.045
29.820	418.212
29.880	429.955
29.940	418.289
30.000	405.832
30.060	407.463
30.120	397.121
30.180	388.205
30.240	358.988
30.300	331.477
30.360	243.748
30.420	144.595
30.480	107.456
30.540	108.080
30.600	132.177
30.660	162.770
30.720	185.415
30.780	197.082
30.840	201.221
30.900	203.132
30.960	201.259
31.020	200.317
31.080	196.101
31.140	191.376
31.200	186.625
31.260	178.614
31.320	161.369
31.380	134.444
31.440	109.595
31.500	119.046
31.560	186.332
31.620	254.536
31.680	315.149
31.740	345.793
31.800	362.452
31.860	372.183
31.920	362.197
31.980	350.429
32.040	344.901
32.100	333.247
32.160	331.770
32.220	305.749
32.280	273.424
32.340	186.345
32.400	125.643
32.460	105.571
32.520	102.794
32.580	104.335
32.640	105.863
32.700	107.659
32.760	109.366
32.820	109.404
32.880	109.251
32.940	108.971
33.000	108.869
33.060	109.812
33.120	110.589
33.180	112.321
33.240	111.149
33.300	111.060
33.360	109.557
33.420	107.659
33.480	107.010
33.540	107.417
33.600	113.251
33.660	120.982
33.720	126.280
33.780	127.350
33.840	127.630
33.900	127.566
33.960	126.446
34.020	123.924
34.080	123.631
34.140	123.605
34.200	123.351
34.260	122.001
34.320	118.753
34.380	108.576
34.440	103.482
34.500	101.444
34.560	101.317
34.620	102.679
34.680	102.794
34.740	103.049
34.800	103.125
34.860	103.202
34.920	102.730
34.980	102.399
35.040	103.622
35.100	101.992
35.160	102.246
35.220	103.342
35.280	102.106
35.340	102.577
35.400	102.909
35.460	105.494
35.520	123.465
35.580	225.497
35.640	314.397
35.700	421.027
35.760	481.754
35.820	512.093
35.880	529.312
35.940	525.555
36.000	504.311
36.060	495.229
36.120	474.316
36.180	478.774
36.240	451.938
36.300	396.407
36.360	285.167
36.420	195.082
36.480	144.353
