Thu, Oct 12, 2017	3:15 PM
 Notes: GUA_1.63E-9_30sec_0.025 L_more masses_101217
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=28.936	 MS2=30.937	 MS3=42.078	 MS4=95.042	 MS5=109.505	 MS6=125.586	 MS7=109.505	 MS8=125.586
109.035	405.000	461.348	71.463	76.943	7.190	2.079	62.051
110.327	408.900	463.110	69.737	79.112	7.390	2.797	61.095
111.638	412.600	472.735	69.753	78.646	6.502	2.502	61.837
112.944	416.500	478.591	67.692	78.653	6.597	2.352	59.553
114.237	420.500	491.558	70.193	78.420	6.371	2.272	57.464
115.556	424.400	494.167	66.366	81.942	6.375	2.423	58.393
116.848	428.400	493.242	67.636	79.478	6.293	2.505	59.457
118.179	432.300	507.179	66.165	79.274	5.195	2.565	59.241
119.480	436.300	495.656	64.868	78.255	5.806	2.286	57.575
120.849	440.200	506.886	66.015	82.129	6.864	2.543	57.399
122.141	444.200	507.662	66.232	80.003	5.093	2.550	57.241
123.424	448.200	499.548	67.097	80.503	5.842	2.434	58.925
124.715	451.800	516.213	65.669	80.045	5.974	2.145	58.897
126.032	455.800	516.822	63.564	80.294	5.484	2.027	57.194
127.312	459.800	520.144	66.201	83.512	5.889	2.590	59.066
128.590	463.700	522.284	64.670	83.893	5.732	1.979	56.515
129.887	467.400	518.884	68.921	81.064	5.544	2.516	55.585
131.240	471.600	529.236	63.673	83.747	6.265	2.278	57.949
132.537	475.300	531.009	68.360	85.260	5.384	2.390	59.450
133.823	479.200	519.835	68.095	83.563	5.991	2.259	57.960
135.113	483.200	528.404	64.841	84.470	5.434	2.966	56.429
136.423	487.100	521.176	67.086	85.279	5.706	1.986	57.027
137.701	490.800	519.365	65.401	84.892	5.582	2.446	58.366
139.000	494.700	503.287	65.912	88.174	5.411	2.444	56.851
140.277	498.700	500.834	69.560	88.951	5.283	2.518	57.372
143.435	508.200	475.355	65.042	88.979	6.291	2.262	60.509
144.725	511.900	465.418	68.100	90.016	5.921	2.534	58.374
146.185	516.500	461.461	66.816	88.463	6.092	2.216	58.451
147.479	520.100	452.578	69.439	90.921	5.995	2.531	59.902
148.769	524.000	452.625	69.916	93.864	6.451	2.491	56.909
150.110	528.000	453.825	69.493	88.499	5.798	2.456	58.463
151.405	532.000	448.836	69.816	92.727	5.951	2.177	57.897
152.679	535.900	449.208	73.047	94.410	6.024	2.573	59.660
153.954	539.600	455.098	71.042	96.217	5.898	2.275	59.428
155.242	543.500	455.087	74.751	91.156	6.181	2.720	60.036
156.525	547.500	449.710	73.554	95.939	6.108	2.523	60.690
158.299	552.700	452.886	73.132	95.812	6.217	2.751	60.301
159.589	556.400	457.924	74.763	97.310	6.150	2.221	61.085
160.867	560.300	452.202	74.135	98.697	5.815	2.681	59.452
162.183	564.300	456.940	75.113	96.869	6.117	2.309	60.785
163.499	568.200	456.235	74.692	100.527	6.868	2.321	59.694
164.789	572.200	460.533	76.906	99.945	6.128	2.235	63.104
166.163	576.200	463.507	76.812	98.471	6.633	2.525	61.775
167.454	580.100	461.225	76.718	102.398	6.874	2.334	63.999
168.744	584.100	462.498	75.574	101.698	6.605	2.791	62.193
170.217	588.400	461.407	76.091	106.862	6.775	2.144	65.805
171.767	593.000	462.378	79.229	105.829	7.183	2.416	64.384
173.059	596.900	463.919	77.229	106.231	7.396	2.497	63.840
174.415	600.900	466.279	81.156	103.377	7.123	2.882	65.272
175.702	604.800	467.096	80.904	107.339	6.396	2.515	66.313
176.998	608.800	467.759	81.133	107.511	6.681	2.454	65.651
178.309	612.800	472.204	80.597	108.299	7.752	2.691	65.003
179.589	616.400	474.733	81.495	109.121	6.970	2.798	68.095
180.868	620.300	479.968	81.650	110.932	6.712	3.018	67.260
183.240	627.300	482.799	83.712	111.048	6.833	2.491	68.479
185.244	633.500	481.265	84.039	115.193	6.816	2.583	66.981
187.203	639.100	485.832	84.320	115.431	6.932	2.342	68.969
189.735	646.700	495.021	84.971	119.745	7.197	2.126	71.213
191.043	650.700	492.374	87.339	118.692	7.867	2.397	70.192
192.340	654.600	498.519	86.929	120.671	7.332	2.641	72.419
193.626	658.600	503.060	86.189	119.094	7.085	2.558	70.831
194.912	662.500	491.201	87.307	124.544	7.515	2.968	72.561
196.201	666.100	497.467	85.718	122.208	7.381	2.151	74.754
197.495	670.100	499.775	87.969	123.192	7.289	3.280	75.192
198.788	674.100	503.462	87.572	121.166	7.489	2.857	75.551
217.832	731.100	532.716	96.602	141.023	8.084	3.606	87.939
219.459	736.000	533.444	94.005	141.916	9.032	3.418	87.838
