Mon, Oct 09, 2017	2:30 PM
 x = amu	 y = amps

24.300	141.640
24.360	115.798
24.420	130.063
24.480	173.494
24.540	251.721
24.600	331.451
24.660	355.511
24.720	368.757
24.780	383.696
24.840	376.742
24.900	354.937
24.960	351.995
25.020	345.882
25.080	340.036
25.140	338.316
25.200	317.250
25.260	277.615
25.320	224.325
25.380	161.152
25.440	219.269
25.500	375.188
25.560	575.291
25.620	726.613
25.680	786.588
25.740	833.662
25.800	850.882
25.860	836.999
25.920	795.657
25.980	775.699
26.040	751.054
26.100	722.015
26.160	719.926
26.220	680.634
26.280	568.948
26.340	378.615
26.400	236.348
26.460	251.084
26.520	683.156
26.580	1009.489
26.640	1268.166
26.700	1429.983
26.760	1482.865
26.820	1533.696
26.880	1525.710
26.940	1451.851
27.000	1428.658
27.060	1424.201
27.120	1338.115
27.180	1258.525
27.240	1162.938
27.300	1040.897
27.360	823.206
27.420	642.667
27.480	1478.432
27.540	5563.419
27.600	8337.838
27.660	10302.690
27.720	11021.433
27.780	11606.278
27.840	11924.651
27.900	11657.441
27.960	10841.251
28.020	10865.501
28.080	10543.231
28.140	10051.451
28.200	10129.653
28.260	8916.913
28.320	7198.002
28.380	5024.922
28.440	1729.251
28.500	649.048
28.560	825.244
28.620	1271.210
28.680	1578.974
28.740	1731.939
28.800	1819.362
28.860	1893.921
28.920	1849.241
28.980	1745.962
29.040	1734.359
29.100	1664.856
29.160	1594.703
29.220	1556.774
29.280	1439.994
29.340	1253.443
29.400	686.786
29.460	334.228
29.520	258.204
29.580	510.220
29.640	689.104
29.700	804.101
29.760	877.068
29.820	895.727
29.880	936.828
29.940	877.132
30.000	836.413
30.060	843.049
30.120	809.489
30.180	811.221
30.240	753.308
30.300	683.767
30.360	499.713
30.420	239.978
30.480	150.836
30.540	233.878
30.600	375.418
30.660	445.621
30.720	483.346
30.780	507.036
30.840	527.020
30.900	523.555
30.960	503.954
31.020	492.084
31.080	475.284
31.140	456.345
31.200	445.162
31.260	418.212
31.320	374.806
31.380	277.411
31.440	173.354
31.500	193.019
31.560	326.586
31.620	416.493
31.680	474.915
31.740	501.840
31.800	518.333
31.860	516.690
31.920	499.280
31.980	489.574
32.040	475.106
32.100	461.249
32.160	466.330
32.220	438.272
32.280	403.553
32.340	303.406
32.400	199.056
32.460	130.674
32.520	111.022
32.580	109.837
32.640	111.518
32.700	113.060
32.760	115.238
32.820	113.964
32.880	112.219
32.940	114.002
33.000	113.391
33.060	112.486
33.120	113.607
33.180	111.200
33.240	110.130
33.300	110.219
33.360	107.914
33.420	105.048
33.480	104.577
33.540	105.214
33.600	108.474
33.660	110.436
33.720	110.474
33.780	111.799
33.840	111.633
33.900	110.818
33.960	110.207
34.020	109.175
34.080	108.933
34.140	109.366
34.200	109.124
34.260	108.220
34.320	108.551
34.380	104.883
34.440	102.832
34.500	103.724
34.560	104.552
34.620	105.380
34.680	106.055
34.740	106.182
34.800	106.335
34.860	105.545
34.920	105.430
34.980	106.488
35.040	105.851
35.100	105.023
35.160	105.749
35.220	105.558
35.280	105.048
35.340	105.469
35.400	107.456
35.460	113.671
35.520	163.865
35.580	234.680
35.640	274.430
35.700	302.705
35.760	317.823
35.820	317.250
35.880	320.014
35.940	314.729
36.000	301.330
36.060	302.527
36.120	289.663
36.180	295.063
36.240	275.589
36.300	258.943
36.360	212.952
36.420	168.068
36.480	159.611
36.540	263.630
36.600	374.310
36.660	467.056
36.720	525.020
36.780	545.666
36.840	561.459
36.900	573.100
36.960	539.068
37.020	540.800
37.080	539.947
37.140	514.283
37.200	479.844
37.260	456.714
37.320	415.104
37.380	342.010
37.440	232.782
37.500	186.320
37.560	250.753
37.620	406.928
37.680	545.819
37.740	595.554
37.800	627.867
37.860	646.207
37.920	640.247
37.980	609.666
38.040	604.343
38.100	603.069
38.160	593.669
38.220	583.327
38.280	545.004
38.340	430.274
38.400	320.256
38.460	224.746
38.520	238.628
38.580	587.454
38.640	937.426
38.700	1117.672
38.760	1210.126
38.820	1281.514
38.880	1332.498
38.940	1317.864
39.000	1291.512
39.060	1253.201
39.120	1226.747
39.180	1181.304
39.240	1152.061
39.300	1122.754
39.360	957.537
39.420	568.591
39.480	310.245
39.540	284.811
39.600	368.540
39.660	438.170
39.720	485.970
39.780	517.811
39.840	531.363
39.900	531.032
39.960	517.990
40.020	512.385
40.080	499.700
40.140	497.356
40.200	476.252
40.260	443.150
40.320	422.708
40.380	334.164
40.440	253.708
40.500	166.132
40.560	181.913
40.620	252.524
40.680	354.008
40.740	441.660
40.800	466.802
40.860	487.957
40.920	491.651
40.980	480.442
41.040	465.159
41.100	464.496
41.160	452.359
41.220	452.944
41.280	443.150
41.340	409.717
41.400	310.971
41.460	233.737
41.520	179.786
41.580	216.225
41.640	333.770
41.700	424.822
41.760	476.150
41.820	504.960
41.880	523.301
41.940	527.414
42.000	516.843
42.060	496.210
42.120	512.640
42.180	491.167
42.240	489.065
42.300	454.244
42.360	378.831
42.420	300.145
42.480	195.987
42.540	163.700
42.600	286.683
42.660	445.774
42.720	567.483
42.780	651.913
42.840	697.433
42.900	725.377
42.960	727.581
43.020	713.736
43.080	700.350
43.140	689.116
43.200	668.840
43.260	675.348
43.320	632.223
43.380	586.881
43.440	469.960
43.500	329.668
43.560	415.767
43.620	963.905
43.680	1383.915
43.740	1748.534
43.800	1925.100
43.860	2015.821
43.920	2085.324
43.980	2030.048
44.040	1946.713
44.100	1968.302
44.160	1986.961
44.220	1910.809
44.280	1685.094
44.340	1682.967
44.400	1320.551
44.460	778.705
44.520	363.738
44.580	214.123
44.640	230.986
44.700	314.041
44.760	391.326
44.820	421.893
44.880	439.609
44.940	450.168
45.000	451.645
45.060	440.628
45.120	433.088
45.180	439.482
45.240	428.669
45.300	418.964
45.360	398.904
45.420	315.875
45.480	238.374
45.540	152.428
45.600	115.543
45.660	111.009
45.720	117.454
45.780	123.211
45.840	125.108
45.900	126.739
45.960	130.967
46.020	131.158
46.080	128.942
46.140	129.923
46.200	126.611
46.260	126.458
46.320	126.764
46.380	124.089
46.440	122.319
46.500	116.651
46.560	109.175
46.620	106.297
46.680	111.442
46.740	115.581
46.800	120.574
46.860	125.388
46.920	123.796
46.980	125.350
47.040	126.025
47.100	124.790
47.160	125.923
47.220	126.764
47.280	125.872
47.340	123.822
47.400	122.344
47.460	120.281
47.520	114.066
47.580	111.799
47.640	132.521
47.700	158.987
47.760	192.268
47.820	215.537
47.880	224.070
47.940	232.349
48.000	236.272
48.060	240.067
48.120	235.113
48.180	229.178
48.240	228.070
48.300	227.930
48.360	220.288
48.420	213.002
48.480	181.200
48.540	157.140
48.600	131.578
48.660	127.414
48.720	143.538
48.780	191.758
48.840	230.324
48.900	257.338
48.960	275.755
49.020	286.632
49.080	286.161
49.140	281.639
49.200	280.009
49.260	281.741
49.320	276.405
49.380	275.997
49.440	264.228
49.500	254.511
49.560	209.182
49.620	160.286
49.680	140.226
49.740	224.835
49.800	331.299
49.860	462.497
49.920	574.794
49.980	615.895
50.040	657.606
50.100	673.170
50.160	665.452
50.220	649.073
50.280	654.575
50.340	637.075
50.400	645.596
50.460	604.011
50.520	571.865
50.580	417.817
50.640	284.632
50.700	185.084
50.760	184.537
50.820	336.470
50.880	493.956
50.940	596.522
51.000	662.561
51.060	718.996
51.120	752.468
51.180	753.614
51.240	729.669
51.300	732.510
51.360	714.870
51.420	710.208
51.480	662.217
51.540	613.194
51.600	528.637
51.660	373.329
51.720	202.355
51.780	169.329
51.840	279.207
51.900	373.049
51.960	489.766
52.020	566.171
52.080	607.539
52.140	645.150
52.200	654.728
52.260	649.455
52.320	648.538
52.380	650.996
52.440	626.440
52.500	587.059
52.560	559.536
52.620	504.986
52.680	359.141
52.740	265.146
52.800	221.485
52.860	265.540
52.920	511.456
52.980	851.430
53.040	1046.183
53.100	1179.164
53.160	1282.979
53.220	1337.669
53.280	1312.349
53.340	1279.604
53.400	1301.332
53.460	1262.269
53.520	1247.941
53.580	1157.206
53.640	1001.631
53.700	789.390
53.760	459.962
53.820	232.642
53.880	148.989
53.940	164.528
54.000	183.454
54.060	202.775
54.120	221.218
54.180	225.306
54.240	232.285
54.300	233.699
54.360	228.974
54.420	231.101
54.480	232.884
