Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

3.060	103.112
3.120	105.927
3.180	105.800
3.240	106.347
3.300	109.684
3.360	110.474
3.420	127.706
3.480	181.149
3.540	380.474
3.600	702.018
3.660	771.419
3.720	808.903
3.780	769.904
3.840	834.376
3.900	742.864
3.960	713.723
4.020	632.095
4.080	495.790
4.140	137.514
4.200	108.920
4.260	103.660
4.320	102.654
4.380	103.100
4.440	103.571
4.500	103.240
4.560	104.310
4.620	103.482
4.680	103.100
4.740	104.029
4.800	104.373
4.860	103.036
4.920	103.469
4.980	103.265
5.040	102.628
5.100	103.647
5.160	102.463
5.220	103.596
5.280	103.393
5.340	104.730
5.400	106.080
5.460	111.518
5.520	110.219
0.000	2014.624
0.060	2073.326
0.120	2936.030
0.180	3182.926
0.240	3014.423
0.300	2985.638
0.360	3033.693
0.420	2864.209
0.480	3004.565
0.540	2868.807
0.600	2869.405
0.660	2967.260
0.720	2861.891
0.780	2926.477
0.840	3019.759
0.900	3059.879
0.960	3235.298
1.020	1956.686
1.080	2609.531
1.140	1066.472
1.200	884.545
1.260	521.084
1.320	169.125
1.380	127.465
1.440	133.056
1.500	145.436
1.560	165.903
1.620	200.686
1.680	442.679
1.740	2157.018
1.800	2606.181
1.860	2444.581
1.920	2441.512
1.980	2542.193
2.040	2587.510
2.100	2638.226
2.160	2080.077
2.220	306.131
2.280	132.852
2.340	107.035
2.400	106.042
2.460	104.208
2.520	103.151
2.580	104.361
2.640	104.348
2.700	105.838
2.760	107.086
2.820	105.583
2.880	106.373
2.940	106.322
3.000	105.787
3.060	104.946
3.120	105.329
3.180	104.781
3.240	106.437
3.300	110.181
3.360	113.174
3.420	130.649
3.480	208.774
3.540	435.037
3.600	689.906
3.660	748.405
3.720	749.806
3.780	765.535
3.840	811.692
3.900	732.000
3.960	700.707
4.020	591.301
4.080	462.866
4.140	120.982
4.200	107.799
4.260	104.819
4.320	104.004
4.380	104.195
4.440	103.813
4.500	103.991
4.560	104.042
4.620	105.290
4.680	104.526
4.740	102.998
4.800	105.456
4.860	103.622
4.920	103.877
4.980	102.909
5.040	102.285
5.100	103.202
5.160	103.520
5.220	104.080
5.280	103.826
5.340	104.628
5.400	106.156
5.460	109.022
5.520	110.207
5.580	113.060
5.640	111.875
5.700	111.913
5.760	111.302
5.820	111.327
5.880	110.283
5.940	111.697
6.000	110.958
6.060	107.990
6.120	104.997
6.180	103.431
6.240	104.004
6.300	104.055
