Thu, Sep 28, 2017	1:12 PM
 Notes: furfural_2.1E-9_30s_0.05 L_92817
 waiting time: 50.000
 time(s)	 temp (K)	 MS1=1.879	 MS2=27.844	 MS3=97.084	 MS4=40.816	 MS5=77.304	 MS6=91.453	 MS7=78.423	 MS8=97.084
0.000	100.700	3122.772	7516.299	302.170
0.359	100.700	2779.524	7465.722	289.650
0.716	100.700	2788.504	7530.194	303.852
1.081	100.700	2836.711	7482.522	297.012
1.437	100.700	2822.141	7464.016	299.534
1.801	100.700	2783.804	7470.282	297.815
2.168	100.700	2783.893	7519.801	293.688
2.531	100.700	2826.076	7399.264	291.090
2.896	100.700	2784.173	7412.064	294.210
3.259	100.700	2772.494	7494.609	293.701
3.624	100.700	2826.293	7524.794	291.115
3.992	100.700	2814.893	7428.201	291.523
4.358	100.700	2761.349	7390.972	292.478
4.721	100.700	2743.047	7514.962	291.790
5.106	100.700	2807.634	7496.545	294.401
5.469	100.700	2818.383	7433.423	297.789
5.828	100.700	2794.006	7414.904	290.835
6.194	100.700	2764.139	7519.101	290.376
6.561	100.700	2830.279	7544.790	286.683
6.929	100.700	2841.576	7474.676	288.198
7.291	100.700	2769.144	7567.181	292.784
7.655	100.800	2797.534	7667.595	291.905
8.020	100.800	2826.280	7757.196	295.509
8.386	100.900	2813.480	7997.380	302.170
8.752	101.100	2796.107	8478.143	300.247
9.117	101.300	2857.382	9119.219	308.972
9.482	101.500	2875.379	9832.804	319.798
9.842	101.900	2857.459	10270.416	325.682
10.209	102.300	2845.767	10351.063	324.294
10.573	102.700	2889.771	10068.849	328.407
10.936	103.400	2908.506	9808.618	318.715
11.302	104.000	2855.777	9921.794	321.683
11.684	104.800	2892.025	10237.072	324.816
12.050	105.900	2960.981	10499.519	336.330
12.412	106.800	2930.642	10660.826	331.146
12.778	107.800	2898.228	10901.723	331.069
13.143	109.300	2962.878	11016.199	322.651
13.513	110.500	2960.191	10776.741	321.606
13.877	111.800	2917.880	10651.974	271.832
14.264	113.600	2925.064	10650.395	322.549
14.632	115.000	2978.353	10566.067	330.662
14.998	116.900	2979.372	10196.621	314.474
