Wed, Oct 11, 2017	3:33 PM
 x = amu	 y = amps

23.100	105.125
23.160	105.239
23.220	105.991
23.280	106.258
23.340	106.322
23.400	107.672
23.460	115.199
23.520	134.470
23.580	160.770
23.640	185.046
23.700	200.610
23.760	212.022
23.820	219.778
23.880	220.160
23.940	221.523
24.000	218.670
24.060	212.506
24.120	204.354
24.180	198.992
24.240	187.657
24.300	161.203
24.360	138.991
24.420	126.114
24.480	121.389
24.540	141.003
24.600	191.987
24.660	244.933
24.720	278.965
24.780	305.966
24.840	323.338
24.900	326.905
24.960	323.644
25.020	319.479
25.080	310.946
25.140	307.953
25.200	294.516
25.260	277.576
25.320	246.996
25.380	198.381
25.440	165.878
25.500	161.751
25.560	260.357
25.620	411.398
25.680	559.574
25.740	675.832
25.800	748.863
25.860	801.032
25.920	815.131
25.980	811.017
26.040	794.167
26.100	762.618
26.160	753.308
26.220	723.989
26.280	663.376
26.340	540.431
26.400	384.078
26.460	269.654
26.520	252.154
26.580	339.552
26.640	603.362
26.700	890.938
26.760	1113.902
26.820	1270.726
26.880	1385.100
26.940	1432.594
27.000	1436.440
27.060	1422.545
27.120	1368.631
27.180	1316.718
27.240	1237.421
27.300	1136.446
27.360	955.346
27.420	724.116
27.480	589.581
27.540	1022.595
27.600	2440.798
27.660	4999.602
27.720	7293.373
27.780	8892.740
27.840	10138.110
27.900	10942.162
27.960	11060.916
28.020	10919.262
28.080	10736.162
28.140	10407.307
28.200	10261.131
28.260	9785.336
28.320	8708.864
28.380	7180.795
28.440	5048.141
28.500	2923.701
28.560	1710.796
28.620	1235.790
28.680	1162.912
28.740	1278.496
28.800	1460.983
28.860	1607.567
28.920	1714.897
28.980	1745.452
29.040	1731.009
29.100	1703.447
29.160	1641.675
29.220	1611.987
29.280	1554.074
29.340	1415.540
29.400	1154.022
29.460	759.498
29.520	470.890
29.580	362.401
29.640	395.146
29.700	513.060
29.760	667.643
29.820	766.643
29.880	833.662
29.940	875.374
30.000	877.043
30.060	873.184
30.120	852.118
30.180	840.158
30.240	803.617
30.300	759.027
30.360	655.225
30.420	457.020
30.480	302.578
30.540	225.790
30.600	248.079
30.660	324.001
30.720	424.529
30.780	506.234
30.840	568.464
30.900	616.914
30.960	637.814
31.020	636.209
31.080	620.900
31.140	599.477
31.200	581.493
31.260	553.142
31.320	510.921
31.380	427.701
31.440	320.651
31.500	237.342
31.560	218.517
31.620	254.944
31.680	334.737
31.740	410.761
31.800	463.388
31.860	502.527
31.920	519.352
31.980	522.103
32.040	514.945
32.100	502.859
32.160	493.625
32.220	483.894
32.280	459.848
32.340	405.807
32.400	322.893
32.460	236.247
32.520	176.614
32.580	146.939
32.640	131.094
32.700	124.764
32.760	121.988
32.820	121.937
32.880	121.720
32.940	121.466
33.000	120.167
33.060	120.077
33.120	119.530
33.180	118.880
33.240	117.721
33.300	116.715
33.360	116.282
33.420	113.926
33.480	110.410
33.540	108.080
33.600	108.869
33.660	109.748
33.720	112.741
33.780	113.824
33.840	113.747
33.900	114.499
33.960	114.499
34.020	115.059
34.080	115.238
34.140	114.193
34.200	113.913
34.260	112.945
34.320	113.251
34.380	110.678
34.440	109.035
34.500	107.366
34.560	107.303
34.620	107.201
34.680	108.016
34.740	108.347
34.800	108.882
34.860	109.226
34.920	108.487
34.980	108.793
35.040	108.907
35.100	108.997
35.160	109.188
35.220	108.436
35.280	107.876
35.340	108.118
35.400	107.137
35.460	107.379
35.520	108.971
35.580	120.740
35.640	141.895
35.700	165.254
35.760	185.645
35.820	199.604
35.880	211.003
35.940	217.944
36.000	217.384
36.060	214.811
36.120	210.876
36.180	209.716
36.240	205.106
36.300	198.508
36.360	184.715
36.420	163.037
36.480	143.156
36.540	132.075
36.600	140.354
36.660	172.641
36.720	231.228
36.780	270.431
36.840	312.971
36.900	328.917
36.960	333.668
37.020	332.585
37.080	332.636
37.140	322.740
37.200	315.658
37.260	305.151
37.320	285.460
37.380	264.891
37.440	225.905
37.500	179.658
37.560	152.250
37.620	167.597
37.680	220.874
37.740	276.494
37.800	318.180
37.860	350.059
37.920	373.367
37.980	382.283
38.040	380.016
38.100	378.907
38.160	373.151
38.220	371.406
38.280	359.726
38.340	321.262
38.400	273.335
38.460	221.803
38.520	174.908
38.580	170.221
38.640	253.721
38.700	367.725
38.760	491.116
38.820	604.381
38.880	683.449
38.940	739.909
39.000	774.183
39.060	780.360
39.120	759.804
39.180	742.495
39.240	728.905
39.300	711.622
39.360	664.815
39.420	545.729
39.480	420.505
39.540	338.304
39.600	465.426
39.660	709.278
39.720	960.607
39.780	1183.380
39.840	1354.736
39.900	1474.013
39.960	1514.082
40.020	1515.215
40.080	1479.770
40.140	1437.459
40.200	1396.652
40.260	1379.394
40.320	1289.946
40.380	1070.828
40.440	781.876
40.500	510.666
40.560	337.387
40.620	251.314
40.680	266.305
40.740	349.881
40.800	434.922
40.860	495.522
40.920	546.952
40.980	583.735
41.040	591.377
41.100	586.703
41.160	580.322
41.220	575.138
41.280	565.764
41.340	539.374
41.400	474.775
41.460	385.492
41.520	284.174
41.580	211.118
41.640	202.571
41.700	283.792
41.760	389.186
41.820	476.825
41.880	549.907
41.940	607.552
42.000	633.624
42.060	634.770
42.120	628.733
42.180	615.933
42.240	617.792
42.300	595.707
42.360	544.800
42.420	476.991
42.480	364.987
42.540	262.560
42.600	210.786
42.660	246.308
42.720	349.907
42.780	507.456
42.840	661.122
42.900	772.591
42.960	858.397
43.020	918.844
43.080	929.326
43.140	919.340
43.200	900.350
43.260	901.089
43.320	865.402
43.380	823.410
43.440	723.148
43.500	542.100
43.560	380.907
43.620	380.856
43.680	624.797
43.740	1131.835
43.800	1681.018
43.860	2071.964
43.920	2373.384
43.980	2577.435
44.040	2658.987
44.100	2668.730
44.160	2672.118
44.220	2613.874
44.280	2463.571
44.340	2357.438
44.400	2108.619
44.460	1607.223
44.520	1044.030
44.580	661.657
44.640	419.091
44.700	310.525
44.760	308.526
44.820	340.864
44.880	374.106
44.940	407.322
45.000	436.998
45.060	452.002
45.120	452.702
45.180	451.989
45.240	446.907
45.300	440.514
45.360	427.752
45.420	382.728
45.480	327.809
45.540	267.769
45.600	203.183
45.660	160.121
45.720	138.927
45.780	132.330
45.840	135.106
45.900	139.972
45.960	145.423
46.020	148.250
46.080	149.613
46.140	151.065
46.200	150.759
46.260	151.205
46.320	151.052
46.380	149.180
46.440	146.747
46.500	140.163
46.560	129.209
46.620	120.345
46.680	115.225
46.740	114.779
46.800	119.874
46.860	126.688
46.920	131.680
46.980	135.794
47.040	138.507
47.100	140.150
47.160	141.233
47.220	140.812
47.280	140.112
47.340	138.673
47.400	137.692
47.460	133.170
47.520	127.375
47.580	121.084
47.640	118.880
47.700	122.357
47.760	151.231
47.820	199.133
47.880	238.119
47.940	270.724
48.000	299.980
48.060	319.989
48.120	325.758
48.180	328.178
48.240	323.402
48.300	322.256
48.360	317.556
48.420	302.731
48.480	272.265
48.540	230.018
48.600	189.389
48.660	153.918
48.720	132.636
48.780	128.012
48.840	135.374
48.900	151.613
48.960	165.687
49.020	179.353
49.080	191.019
49.140	196.967
49.200	197.961
49.260	198.356
49.320	196.534
49.380	197.490
49.440	194.153
49.500	188.854
49.560	176.207
49.620	156.351
49.680	138.329
49.740	128.369
49.800	131.515
49.860	167.597
49.920	234.718
49.980	291.968
50.040	337.387
50.100	374.908
50.160	402.228
50.220	411.882
50.280	415.690
50.340	409.411
50.400	408.991
50.460	404.750
50.520	387.441
50.580	338.686
50.640	273.424
50.700	212.417
50.760	167.049
50.820	153.447
50.880	184.027
50.940	234.400
51.000	292.414
51.060	350.047
51.120	393.261
51.180	431.624
51.240	449.735
51.300	457.326
51.360	452.970
51.420	450.142
51.480	438.883
51.540	418.441
51.600	393.682
51.660	334.330
51.720	258.102
51.780	195.617
51.840	162.018
51.900	154.873
51.960	186.434
52.020	242.258
52.080	285.588
52.140	322.409
52.200	354.772
52.260	373.036
52.320	378.755
52.380	380.780
52.440	376.042
52.500	369.725
52.560	356.861
52.620	337.412
52.680	289.370
52.740	236.629
52.800	188.740
52.860	157.179
52.920	169.113
52.980	238.730
53.040	342.469
53.100	442.462
53.160	533.706
53.220	604.776
53.280	658.511
53.340	688.696
53.400	699.802
53.460	691.091
53.520	685.474
53.580	664.535
53.640	615.041
53.700	526.141
53.760	409.717
53.820	291.892
53.880	210.392
53.940	166.502
54.000	148.658
54.060	150.976
54.120	161.611
54.180	172.577
54.240	181.620
54.300	190.816
54.360	194.828
54.420	196.929
54.480	196.267
54.540	197.757
54.600	193.490
54.660	190.153
54.720	180.244
54.780	159.892
54.840	142.583
54.900	128.789
54.960	121.810
55.020	135.259
55.080	169.151
55.140	207.207
55.200	238.807
55.260	268.508
55.320	291.765
55.380	305.558
55.440	311.710
55.500	310.920
55.560	310.424
55.620	309.290
55.680	301.521
55.740	274.494
55.800	236.259
55.860	192.510
55.920	157.854
55.980	136.749
56.040	129.681
56.100	133.209
56.160	147.614
56.220	161.611
56.280	175.710
56.340	188.026
56.400	195.655
56.460	199.451
56.520	200.712
56.580	200.100
56.640	201.247
56.700	197.158
56.760	193.032
56.820	178.474
56.880	157.000
56.940	139.717
57.000	125.898
57.060	119.428
57.120	123.172
57.180	142.060
57.240	158.732
57.300	175.354
57.360	191.694
57.420	202.457
57.480	208.150
57.540	211.207
57.600	210.570
57.660	209.780
57.720	208.188
57.780	203.476
57.840	187.122
57.900	166.183
57.960	146.238
58.020	128.929
58.080	120.281
58.140	119.797
58.200	124.064
58.260	131.502
58.320	137.373
58.380	142.876
58.440	144.901
58.500	147.193
58.560	148.951
58.620	148.747
58.680	148.238
58.740	147.907
58.800	141.959
58.860	133.960
58.920	125.108
58.980	116.830
59.040	111.862
59.100	110.232
59.160	110.474
59.220	112.881
59.280	114.524
59.340	116.893
59.400	118.689
59.460	120.141
59.520	119.390
59.580	120.510
59.640	120.383
59.700	119.491
59.760	119.746
59.820	118.855
59.880	114.906
59.940	112.270
60.000	110.831
60.060	111.468
60.120	116.269
60.180	133.680
60.240	158.389
60.300	180.397
60.360	198.725
60.420	213.652
60.480	223.969
60.540	229.458
60.600	231.037
60.660	231.840
60.720	227.102
60.780	224.020
60.840	207.768
60.900	184.078
60.960	160.439
61.020	138.851
61.080	124.713
61.140	120.052
61.200	125.185
61.260	132.941
61.320	141.678
61.380	150.492
61.440	155.497
61.500	160.070
61.560	162.273
61.620	161.063
61.680	161.891
61.740	161.789
61.800	157.573
61.860	148.123
61.920	136.749
61.980	125.885
62.040	117.224
62.100	112.703
62.160	117.887
62.220	125.529
62.280	137.565
62.340	151.269
62.400	161.547
62.460	168.718
62.520	175.825
62.580	180.117
62.640	179.658
62.700	180.130
62.760	177.200
62.820	172.297
62.880	163.470
62.940	148.900
63.000	133.616
63.060	121.708
63.120	117.428
63.180	120.409
63.240	137.845
63.300	165.012
63.360	191.147
63.420	212.786
63.480	233.279
63.540	247.314
63.600	254.205
63.660	257.898
63.720	261.044
63.780	254.842
63.840	249.620
63.900	229.675
63.960	196.280
64.020	169.355
64.080	149.626
64.140	142.264
64.200	166.655
64.260	218.059
64.320	269.922
64.380	316.104
64.440	357.357
64.500	385.072
64.560	402.343
64.620	407.641
64.680	407.654
64.740	401.107
64.800	397.006
64.860	365.330
64.920	297.738
64.980	242.105
65.040	191.147
65.100	154.096
65.160	133.795
65.220	127.248
65.280	132.827
65.340	154.861
65.400	183.390
65.460	208.889
65.520	231.801
65.580	251.237
65.640	263.031
65.700	266.406
65.760	265.247
65.820	265.324
65.880	259.580
65.940	243.468
66.000	212.060
66.060	177.557
66.120	149.830
66.180	131.922
66.240	124.522
66.300	128.229
66.360	142.430
66.420	158.019
66.480	175.112
66.540	185.746
66.600	196.088
66.660	202.750
66.720	205.373
66.780	205.845
66.840	203.157
66.900	200.088
66.960	187.924
67.020	167.279
67.080	148.314
67.140	133.349
67.200	120.625
67.260	117.479
67.320	120.778
67.380	127.783
67.440	138.074
67.500	148.607
67.560	155.638
67.620	163.878
67.680	168.438
67.740	171.393
67.800	172.462
67.860	172.895
67.920	170.068
67.980	158.223
68.040	145.996
68.100	133.018
68.160	122.332
68.220	115.250
68.280	112.983
68.340	113.709
68.400	118.676
68.460	121.262
68.520	125.452
68.580	128.687
68.640	131.782
68.700	133.311
68.760	134.431
68.820	134.317
68.880	134.228
68.940	130.878
69.000	126.267
69.060	121.695
69.120	116.600
69.180	112.818
69.240	113.709
69.300	123.007
69.360	142.379
69.420	171.596
69.480	197.362
69.540	220.925
69.600	239.927
69.660	251.887
69.720	254.269
69.780	256.548
69.840	256.459
